date,price
2026-04-01,10000
2026-04-10,10229.76
2026-04-13,10280.24
2026-04-14,10225.16
2026-04-15,10296.77
2026-04-16,10310.08
2026-04-17,10336.49
2026-04-20,10329.81
2026-04-21,10403.27
2026-04-22,10306.91
2026-04-23,10296.51
2026-04-24,10255.07
2026-04-28,10165.39
2026-04-29,10177.26
2026-05-04,10157.69
2026-05-05,10145.83
2026-05-06,10157.53
2026-05-07,10248.38
2026-05-08,10287.57
2026-05-11,10262.82
2026-05-12,10181.10
2026-05-13,10184.51
2026-05-14,10181.74
2026-05-15,10260.74
2026-05-18,10205.57
2026-05-19,10282.92
2026-05-20,10276.65
2026-05-21,10254.57
2026-05-22,10253.14
2026-05-25,10152.35
2026-05-26,10162.14
2026-05-27,10197.74
2026-05-28,10165.72
2026-05-29,10084.86
2026-06-01,10056.32
2026-06-02,10040.14
2026-06-03,9937.57
2026-06-04,9986.94
2026-06-05,10012.60
2026-06-08,9970.87
2026-06-09,9798.69
2026-06-10,9832.30
2026-06-11,9903.94
2026-06-12,9883.17
2026-06-15,9850.53
2026-06-16,9964.80
2026-06-17,9991.09
2026-06-18,9982.58
2026-06-19,9967.28
2026-06-22,9908.78
2026-06-23,9922.68
2026-06-24,9874.41
2026-06-25,9895.70
2026-06-26,9854.16
2026-06-29,9862.15
2026-06-30,9926.39
2026-07-01,9937.32
2026-07-02,10018.03
2026-07-03,9980.81
2026-07-06,9947.28
2026-07-07,9836.63
2026-07-08,9860.80
2026-07-09,9921.05
2026-07-10,9857.55
2026-07-13,9748.33
2026-07-14,9576.81
2026-07-15,9613.83
2026-07-16,9459.14
2026-07-17,9524.69
2026-07-20,9392.11
2026-07-21,9086.72
2026-07-22,9031.25
2026-07-23,8850.14
2026-07-24,8950.85
2026-07-27,8895.09
2026-07-28,8594.92
2026-07-29,8799.78
2026-07-30,8855.27
2026-07-31,9148.18
2026-08-03,9140.49
2026-08-04,9362
2026-08-05,9373.72
2026-08-06,9380.34
2026-08-07,9306.49
2026-08-10,9396.51
2026-08-11,9532.66
2026-08-12,9480.99
2026-08-13,9541.99
2026-08-14,9447.27
2026-08-17,9310.55
2026-08-18,9316
2026-08-19,9323.18
2026-08-20,9275.99
2026-08-21,9309.59
2026-08-24,9519.81
2026-08-25,9589.34
2026-08-26,9541.5
2026-08-27,9689.35
2026-08-28,9705.34
