date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,ABB,Ngân hàng,5.76,2446701000,STOCK
2026-07-01,VCB,Ngân hàng,4.65,1974690000,STOCK
2026-07-01,VPB,Ngân hàng,4.64,1969120000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,4.55,1929781000,STOCK
2026-07-01,TCB,Ngân hàng,4.54,1928070000,STOCK
2026-07-01,VHM,Bất động sản,4.22,1792010000,STOCK
2026-07-01,GMD,Vận tải - Kho bãi,4.17,1771000000,STOCK
2026-07-01,MBB,Ngân hàng,4.13,1752750000,STOCK
2026-07-01,CTG,Ngân hàng,4.03,1709400000,STOCK
2026-07-01,FPT,Công nghệ và thông tin,4.02,1704340000,STOCK
