date,price
2026-07-06,9833.76
2026-07-07,9699.47
2026-07-08,9735.72
2026-07-09,9758.42
2026-07-10,9691.81
2026-07-13,9661.03
2026-07-14,9607.42
2026-07-15,9632.81
2026-07-16,9594.73
2026-07-17,9559.99
2026-07-20,9550.84
2026-07-21,9324.35
2026-07-22,9349.67
2026-07-23,9198.69
2026-07-24,9360.73
2026-07-27,9334.54
2026-07-28,9221.92
2026-07-29,9223.97
2026-07-30,9262.06
2026-07-31,9420.68
2026-08-03,9386.53
2026-08-04,9496.53
2026-08-05,9501.44
2026-08-06,9502.49
2026-08-07,9464.12
2026-08-10,9470.62
2026-08-11,9525.64
2026-08-12,9498.41
2026-08-13,9510.72
2026-08-14,9464.1
2026-08-17,9393.5
2026-08-18,9361.83
2026-08-19,9374.59
2026-08-20,9357.21
2026-08-21,9348.31
2026-08-24,9455.07
2026-08-25,9464.6
2026-08-26,9427.02
