date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,HPG,Vật liệu xây dựng,10.22,29319998400,STOCK
2026-07-01,FPT,Công nghệ và thông tin,6.18,17727417400,STOCK
2026-07-01,ACB,Ngân hàng,5.9,16915450500,STOCK
2026-07-01,VPB,Ngân hàng,5.4,15476564000,STOCK
2026-07-01,MBB,Ngân hàng,4.86,13951305000,STOCK
2026-07-01,HDB,Ngân hàng,4.82,13818092400,STOCK
2026-07-01,TCB,Ngân hàng,4.71,13496490000,STOCK
2026-07-01,SHB,Ngân hàng,4.45,12759434000,STOCK
2026-07-01,MWG,Bán lẻ,4.13,11834070000,STOCK
2026-07-01,LPB,Ngân hàng,3.47,9955960000,STOCK
