date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,ACB,Ngân hàng,9.02,15762568800,STOCK
2026-07-01,FPT,Công nghệ và thông tin,7.97,13924592000,STOCK
2026-07-01,MBB,Ngân hàng,7.05,12319132500,STOCK
2026-07-01,QTP,Tiện ích,6.35,11100000000,STOCK
2026-07-01,TCB,Ngân hàng,5.13,8974500000,STOCK
2026-07-01,MWG,Bán lẻ,4.64,8108400000,STOCK
2026-07-01,CTG,Ngân hàng,4.59,8023708000,STOCK
2026-07-01,REE,Thiết bị điện,4.59,8021250000,STOCK
2026-07-01,ND2,Xây dựng,4.33,7562775000,STOCK
2026-07-01,VIB,Ngân hàng,4.15,7250000000,STOCK
