date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,VCB,Ngân hàng,8.98,12343590000,STOCK
2025-02-01,FPT,Công nghệ,7.76,10662800000,STOCK
2025-02-01,ACB,Ngân hàng,7.45,10245430000,STOCK
2025-02-01,CTG,Ngân hàng,5.35,7349235000,STOCK
2025-02-01,BID,Ngân hàng,4.53,6224400000,STOCK
2025-02-01,MBB,Ngân hàng,4.52,6210000000,STOCK
2025-02-01,TCB,Ngân hàng,4.27,5872500000,STOCK
2025-02-01,REE,Hạ tầng,4.16,5723726800,STOCK
2025-02-01,SAB,Đồ uống,3.38,4640150000,STOCK
2025-02-01,VNM,Thực phẩm,3.18,4372660000,STOCK
2025-02-01,KDH,BĐS,2.8,3852500000,STOCK
2025-02-01,HPG,Vật liệu,2.79,3836000000,STOCK
2025-02-01,VPB,Ngân hàng,2.63,3609100000,STOCK
2025-02-01,BCM,BĐS,2.59,3557900000,STOCK
2025-02-01,BVH,Bảo hiểm,2.43,3339400000,STOCK
2025-02-01,HCM,Chứng khoán,2.08,2865800000,STOCK
2025-02-01,DPM,Vật liệu,2.05,2811220000,STOCK
2025-02-01,PNJ,Bán lẻ,1.99,2732204000,STOCK
2025-02-01,BMP,Xây dựng,1.91,2629000000,STOCK
2025-02-01,TPB,Ngân hàng,1.86,2555100000,STOCK
2025-02-01,HDB,Ngân hàng,1.69,2328050000,STOCK
2025-02-01,DCM,Vật liệu,1.51,2071510000,STOCK
2025-02-01,GMD,Hạ tầng,1.32,1821000000,STOCK
2025-02-01,VIB,Ngân hàng,1.19,1639250000,STOCK
2025-02-01,VHM,BĐS,1.02,1400800000,STOCK
2025-02-01,CTR,Xây dựng,1.0,1372560000,STOCK
2025-02-01,PVT,Dầu khí,0.99,1361700000,STOCK
2025-02-01,VTP,Logistics,0.84,1154250000,STOCK
2025-02-01,LPB,Ngân hàng,0.6,831450000,STOCK
2025-02-01,PLX,Dầu khí,0.57,783900000,STOCK
2025-02-01,GVR,Ô tô,0.56,768200000,STOCK
2025-02-01,KBC,BĐS,0.54,742500000,STOCK
2025-02-01,DXG,BĐS,0.53,733500000,STOCK
2025-02-01,FRT,Bán lẻ,0.53,732000000,STOCK
2025-02-01,VHC,Thực phẩm,0.52,719000000,STOCK
2025-02-01,ANV,Thực phẩm,0.51,704000000,STOCK
2025-02-01,STB,Ngân hàng,0.5,688500000,STOCK
2025-02-01,BWE,Tiện ích,0.49,675000000,STOCK
2025-02-01,DGC,Vật liệu,0.49,669000000,STOCK
2025-02-01,SSI,Chứng khoán,0.42,578600000,STOCK
2025-02-01,PC1,Hạ tầng,0.03,39600000,STOCK
2025-03-01,VCB,Ngân hàng,7.66,10231360000,STOCK
2025-03-01,ACB,Ngân hàng,6.79,9075430000,STOCK
2025-03-01,MBB,Ngân hàng,4.87,6507000000,STOCK
2025-03-01,BID,Ngân hàng,4.76,6355000000,STOCK
2025-03-01,CTG,Ngân hàng,4.63,6179780500,STOCK
2025-03-01,TCB,Ngân hàng,4.63,6187500000,STOCK
2025-03-01,FPT,Công nghệ,4.53,6050000000,STOCK
2025-03-01,VPB,Ngân hàng,3.8,5073000000,STOCK
2025-03-01,REE,Hạ tầng,3.77,5030629800,STOCK
2025-03-01,HPG,Vật liệu,3.74,5002250000,STOCK
2025-03-01,SAB,Đồ uống,3.3,4405890000,STOCK
2025-03-01,VNM,Thực phẩm,3.19,4260180000,STOCK
2025-03-01,BMP,Xây dựng,3.04,4056200000,STOCK
2025-03-01,BCM,BĐS,2.8,3740000000,STOCK
2025-03-01,BVH,Bảo hiểm,2.55,3411200000,STOCK
2025-03-01,KDH,BĐS,2.15,2868800000,STOCK
2025-03-01,DPM,Vật liệu,1.99,2661850000,STOCK
2025-03-01,VTP,Logistics,1.87,2498400000,STOCK
2025-03-01,HDB,Ngân hàng,1.67,2232100000,STOCK
2025-03-01,STB,Ngân hàng,1.63,2183100000,STOCK
2025-03-01,GVR,Ô tô,1.58,2106000000,STOCK
2025-03-01,DCM,Vật liệu,1.45,1936730000,STOCK
2025-03-01,PVT,Dầu khí,1.45,1930500000,STOCK
2025-03-01,VIB,Ngân hàng,1.17,1568150000,STOCK
2025-03-01,NLG,BĐS,1.03,1370000000,STOCK
2025-03-01,BWE,Tiện ích,1.01,1348500000,STOCK
2025-03-01,MSN,Thực phẩm,1.0,1336000000,STOCK
2025-03-01,ANV,Thực phẩm,0.99,1316000000,STOCK
2025-03-01,GMD,Hạ tầng,0.9,1207500000,STOCK
2025-03-01,KBC,BĐS,0.57,766250000,STOCK
2025-03-01,LPB,Ngân hàng,0.57,764750000,STOCK
2025-03-01,DXG,BĐS,0.53,711000000,STOCK
2025-03-01,CTD,Xây dựng,0.51,680000000,STOCK
2025-03-01,DBC,Thực phẩm,0.51,684250000,STOCK
2025-03-01,NT2,Điện,0.51,678300000,STOCK
2025-03-01,TCH,Ô tô,0.5,666000000,STOCK
2025-03-01,FRT,Bán lẻ,0.49,660000000,STOCK
2025-03-01,DGC,Vật liệu,0.45,597600000,STOCK
2025-03-01,PNJ,Bán lẻ,0.44,588597800,STOCK
2025-03-01,SSI,Chứng khoán,0.43,572000000,STOCK
2025-03-01,HDG,BĐS,0.37,500650000,STOCK
2025-03-01,GAS,Dầu khí,0.3,400800000,STOCK
2025-03-01,VHC,Thực phẩm,0.3,406250000,STOCK
2025-04-01,VCB,Ngân hàng,7.28,9160264500,STOCK
2025-04-01,ACB,Ngân hàng,6.67,8394772750,STOCK
2025-04-01,FPT,Công nghệ,6.61,8314400000,STOCK
2025-04-01,MBB,Ngân hàng,5.05,6358500000,STOCK
2025-04-01,TCB,Ngân hàng,4.7,5917500000,STOCK
2025-04-01,BID,Ngân hàng,4.5,5666200000,STOCK
2025-04-01,CTG,Ngân hàng,4.41,5546148000,STOCK
2025-04-01,BMP,Xây dựng,3.91,4916400000,STOCK
2025-04-01,REE,Hạ tầng,3.83,4826304500,STOCK
2025-04-01,HPG,Vật liệu,3.79,4768500000,STOCK
2025-04-01,VPB,Ngân hàng,3.51,4418850000,STOCK
2025-04-01,SAB,Đồ uống,3.44,4333810000,STOCK
2025-04-01,VNM,Thực phẩm,3.22,4049280000,STOCK
2025-04-01,DCM,Vật liệu,2.54,3197700000,STOCK
2025-04-01,DPM,Vật liệu,2.52,3171900000,STOCK
2025-04-01,BVH,Bảo hiểm,2.34,2940800000,STOCK
2025-04-01,MWG,Bán lẻ,2.22,2796800000,STOCK
2025-04-01,BCM,BĐS,2.19,2750000000,STOCK
2025-04-01,KDH,BĐS,1.84,2318800000,STOCK
2025-04-01,STB,Ngân hàng,1.77,2228700000,STOCK
2025-04-01,HDB,Ngân hàng,1.72,2166450000,STOCK
2025-04-01,CTD,Xây dựng,1.54,1941600000,STOCK
