code,line_item,period_end,value,asOf
2200,ASSETS,2026-05-31,,2026-07-02
2201,Cash and Cash Equivalents,2026-05-31,469301769703,2026-07-02
2202,Cash,2026-05-31,,2026-07-02
2203,Cash at bank,2026-05-31,469301769703,2026-07-02
2203.1,Cash at bank for Fund's subscription,2026-05-31,13455362958,2026-07-02
2203.2,Cash at bank for Fund's dividend payment and redemption,2026-05-31,423921062,2026-07-02
2203.3,Cash at bank for Fund's operation,2026-05-31,455422485683,2026-07-02
2203.4,Margin account for trading derivatives,2026-05-31,0,2026-07-02
2203.5,"Cash, cash equivalents",2026-05-31,0,2026-07-02
2205,Investments,2026-05-31,5489656862250,2026-07-02
2205.1,"Listed Shares, fund certificates",2026-05-31,5489656862250,2026-07-02
2205.2,"Unlisted Shares, fund certifictes",2026-05-31,0,2026-07-02
2205.3,Bonds,2026-05-31,0,2026-07-02
2205.4,Money market instruments,2026-05-31,0,2026-07-02
2205.5,Deposits with term over three (03) months,2026-05-31,0,2026-07-02
2205.6,Investment - Rights,2026-05-31,0,2026-07-02
2205.7,Index future contracts,2026-05-31,0,2026-07-02
2205.8,Other investments,2026-05-31,0,2026-07-02
2205.9,Reverse repo contracts,2026-05-31,0,2026-07-02
2206,"Dividend, Coupon receivables",2026-05-31,19448250000,2026-07-02
2206.1,Dividend receivables,2026-05-31,19448250000,2026-07-02
2206.2,Coupon receivables,2026-05-31,0,2026-07-02
2207,Interest receivables,2026-05-31,0,2026-07-02
2207.1,Interest receivable from bank deposits,2026-05-31,0,2026-07-02
2207.2,Interest receivable from Money market instruments,2026-05-31,0,2026-07-02
2207.3,Interest receivable from reverse repo contracts,2026-05-31,0,2026-07-02
2208,Securities Trading Receivables,2026-05-31,364725790000,2026-07-02
2210,Other Receivables,2026-05-31,-866400000,2026-07-02
2210.1,Impairment of devaluation of pledged assets,2026-05-31,0,2026-07-02
2210.2,Provision for doubtful debt,2026-05-31,-866400000,2026-07-02
2210.3,Other Receivables,2026-05-31,0,2026-07-02
2211,Other Assets,2026-05-31,0,2026-07-02
2212,TOTAL ASSETS,2026-05-31,6342266271953,2026-07-02
2213,LIABILITIES,2026-05-31,,2026-07-02
2214,Securities Trading Payables,2026-05-31,317750212000,2026-07-02
2215,Other Payables,2026-05-31,72485677600,2026-07-02
2215.1,Payables to investors,2026-05-31,57817370045,2026-07-02
2215.1.1,Subscription Pending allotment,2026-05-31,13455362958,2026-07-02
2215.1.2,Payables to investors for investment bought on behalf,2026-05-31,0,2026-07-02
2215.1.3,Payables to investors for collected dividend,2026-05-31,0,2026-07-02
2215.1.4,Redemption payable to investors,2026-05-31,44362007087,2026-07-02
2215.2,Tax payables and obligations to the State Budget,2026-05-31,182335085,2026-07-02
2215.3,Subscription and Redemption fee payable to distributors and Fund Management Company,2026-05-31,2475970111,2026-07-02
2215.4,Income payable to investors,2026-05-31,39925000,2026-07-02
2215.5,Remuneration Payable to Fund's Board of Representatives,2026-05-31,16964384,2026-07-02
2215.6,Management fee payable,2026-05-31,10158499737,2026-07-02
2215.7,Fund Administration fee payable,2026-05-31,143260892,2026-07-02
2215.8,Supervisory service fee payable,2026-05-31,229217432,2026-07-02
2215.9,Transaction fee,2026-05-31,707611522,2026-07-02
2215.9.1,Brokerage fee payable,2026-05-31,707611522,2026-07-02
2215.9.2,Clearing Settlement fee payable,2026-05-31,0,2026-07-02
2215.10,Accrued expense for Custodian fee,2026-05-31,308779479,2026-07-02
2215.10.1,Custodian service - Safe Custody Fee,2026-05-31,208379479,2026-07-02
2215.10.2,Custodian service - Transaction fee,2026-05-31,89400000,2026-07-02
2215.10.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSDC",2026-05-31,11000000,2026-07-02
