period_end,item,amount,balance_nav_pct,asOf
2026-06-30,Cho vay chứng khoán (nêu chi tiết từng hợp đồng),,,2026-07-02
2026-06-30,Các khoản vay tiền (nêu chi tiết từng hợp đồng),,,2026-07-02
2026-06-30,Hợp đồng Repo (nêu chi tiết từng hợp đồng),,,2026-07-02
2026-06-30,Hợp đồng Reverse Repo (nêu chi tiết từng hợp đồng),,,2026-07-02
2026-06-30,Tổng giá trị các hợp đồng Repo/giá trị tài sản ròng,0,0,2026-07-02
2026-06-30,Tổng giá trị các hợp đồng/ giá trị tài sản ròng,0,0,2026-07-02
2026-06-30,Tổng giá trị các hợp đồng/giá trị tài sản ròng,0,0,2026-07-02
2026-06-30,Tổng giá trị các khoản cho vay/giá trị tài sản ròng (=III + IV),0,0,2026-07-02
2026-06-30,Tổng giá trị các khoản vay tiền/giá trị tài sản ròng,0,0,2026-07-02
2026-06-30,Tổng giá trị các khoản vay/giá trị tài sản ròng (=I+II),0,0,2026-07-02
2026-07-31,Cho vay chứng khoán (nêu chi tiết từng hợp đồng),,,2026-08-03
2026-07-31,Các khoản vay tiền (nêu chi tiết từng hợp đồng),,,2026-08-03
2026-07-31,Hợp đồng Repo (nêu chi tiết từng hợp đồng),,,2026-08-03
2026-07-31,Hợp đồng Reverse Repo (nêu chi tiết từng hợp đồng),,,2026-08-03
2026-07-31,Tổng giá trị các hợp đồng Repo/giá trị tài sản ròng,0,0,2026-08-03
2026-07-31,Tổng giá trị các hợp đồng/ giá trị tài sản ròng,0,0,2026-08-03
2026-07-31,Tổng giá trị các hợp đồng/giá trị tài sản ròng,0,0,2026-08-03
2026-07-31,Tổng giá trị các khoản cho vay/giá trị tài sản ròng (=III + IV),0,0,2026-08-03
2026-07-31,Tổng giá trị các khoản vay tiền/giá trị tài sản ròng,0,0,2026-08-03
2026-07-31,Tổng giá trị các khoản vay/giá trị tài sản ròng (=I+II),0,0,2026-08-03
