code,line_item,period_end,measure,value,asOf
,Fee paid to Real Estate valuation service provider/ Average NAV (%) (not applicable),2026-05-31,month,0,2026-07-02
2264,INVESTMENT PERFORMANCE INDICATORS,2026-05-31,month,,2026-07-02
2265,Management fee paid to the fund management company/Average NAV (%),2026-05-31,month,0.0195021654811063,2026-07-02
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2026-05-31,month,0.000997707872297969,2026-07-02
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2026-05-31,month,3.44362637151029e-05,2026-07-02
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2026-05-31,month,4.85378357966427e-05,2026-07-02
2269,Expense/Average NAV (%),2026-05-31,month,0.0209840591294913,2026-07-02
2270,Portfolio turnover rate (%),2026-05-31,month,7.00830161381094,2026-07-02
2272,OTHER INDICATORS,2026-05-31,month,,2026-07-02
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2026-05-31,month,590415357500,2026-07-02
2274,Total value of outstanding Fund Certificate at the beginning of period,2026-05-31,month,590415357500,2026-07-02
2275,Total number of outstanding Fund Certificate at the beginning of period,2026-05-31,month,59041535.75,2026-07-02
2276,Change of Fund scale during the period (based on par value of fund certificate),2026-05-31,month,-1819863000,2026-07-02
2277,Number of Fund Certificates subscribed during the period,2026-05-31,month,1972684.41,2026-07-02
2278,Net subscription amount during the period (based on par value),2026-05-31,month,19726844100,2026-07-02
2279,Fund scale at the end of the period (based on par value),2026-05-31,month,588595494500,2026-07-02
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2026-05-31,month,588595494500,2026-07-02
2281,Total number of outstanding Fund Certificate at the end of the period,2026-05-31,month,58859549.45,2026-07-02
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2026-05-31,month,0.0159050781,2026-07-02
2283,Top 10 investors' ownership ratio at the end of the period,2026-05-31,month,0.0896,2026-07-02
2284,Foreign investors' ownership ratio at the end of the period,2026-05-31,month,0.0936,2026-07-02
2285,Net asset value per Fund Certificate at the end of period,2026-05-31,month,101122.59,2026-07-02
2286,Fee paid to Real Estate management organisation/ Average NAV (%) (not applicable),2026-05-31,month,0,2026-07-02
2287,"Income (including interest income, dividend, coupon income and unrealised gain)/ Average NAV (%) (not applicable)",2026-05-31,month,0,2026-07-02
2288,Market price per fund certificates at the end of period (not applicable),2026-05-31,month,0,2026-07-02
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2026-05-31,month,0.000367596625197339,2026-07-02
22761,Change of Number of Fund Certificates during the period,2026-05-31,month,-181986.3,2026-07-02
22762,Change in capital amount during the period (based on par value),2026-05-31,month,-1819863000,2026-07-02
22781,Number of Fund Certificates redeemed during the period,2026-05-31,month,-2154670.71,2026-07-02
22782,Net redemption amount during the period (based on par value),2026-05-31,month,-21546707100,2026-07-02
22841,Number of investors of the Fund at the end of the period,2026-05-31,month,72068,2026-07-02
