period_end,section,code,ticker,quantity,market_price,value,weight,asOf
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246,,,,,,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.1,ABB,3212660,18500,59434210000,0.00928361096016972,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.2,ACB,11857101,22650,268563337650,0.0419495362167227,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.3,BID,12380000,42400,524912000000,0.0819911427496825,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.4,CII,3033000,17400,52774200000,0.00824331881477332,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.5,CTD,889350,72700,64655745000,0.010099213616534,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.6,CTG,3632705,33950,123330334750,0.0192641720552271,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.7,CTR,428400,84800,36328320000,0.00567447585686009,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.8,DGW,975600,40200,39219120000,0.00612601820197848,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.9,DHC,459860,34000,15635240000,0.00244222116233873,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.10,DPG,1412000,38100,53797200000,0.00840311119717823,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.11,DRI,1320800,13300,17566640000,0.0027439054315243,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.12,DXS,2790100,7280,20311928000,0.00317271883319351,2026-07-02
2026-06-30,"SHARES LISTED, SHARES REGISTERED FOR TRADING, LISTED FUND CERTIFICATES",2246.13,FOX,176200,74200,13074040000,0.00204216226711346,2026-07-02
