date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,FPT,Công nghệ,7.96,234591561300,STOCK
2025-02-01,CTG,Ngân hàng,7.49,220722979000,STOCK
2025-02-01,MWG,Bán lẻ,6.37,187609400000,STOCK
2025-02-01,HPG,Vật liệu,4.98,146599600000,STOCK
2025-02-01,STB,Ngân hàng,4.93,145250550000,STOCK
2025-02-01,TCB,Ngân hàng,4.87,143607420000,STOCK
2025-02-01,BID,Ngân hàng,3.28,96574023000,STOCK
2025-02-01,FRT,Bán lẻ,2.53,74426100000,STOCK
2025-02-01,VIB,Ngân hàng,2.5,73693625000,STOCK
2025-02-01,ACB,Ngân hàng,2.44,71877910000,STOCK
2025-02-01,MBB,Ngân hàng,2.16,63674695000,STOCK
2025-02-01,GMD,Hạ tầng,2.07,61054063100,STOCK
2025-02-01,HDB,Ngân hàng,1.97,58115043000,STOCK
2025-02-01,SZC,BĐS,1.97,58149120000,STOCK
2025-02-01,VPB,Ngân hàng,1.87,54997280000,STOCK
2025-02-01,CTR,Xây dựng,1.77,52024840000,STOCK
2025-02-01,KBC,BĐS,1.7,50041530000,STOCK
2025-02-01,CTD,Xây dựng,1.69,49790400000,STOCK
2025-02-01,DGC,Vật liệu,1.57,46384000000,STOCK
2025-02-01,EIB,Ngân hàng,1.56,45833340000,STOCK
2025-02-01,PNJ,Bán lẻ,1.55,45759200000,STOCK
2025-02-01,DXG,BĐS,1.42,41799442900,STOCK
2025-02-01,TCH,Ô tô,1.38,40677000000,STOCK
2025-02-01,SIP,BĐS,1.29,37928800000,STOCK
2025-02-01,HDG,BĐS,1.21,35694200000,STOCK
2025-02-01,IDC,BĐS,1.18,34714680000,STOCK
2025-02-01,PVS,Dầu khí,1.01,29733120000,STOCK
2025-02-01,HAH,Hạ tầng,0.99,29089760000,STOCK
2025-02-01,MSN,Thực phẩm,0.98,28867280000,STOCK
2025-02-01,VEA,Sản xuất,0.98,28907190000,STOCK
2025-02-01,GEX,Hạ tầng,0.9,26572000000,STOCK
2025-02-01,VCB,Ngân hàng,0.9,26469210000,STOCK
2025-02-01,VCG,Xây dựng,0.88,25978680000,STOCK
2025-02-01,KDH,BĐS,0.87,25757480000,STOCK
2025-02-01,VIX,Chứng khoán,0.85,25052600000,STOCK
2025-02-01,VCI,Chứng khoán,0.84,24713100000,STOCK
2025-02-01,HVN,Vận tải,0.8,23616800000,STOCK
2025-02-01,BAF,Thực phẩm,0.75,22110800000,STOCK
2025-02-01,QNS,Thực phẩm,0.72,21288960000,STOCK
2025-02-01,DXS,BĐS,0.7,20493209000,STOCK
2025-02-01,ELC,Công nghệ,0.62,18376680000,STOCK
2025-02-01,MCH,Bán lẻ,0.62,18133300000,STOCK
2025-02-01,BWE,Tiện ích,0.57,16879500000,STOCK
2025-02-01,REE,Hạ tầng,0.51,15015760000,STOCK
2025-02-01,TTN,Viễn thông,0.5,14719870000,STOCK
2025-02-01,PDR,BĐS,0.49,14463320000,STOCK
2025-02-01,DBC,Thực phẩm,0.47,13852800000,STOCK
2025-02-01,DCM,Vật liệu,0.44,13030010000,STOCK
2025-02-01,PVD,Dầu khí,0.43,12595275000,STOCK
2025-02-01,BVH,Bảo hiểm,0.41,12208620000,STOCK
2025-02-01,TV2,Xây dựng,0.41,12162920000,STOCK
2025-02-01,LCG,BĐS,0.37,10901160000,STOCK
2025-02-01,CTS,Chứng khoán,0.35,10348800000,STOCK
2025-02-01,HSG,Vật liệu,0.3,8915400000,STOCK
2025-02-01,ACV,Hạ tầng,0.28,8166780000,STOCK
2025-02-01,VGC,Xây dựng,0.27,7908780000,STOCK
2025-02-01,FOX,Viễn thông,0.24,7030440000,STOCK
2025-02-01,PC1,Hạ tầng,0.22,6432000000,STOCK
2025-02-01,DPM,Vật liệu,0.19,5497660000,STOCK
2025-02-01,VNM,Thực phẩm,0.19,5510920000,STOCK
2025-02-01,PET,Bán lẻ,0.14,4135600000,STOCK
2025-02-01,IJC,BĐS,0.13,3975280000,STOCK
2025-02-01,CMG,Công nghệ,0.12,3662112000,STOCK
2025-02-01,CTI,Hạ tầng,0.12,3570000000,STOCK
2025-02-01,DGW,Bán lẻ,0.04,1194000000,STOCK
2025-02-01,PHP,Hạ tầng,0.04,1147040000,STOCK
2025-02-01,MBS,Chứng khoán,0.02,647460000,STOCK
2025-02-01,NKG,Vật liệu,0.01,437250000,STOCK
2025-02-01,MASAN CONSUMER CORP,,0.26,7622982400,BOND
2025-02-01,ELCOM TECHNOLOGY TELECOMMUNICATION JSC,,0.06,1623240000,BOND
2025-03-01,CTG,Ngân hàng,7.1,206194102700,STOCK
2025-03-01,TCB,Ngân hàng,6.7,194590000000,STOCK
2025-03-01,MWG,Bán lẻ,6.38,185354400000,STOCK
2025-03-01,HPG,Vật liệu,4.61,134054950000,STOCK
2025-03-01,FPT,Công nghệ,4.48,130023091000,STOCK
2025-03-01,STB,Ngân hàng,4.24,123172800000,STOCK
2025-03-01,VIC,BĐS,3.8,110345000000,STOCK
2025-03-01,VHM,BĐS,3.48,101102040000,STOCK
2025-03-01,MBB,Ngân hàng,2.33,67770766500,STOCK
2025-03-01,FRT,Bán lẻ,2.06,59779500000,STOCK
2025-03-01,BID,Ngân hàng,2.01,58521800000,STOCK
2025-03-01,VIB,Ngân hàng,1.72,49908855000,STOCK
2025-03-01,GMD,Hạ tầng,1.47,42781897500,STOCK
2025-03-01,VCB,Ngân hàng,1.41,41056000000,STOCK
2025-03-01,ACB,Ngân hàng,1.37,39695110000,STOCK
2025-03-01,SZC,BĐS,1.35,39325400000,STOCK
2025-03-01,GEX,Hạ tầng,1.33,38746800000,STOCK
2025-03-01,REE,Hạ tầng,1.26,36742440000,STOCK
2025-03-01,TCH,Ô tô,1.21,35218800000,STOCK
2025-03-01,VRE,BĐS,1.18,34408720000,STOCK
2025-03-01,DGC,Vật liệu,1.16,33744480000,STOCK
2025-03-01,VPB,Ngân hàng,1.11,32222100000,STOCK
2025-03-01,PDR,BĐS,1.09,31523085000,STOCK
2025-03-01,HDG,BĐS,1.06,30663495000,STOCK
2025-03-01,HAH,Hạ tầng,0.97,28248000000,STOCK
2025-03-01,IDC,BĐS,0.96,27891000000,STOCK
2025-03-01,KBC,BĐS,0.94,27358190000,STOCK
2025-03-01,EIB,Ngân hàng,0.89,25896000000,STOCK
2025-03-01,HVN,Vận tải,0.81,23640200000,STOCK
2025-03-01,VEA,Sản xuất,0.81,23648040000,STOCK
2025-03-01,MSN,Thực phẩm,0.8,23139520000,STOCK
2025-03-01,VCI,Chứng khoán,0.79,22980000000,STOCK
2025-03-01,MCH,Bán lẻ,0.73,21145104000,STOCK
2025-03-01,DXG,BĐS,0.72,21046911400,STOCK
2025-03-01,CTD,Xây dựng,0.7,20196000000,STOCK
2025-03-01,ELC,Công nghệ,0.6,17462720000,STOCK
2025-03-01,TV2,Xây dựng,0.56,16143200000,STOCK
2025-03-01,DIG,BĐS,0.52,15244800000,STOCK
2025-03-01,VCG,Xây dựng,0.49,14220150000,STOCK
2025-03-01,DXS,BĐS,0.43,12630450000,STOCK
2025-03-01,PHP,Hạ tầng,0.42,12196800000,STOCK
2025-03-01,DPG,Xây dựng,0.4,11652380000,STOCK
2025-03-01,VIX,Chứng khoán,0.4,11516225000,STOCK
2025-03-01,BAF,Thực phẩm,0.36,10589400000,STOCK
2025-03-01,CEO,BĐS,0.29,8520000000,STOCK
2025-03-01,SIP,BĐS,0.28,8128660000,STOCK
2025-03-01,CTI,Hạ tầng,0.27,7875200000,STOCK
