date,industry,weight_pct
2026-07-01,Ngân hàng,28.23
2026-07-01,Bất động sản,15.23
2026-07-01,Bán lẻ,6.17
2026-07-01,Vật liệu xây dựng,4.64
2026-07-01,Chứng khoán,3.37
2026-07-01,Thực phẩm - Đồ uống,2.64
2026-07-01,Xây dựng,2.26
2026-07-01,Vận tải - Kho bãi,2.03
2026-07-01,Tiện ích,2.02
2026-07-01,Khác,1.46
2026-07-01,Công nghệ và thông tin,1.06
2026-07-01,Sản xuất,0.94
2026-07-01,Sản xuất Nhựa - Hóa chất,0.82
2026-07-01,Khai khoáng,0.64
2026-07-01,Bán buôn,0.54
2026-07-01,Sản xuất Phụ trợ,0.44
2026-07-01,Sản phẩm cao su,0.08
