date,price
2019-04-03,10000
2019-04-09,9995.43
2019-04-16,9991.69
2019-04-23,9987.93
2019-04-30,9994.93
2019-05-07,10007.01
2019-05-14,10019.06
2019-05-21,10031.36
2019-05-28,10043.38
2019-06-04,10055.12
2019-06-11,10069.96
2019-06-18,10082.76
2019-06-25,10097.48
2019-07-02,10112.51
2019-07-09,10122.97
2019-07-16,10136.85
2019-07-23,10150.47
2019-07-30,10163.97
2019-08-06,10178.92
2019-08-13,10207.41
2019-08-20,10216.04
2019-08-27,10237.65
2019-09-03,10237.18
2019-09-10,10226.98
2019-09-17,10266.74
2019-09-24,10248.19
2019-10-08,10277.12
2019-10-15,10360.93
2019-10-22,10325.76
2019-10-29,10390.17
2019-11-05,10404.44
2019-11-12,10393.24
2019-11-19,10317.47
2019-11-26,10268.54
2019-12-03,10185.07
2019-12-10,10229.83
2019-12-17,10289.04
2019-12-24,10265.27
2019-12-31,10321.02
2020-01-07,10304.77
2020-01-14,10347.64
2020-01-21,10437.46
2020-01-28,10487.49
2020-02-04,10242.76
2020-02-11,10262.04
2020-02-18,10381.16
2020-02-25,10298.97
2020-03-03,10316.21
2020-03-10,10101
2020-03-17,9720.76
2020-03-24,9590.55
2020-03-31,9553.65
2020-04-07,9561.75
2020-04-14,9578.74
2020-04-21,9582.51
2020-04-28,9587.12
2020-05-05,9591.48
2020-05-12,9586.34
2020-05-19,9595.06
2020-05-26,9597.28
2020-06-02,9600.05
2020-06-09,9614.29
2020-06-16,9615.81
2020-06-23,9603.1
2020-06-30,9603.95
2020-07-07,9620.41
2020-07-14,9621.66
2020-07-21,9610.11
2020-07-28,9623.48
2020-08-04,9612.59
2020-08-11,9612.22
2020-08-18,9615.19
2020-08-25,9615.52
2020-09-01,9619.04
2020-09-08,9622.93
2020-09-15,9623.06
2020-09-22,9605.26
2020-09-29,9601.93
2020-10-06,9598.16
2020-10-13,9598.45
2020-10-20,9593
2020-10-27,9586.61
2020-11-03,9601.37
2020-11-10,9589.16
2020-11-17,9578.12
2020-11-24,9565.98
2020-12-01,9551.77
2020-12-08,9535.65
2020-12-15,9519.63
2020-12-17,9519.63
2020-12-22,9498.78
2020-12-29,9481.85
2021-01-05,9664.14
2021-01-12,9648.22
2021-01-19,9630.69
2021-01-26,9613.01
2021-02-02,9591.96
2021-02-09,9574.14
2021-02-16,9553.26
2021-02-23,9533
2021-03-01,9514.35
2021-03-02,9511.31
2021-03-09,9490.04
2021-03-16,9469.6
2021-03-23,9448.26
2021-03-30,9427.24
2021-04-01,9421.42
2021-04-06,9406.82
2021-04-13,9386.65
2021-04-20,9365.53
2021-04-27,9340.51
2021-05-04,9310.28
2021-05-05,9305.36
2021-05-06,9302.08
2021-05-07,9297.87
2021-05-10,9290.93
2021-05-11,9288.53
2021-05-12,9285.75
2021-05-13,9284.39
2021-05-14,9283.89
2021-05-17,9284.1
2021-05-18,9284.69
2021-05-19,9285.26
2021-05-20,9286.03
2021-05-21,9286.84
2021-05-24,9288.93
2021-05-25,9289.64
2021-05-26,9290.36
2021-05-27,9290.61
2021-05-28,9290.74
2021-05-31,9291
2021-06-01,9294.76
2021-06-02,9295.64
2021-06-03,9299.65
2021-06-04,9297.92
2021-06-07,9302.06
2021-06-08,9302.37
2021-06-09,9311.25
2021-06-10,9304.59
2021-06-11,9308.02
2021-06-14,9309.14
2021-06-15,9310.28
2021-06-16,9311.27
2021-06-17,9307.47
2021-06-18,9313.54
2021-06-21,9317.64
2021-06-22,9320.05
2021-06-23,9321.36
2021-06-24,9313.25
2021-06-25,9314.76
2021-06-28,9328.04
2021-06-29,9329.54
2021-06-30,9330.91
2021-07-01,9332.44
2021-07-02,9333.94
2021-07-05,9338.51
2021-07-06,9340.04
2021-07-07,9341.56
2021-07-08,9343.08
2021-07-09,9344.61
2021-07-12,9349.18
2021-07-13,9350.69
2021-07-14,9352.21
2021-07-15,9353.73
2021-07-16,9355.26
2021-07-19,9359.82
2021-07-20,9361.38
2021-07-21,9362.9
2021-07-22,9364.37
2021-07-23,9365.87
2021-07-26,9370.35
2021-07-27,9371.83
2021-07-28,9373.34
2021-07-29,9374.82
2021-07-30,9376.48
2021-08-02,9380.79
2021-08-03,9382.34
2021-08-04,9383.64
2021-08-05,9384.33
2021-08-06,9386.72
2021-08-09,9392.12
2021-08-10,9392.06
2021-08-11,9391.95
2021-08-12,9392.57
2021-08-13,9400.94
2021-08-16,9405.95
2021-08-17,9405.11
2021-08-18,9406.78
2021-08-19,9405.88
2021-08-20,9409.89
2021-08-23,9415.05
2021-08-24,9416.71
2021-08-25,9418.37
2021-08-26,9420.02
2021-08-27,9421.68
2021-08-29,9421.68
2021-08-31,9429.98
2021-09-01,9429.98
2021-09-03,9432.07
2021-09-06,9437.04
2021-09-07,9439.88
2021-09-08,9440.08
2021-09-09,9441.3
2021-09-10,9442.32
2021-09-13,9446.07
2021-09-14,9447.48
2021-09-15,9448.9
2021-09-16,9450.3
2021-09-17,9451.7
2021-09-20,9455.89
2021-09-21,9457.26
2021-09-22,9458.47
2021-09-23,9459.62
2021-09-24,9460.83
2021-09-27,9464.41
2021-09-28,9465.28
2021-09-29,9465.65
2021-09-30,9466.75
2021-10-01,9467.25
2021-10-04,9470.69
2021-10-05,9471.93
2021-10-06,9473.08
2021-10-07,9474.19
2021-10-08,9475.34
2021-10-11,9478.79
2021-10-12,9479.94
2021-10-13,9481.09
2021-10-14,9482.24
2021-10-15,9483.39
2021-10-18,9486.84
2021-10-19,9487.98
2021-10-20,9489.13
2021-10-21,9489.88
2021-10-22,9491.04
2021-10-25,9494.52
2021-10-26,9495.67
2021-10-27,9496.84
2021-10-28,9497.99
2021-10-29,9499.11
2021-11-01,9502.6
2021-11-02,9517.32
2021-11-03,9518.4
2021-11-04,9519.89
2021-11-05,9521.42
2021-11-08,9526.04
2021-11-09,9527.58
2021-11-10,9529.11
2021-11-11,9530.65
2021-11-12,9532.19
2021-11-15,9535.23
2021-11-16,9536.73
2021-11-17,9538.23
2021-11-18,9538.43
2021-11-19,9541.23
2021-11-22,9545.75
2021-11-23,9547.2
2021-11-24,9548.7
2021-11-25,9550.2
2021-11-26,9551.69
2021-11-29,9556.2
2021-11-30,9565.89
2021-12-01,9567.22
2021-12-02,9568.54
2021-12-03,9569.99
2021-12-06,9574.48
2021-12-07,9575.93
2021-12-08,9581.59
2021-12-09,9578.79
2021-12-10,9583.5
2021-12-13,9584.87
2021-12-14,9586.47
2021-12-15,9588.08
2021-12-16,9619.03
2021-12-17,9623.58
2021-12-20,9626.93
2021-12-21,9628.25
2021-12-22,9629.82
2021-12-23,9625.57
2021-12-24,9632.94
2021-12-27,9637.66
2021-12-28,9639.2
2021-12-29,9640.77
2021-12-30,9661.37
2021-12-31,9661.96
2022-01-04,9667.62
2022-01-05,9668.96
2022-01-06,9663.54
2022-01-07,9671.76
2022-01-10,9675.79
2022-01-11,9677.35
2022-01-12,9681.81
2022-01-13,9680.15
2022-01-14,9681.52
2022-01-17,9685.73
2022-01-18,9686.68
2022-01-19,9688.44
2022-01-20,9683.34
2022-01-21,9691.44
2022-01-24,9696.25
2022-01-25,9699.08
2022-01-26,9695.49
2022-01-27,9701.9
2022-01-28,9697.74
2022-02-01,9701.86
2022-02-04,9706.76
2022-02-07,9710.48
2022-02-08,9729.84
2022-02-09,9725.41
2022-02-10,9718.1
2022-02-11,9716.73
2022-02-14,9721.45
2022-02-15,9725.7
2022-02-16,9731.66
2022-02-17,9733.22
2022-02-18,9734.78
2022-02-21,9737.34
2022-02-22,9738.09
2022-02-23,9747.31
2022-02-24,9741.67
2022-02-25,9743.42
2022-02-28,9761.89
2022-03-01,9769.54
2022-03-02,9768.68
2022-03-03,9770.26
2022-03-04,9771.84
2022-03-07,9776.6
2022-03-08,9778.12
2022-03-09,9779.63
2022-03-10,9781.13
2022-03-11,9782.75
2022-03-14,9787.62
2022-03-15,9786.61
2022-03-16,9790.84
2022-03-17,9792.46
2022-03-18,9797.44
2022-03-21,9798.96
2022-03-22,9800.32
2022-03-23,9800.34
2022-03-24,9803.8
2022-03-25,9806.43
2022-03-28,9810.17
2022-03-29,9811.66
2022-03-30,9813.31
2022-03-31,9814.95
2022-04-01,9816.6
2022-04-04,9821.35
2022-04-05,9823
2022-04-06,9824.65
2022-04-07,9826.29
2022-04-08,9827.93
2022-04-12,9834.48
2022-04-13,9838.27
2022-04-14,9838.46
2022-04-15,9841.84
2022-04-18,9844.59
2022-04-19,9846.59
2022-04-20,9847.61
2022-04-21,9849.11
2022-04-22,9850.65
2022-04-25,9855.39
2022-04-26,9856.86
2022-04-27,9857.52
2022-04-28,9858.84
2022-04-29,9860.48
2022-05-04,9868.7
2022-05-05,9870.1
2022-05-06,9870.98
2022-05-09,9875.9
2022-05-10,9876.14
2022-05-11,9877.78
2022-05-12,9880.9
2022-05-13,9882.53
2022-05-16,9886.94
2022-05-17,9887.86
2022-05-18,9888.63
2022-05-19,9893.62
2022-05-20,9893.77
2022-05-23,9899.89
2022-05-24,9901.07
2022-05-25,9902.8
2022-05-26,9905.39
2022-05-27,9907.04
2022-05-30,9911.71
2022-05-31,9918.44
2022-06-01,9914.01
2022-06-02,9915.4
2022-06-03,9917.19
2022-06-06,9922.41
2022-06-07,9924.21
2022-06-08,9926.01
2022-06-09,9927.81
2022-06-10,9929.59
2022-06-13,9934.9
2022-06-14,9936.63
2022-06-15,9944.12
2022-06-16,9939.88
2022-06-17,9942.46
2022-06-20,9946.63
2022-06-21,9950.58
2022-06-22,9948.67
2022-06-23,9951.75
2022-06-24,9954.49
2022-06-27,9958.44
2022-06-28,9963.74
2022-06-29,9965.34
2022-06-29,9965.56
2022-07-01,9965.27
2022-07-04,9970.92
