date,stock_code,industry,weight_pct,asset_value,type_asset
2026-01-01,VPI124001,,12.91,152685165688,BOND
2026-01-01,DSE125018,,8.46,100065403000,BOND
2026-01-01,HDB124018,,8.46,100037635000,BOND
2026-01-01,SHB125017,,7.47,88339213958,BOND
2026-01-01,MSN123008,,6.79,80256021600,BOND
2026-01-01,DSE125004,,4.66,55149877200,BOND
2026-01-01,CII124021,,2.12,25100291500,BOND
2026-01-01,MSN123009,,2.1,24877380250,BOND
2026-01-01,AF050129,,0.91,10798451820,BOND
2026-01-01,CASH,,46.11,545094874508,CASH
2026-02-01,VPI124001,,12.86,152637848700,BOND
2026-02-01,DSE125018,,8.44,100169727000,BOND
2026-02-01,KBC12401,,7.61,90299795400,BOND
2026-02-01,SHB125017,,7.44,88309926855,BOND
2026-02-01,MSN123008,,6.8,80746965600,BOND
2026-02-01,DSE125004,,4.64,55080174050,BOND
2026-02-01,BAF123020,,3.54,42046734532,BOND
2026-02-01,CII124021,,2.11,25088836750,BOND
2026-02-01,AF050129,,0.91,10797294708,BOND
2026-02-01,HDB124018,,0.84,10005819200,BOND
2026-02-01,CASH,,44.81999999999999,531826832409,CASH
2026-03-01,VPI124001,,14.6,152752424826,BOND
2026-03-01,DSE125018,,9.51,99541828000,BOND
2026-03-01,KBC12401,,8.64,90449018100,BOND
2026-03-01,DSE125004,,5.27,55143605000,BOND
2026-03-01,MSN123008,,4.81,50312275000,BOND
2026-03-01,BAF123020,,3.99,41800011286,BOND
2026-03-01,HDB124018,,2.87,30013673100,BOND
2026-03-01,VND125032,,2.86,29928287700,BOND
2026-03-01,CII124021,,2.4,25077325750,BOND
2026-03-01,BAF126003,,1.03,10799729028,BOND
2026-03-01,CASH,,44.01,460649325239,CASH
2026-04-01,VPI124001,,18.75,153123595224,BOND
2026-04-01,DSE125018,,12.19,99569062000,BOND
2026-04-01,KBC12401,,8.6,70217000000,BOND
2026-04-01,MSN123008,,6.13,50098147500,BOND
2026-04-01,DSE125004,,5.58,45563658140,BOND
2026-04-01,VND125032,,3.68,30050330100,BOND
2026-04-01,HDB124018,,3.67,29974901100,BOND
2026-04-01,CII124021,,3.07,25065614750,BOND
2026-04-01,BAF126003,,1.32,10797651648,BOND
2026-04-01,CASH,,37.02,302341565344,CASH
2026-05-01,VPI124001,,16.99,132774083048,BOND
2026-05-01,DSE125018,,12.81,100094969000,BOND
2026-05-01,MSN123008,,6.43,50281730500,BOND
2026-05-01,DSE125004,,5.83,45528057575,BOND
2026-05-01,KBC12401,,5.77,45083969100,BOND
2026-05-01,VND125032,,3.84,29980216500,BOND
2026-05-01,CII124021,,3.21,25075283750,BOND
2026-05-01,BAF126003,,1.38,10783115604,BOND
2026-05-01,CASH,,43.74,341918220796,CASH
2026-06-01,VPI124001,,13.56,102801760558,BOND
2026-06-01,MSN123008,,6.63,50268923500,BOND
2026-06-01,DSE125004,,6.01,45567400060,BOND
2026-06-01,KBC12401,,5.94,45037584450,BOND
2026-06-01,DSE125018,,5.28,40040424800,BOND
2026-06-01,VND125032,,3.96,29997589500,BOND
2026-06-01,CII124021,,3.31,25054996500,BOND
2026-06-01,BAF126003,,1.42,10799551800,BOND
2026-06-01,CASH,,53.879999999999995,408449808352,CASH
2026-07-01,VPI124001,,16.3,93735929078,BOND
2026-07-01,DSE125004,,9.58,55090328150,BOND
2026-07-01,DSE125018,,6.96,40016918000,BOND
2026-07-01,MSN123008,,5.24,30157071900,BOND
2026-07-01,VND125032,,5.22,29994189900,BOND
2026-07-01,CII124021,,4.35,25035935500,BOND
2026-07-01,KBC12401,,2.61,15014159700,BOND
2026-07-01,BAF126003,,1.88,10805994540,BOND
2026-07-01,CASH,,46.06,264887616876,CASH
2026-07-01,OTHER,,1.8,10331001451,OTHER
