date,industry,weight_pct
2026-08-07,Ngân hàng,26.79
2026-08-07,Bất động sản,13.93
2026-08-07,Vật liệu xây dựng,3.7
2026-08-07,Chứng khoán,3.3
2026-08-07,Thực phẩm - Đồ uống,1.92
2026-08-07,Công nghệ và thông tin,1.82
2026-08-07,Bán lẻ,1.58
2026-08-07,Tiện ích,1.32
2026-08-07,Sản xuất Nhựa - Hóa chất,1.32
2026-08-07,Thiết bị điện,1.24
2026-08-07,Sản xuất Phụ trợ,1.12
2026-08-07,Dịch vụ lưu trú, ăn uống, giải trí,0.9
2026-08-07,Sản xuất,0.76
2026-08-07,Vận tải - Kho bãi,0.7
2026-08-07,Khai khoáng,0.62
