date,price
2024-11-13,10000
2024-11-21,9996
2024-11-28,10058
2024-11-30,10086
2024-12-03,10076
2024-12-05,10269
2024-12-10,10264
2024-12-12,10221
2024-12-17,10177
2024-12-19,10144
2024-12-24,10178
2024-12-26,10313
2024-12-31,10266
2025-01-02,10275
2025-01-07,10035
2025-01-09,10022
2025-01-14,9915
2025-01-16,9988
2025-01-21,10061
2025-01-23,10199
2025-01-31,10219
2025-02-04,10214
2025-02-06,10267
2025-02-11,10235
2025-02-13,10221
2025-02-18,10225
2025-02-20,10345
2025-02-25,10424
2025-02-27,10480
2025-02-28,10442
2025-03-04,10506
2025-03-06,10563
2025-03-11,10635
2025-03-13,10496
2025-03-18,10457
2025-03-20,10388
2025-03-25,10417
2025-03-27,10336
2025-03-31,10201
2025-04-01,10266
2025-04-03,9570
2025-04-08,8780
2025-04-10,8993
2025-04-15,9450
2025-04-17,9334
2025-04-22,9288
2025-04-24,9453
2025-04-30,9447
2025-05-06,9529
2025-05-08,9655
2025-05-13,9913
2025-05-15,10085
2025-05-20,9996
2025-05-22,9925
2025-05-27,10145
2025-05-29,10139
2025-05-31,10047
2025-06-03,10164
2025-06-05,10157
2025-06-10,10043
2025-06-12,10190
2025-06-17,10382
2025-06-19,10386
2025-06-27,10408
2025-07-02,10475
2025-07-04,10554
2025-07-09,10857
2025-07-11,10967
2025-07-16,11042
2025-07-18,11164
2025-07-23,11268
2025-07-25,11340
2025-07-30,11061
2025-08-01,11152
2025-08-06,11432
2025-08-08,11776
2025-08-13,11975
2025-08-15,12284
2025-08-20,12302
2025-08-22,12440
2025-08-27,12230
2025-08-29,12467
2025-09-03,12505
2025-09-05,12668
2025-09-10,12252
2025-09-12,12344
2025-09-17,12532
2025-09-19,12336
2025-09-24,12067
2025-09-26,12241
2025-10-01,12080
2025-10-03,12049
2025-10-08,12232
2025-10-10,12422
2025-10-15,12457
2025-10-17,12483
2025-10-22,11822
2025-10-24,11928
2025-10-29,11887
2025-10-31,11885
2025-11-05,11785
2025-11-07,11664
2025-11-12,11365
2025-11-14,11578
2025-11-19,11790
2025-11-21,11711
2025-11-26,11607
2025-11-28,11756
2025-12-03,11825
2025-12-05,12076
2025-12-10,12065
2025-12-12,11817
2025-12-17,11747
2025-12-19,11698
2025-12-24,12248
2025-12-26,12025
2025-12-31,12213

2026-01-07,12489
2026-01-09,12706
2026-01-14,13014
2026-01-16,12725
2026-01-21,12915
2026-01-23,12886
2026-01-28,12591
2026-01-30,12628
2026-02-04,12820
2026-02-06,12535
2026-02-11,12203
2026-02-13,12549
2026-02-25,12874
2026-02-27,12995
2026-03-04,12733
2026-03-06,12580
2026-03-11,11787
2026-03-13,12013
2026-03-18,11906
2026-03-20,11825
2026-03-25,11317
2026-03-27,11532
2026-04-01,11736
2026-04-03,11776
2026-04-08,11579
2026-04-10,12022
2026-04-15,12286
2026-04-17,12557
2026-04-22,12692
2026-04-24,12902
2026-04-29,12927
2026-05-06,12858
2026-05-08,13115
2026-05-13,13064
2026-05-15,13224
2026-05-20,13086
2026-05-22,12978
2026-05-27,12886
2026-05-29,12727
2026-06-03,12482
2026-06-05,12539
2026-06-10,12269
2026-06-12,12296
2026-06-17,12358
2026-06-19,12498
2026-06-24,12741
2026-06-26,12674
2026-07-01,12704
2026-07-03,12762
2026-07-08,12614
2026-07-10,12570
2026-07-15,12321
2026-07-17,12330
2026-07-22,11862
2026-07-24,11628
2026-07-29,11541
2026-07-31,11982
2026-08-05,12230
2026-08-07,12140
2026-08-12,12185
2026-08-14,12121
2026-08-19,11904
2026-08-21,11927
2026-08-26,12333
2026-08-28,12627
