date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-08,VIC,Bất động sản,18.62,497734600000,STOCK
2026-07-08,VCB,Ngân hàng,8.09,216237056000,STOCK
2026-07-08,VHM,Bất động sản,7.05,188383800000,STOCK
2026-07-08,VPB,Ngân hàng,3.84,102708000000,STOCK
2026-07-08,TCB,Ngân hàng,3.8,101665800000,STOCK
2026-07-08,MBB,Ngân hàng,3.77,100701871200,STOCK
2026-07-08,BID,Ngân hàng,3.52,94017760000,STOCK
2026-07-08,CTG,Ngân hàng,3.3,88231840200,STOCK
2026-07-08,HPG,Vật liệu xây dựng,3.18,84878638000,STOCK
2026-07-08,STB,Ngân hàng,3.01,80478900000,STOCK
