date,industry,weight_pct
2026-07-08,Ngân hàng,35.17
2026-07-08,Bất động sản,28.0
2026-07-08,Chứng khoán,5.92
2026-07-08,Thực phẩm - Đồ uống,4.21
2026-07-08,Vật liệu xây dựng,3.5
2026-07-08,Tiện ích,3.14
2026-07-08,Bán lẻ,2.29
2026-07-08,Thiết bị điện,2.26
2026-07-08,Sản xuất Nhựa - Hóa chất,2.13
2026-07-08,Sản xuất Phụ trợ,1.99
2026-07-08,Công nghệ và thông tin,1.82
2026-07-08,Dịch vụ lưu trú, ăn uống, giải trí,1.81
2026-07-08,Vận tải - Kho bãi,1.46
2026-07-08,Sản xuất,1.06
2026-07-08,Khai khoáng,0.41
2026-07-08,Bán buôn,0.05
