date,price
2016-04-06,4205
2016-04-07,4223
2016-04-08,4256
2016-04-11,4303
2016-04-12,4313
2016-04-13,4311
2016-04-14,4309
2016-04-15,4307
2016-04-19,4242
2016-04-20,4252
2016-04-21,4261
2016-04-22,4300
2016-04-25,4319
2016-04-26,4326
2016-04-27,4321
2016-04-28,4302
2016-04-29,4337
2016-05-04,4356
2016-05-05,4371
2016-05-06,4351
2016-05-09,4349
2016-05-10,4331
2016-05-11,4372
2016-05-12,4376
2016-05-13,4371
2016-05-16,4374
2016-05-17,4402
2016-05-18,4402
2016-05-19,4406
2016-05-20,4407
2016-05-23,4424
2016-05-24,4448
2016-05-25,4453
2016-05-26,4416
2016-05-27,4434
2016-05-30,4464
2016-05-31,4501
2016-06-01,4508
2016-06-02,4533
2016-06-03,4559
2016-06-06,4564
2016-06-07,4620
2016-06-08,4643
2016-06-09,4658
2016-06-10,4678
2016-06-13,4637
2016-06-14,4665
2016-06-15,4709
2016-06-16,4725
2016-06-17,4699
2016-06-20,4785
2016-06-21,4796
2016-06-22,4826
2016-06-23,4903
2016-06-24,4875
2016-06-27,4846
2016-06-28,4858
2016-06-29,4951
2016-06-30,4957
2016-07-01,4975
2016-07-04,5022
2016-07-05,5033
2016-07-06,5071
2016-07-07,5193
2016-07-08,5191
2016-07-11,5121
2016-07-12,5138
2016-07-13,5175
2016-07-14,5134
2016-07-15,5092
2016-07-18,5155
2016-07-19,5101
2016-07-20,5036
2016-07-21,5005
2016-07-22,4974
2016-07-25,4966
2016-07-26,4976
2016-07-27,5012
2016-07-28,5004
2016-07-29,4992
2016-08-01,4934
2016-08-02,4830
2016-08-03,4794
2016-08-04,4747
2016-08-05,4715
2016-08-08,4727
2016-08-09,4769
2016-08-10,4845
2016-08-11,4904
2016-08-12,4868
2016-08-15,4906
2016-08-16,4949
2016-08-17,4993
2016-08-18,4984
2016-08-19,4957
2016-08-22,4939
2016-08-23,4954
2016-08-24,4934
2016-08-25,4941
2016-08-26,4958
2016-08-29,4918
2016-08-30,4954
2016-08-31,4990
2016-09-01,4998
2016-09-05,4973
2016-09-06,5005
2016-09-07,5028
2016-09-08,5062
2016-09-09,5069
2016-09-12,4986
2016-09-13,4971
2016-09-14,4957
2016-09-15,4972
2016-09-16,4956
2016-09-19,4987
2016-09-20,5017
2016-09-21,5015
2016-09-22,5059
2016-09-23,5049
2016-09-26,5074
2016-09-27,5110
2016-09-28,5135
2016-09-29,5143
2016-09-30,5129
2016-10-03,5143
2016-10-04,5093
2016-10-05,5110
2016-10-06,5124
2016-10-07,5110
2016-10-10,5060
2016-10-11,5067
2016-10-12,5091
2016-10-13,5102
2016-10-14,5101
2016-10-17,5092
2016-10-18,5081
2016-10-19,5081
2016-10-20,5045
2016-10-21,4998
2016-10-24,4942
2016-10-25,4920
2016-10-26,4930
2016-10-27,4937
2016-10-28,4965
2016-10-31,4948
2016-11-01,4948
2016-11-02,4895
2016-11-03,4864
2016-11-04,4878
