date,price
2019-06-05,12610
2019-06-06,12400
2019-06-07,12580
2019-06-10,12700
2019-06-11,12700
2019-06-12,12900
2019-06-13,12600
2019-06-14,12500
2019-06-17,12300
2019-06-18,12300
2019-06-19,12500
2019-06-20,12500
2019-06-21,12600
2019-06-24,12700
2019-06-25,12800
2019-06-26,12800
2019-06-27,12400
2019-06-28,12600
2019-07-01,12650
2019-07-02,12680
2019-07-03,12600
2019-07-04,12680
2019-07-05,12700
2019-07-08,12700
2019-07-09,12700
2019-07-10,12700
2019-07-11,12750
2019-07-12,12760
2019-07-15,12650
2019-07-16,12800
2019-07-17,12800
2019-07-18,12780
2019-07-19,12810
2019-07-22,12790
2019-07-23,13000
2019-07-24,13000
2019-07-25,13100
2019-07-26,13050
2019-07-29,12950
2019-07-30,12850
2019-07-31,12780
2019-08-01,12900
2019-08-02,12900
2019-08-05,12700
2019-08-06,12550
2019-08-07,12580
2019-08-08,12620
2019-08-09,12700
2019-08-12,12760
2019-08-13,12720
2019-08-14,12750
2019-08-15,12720
2019-08-16,12880
2019-08-19,12880
2019-08-20,12930
2019-08-21,12950
2019-08-22,13000
2019-08-23,13000
2019-08-26,12900
2019-08-27,13100
2019-08-28,12900
2019-08-29,12860
2019-08-30,12950
2019-09-03,12900
2019-09-04,12870
2019-09-05,12860
2019-09-06,12860
2019-09-09,12800
2019-09-10,12820
2019-09-11,12830
2019-09-12,12870
2019-09-13,12980
2019-09-16,13000
2019-09-17,13100
2019-09-18,13150
2019-09-19,13200
2019-09-20,13250
2019-09-23,13230
2019-09-24,13180
2019-09-25,13170
2019-09-26,13190
2019-09-27,13350
2019-09-30,13360
2019-10-01,13360
2019-10-02,13360
2019-10-03,13250
2019-10-04,13280
2019-10-07,13240
2019-10-08,13250
2019-10-09,13230
2019-10-10,13200
2019-10-11,13200
2019-10-14,13220
2019-10-15,13220
2019-10-16,13280
2019-10-17,13280
2019-10-18,13280
2019-10-21,13200
2019-10-22,13200
2019-10-23,13180
2019-10-24,13300
2019-10-25,13300
2019-10-28,13330
2019-10-29,13310
2019-10-30,13320
2019-10-31,13300
2019-11-01,13500
2019-11-04,13580
2019-11-05,13610
2019-11-06,13610
2019-11-07,13650
2019-11-08,13630
2019-11-11,13550
2019-11-12,13580
2019-11-13,13500
2019-11-14,13460
2019-11-15,13430
2019-11-18,13300
2019-11-19,13300
2019-11-20,13270
2019-11-21,13160
2019-11-22,12950
2019-11-25,12930
2019-11-26,13000
2019-11-27,13000
2019-11-28,12850
2019-11-29,12870
2019-12-02,12800
2019-12-03,12700
2019-12-04,12800
2019-12-05,12800
2019-12-06,12800
2019-12-09,12800
2019-12-10,12700
2019-12-11,12750
2019-12-12,12800
2019-12-13,12800
2019-12-16,12740
2019-12-17,12600
2019-12-18,12500
2019-12-19,12450
2019-12-20,12550
2019-12-23,12570
2019-12-24,12570
2019-12-25,12600
2019-12-26,12600
2019-12-27,12600
2019-12-30,12650
2019-12-31,12650
2020-01-02,12750
2020-01-03,12870
2020-01-06,12600
2020-01-07,12650
2020-01-08,12500
2020-01-09,12650
2020-01-10,12700
2020-01-13,12700
2020-01-14,12750
2020-01-15,12770
2020-01-16,12820
