date,price
2020-03-18,9990
2020-03-19,10600
2020-03-20,11340
2020-03-23,11200
2020-03-24,10420
2020-03-25,9700
2020-03-26,9700
2020-03-27,9700
2020-03-30,9650
2020-03-31,8980
2020-04-01,8360
2020-04-03,7780
2020-04-06,7810
2020-04-07,7770
2020-04-08,7790
2020-04-09,7930
2020-04-10,7920
2020-04-13,8080
2020-04-14,7960
2020-04-15,8240
2020-04-16,8220
2020-04-17,8410
2020-04-20,8370
2020-04-21,7940
2020-04-22,8070
2020-04-23,8070
2020-04-24,7930
2020-04-27,8060
2020-04-28,7970
2020-04-29,8000
2020-05-04,7930
2020-05-05,8039
2020-05-06,8090
2020-05-07,8200
2020-05-08,8570
2020-05-11,8860
2020-05-12,8890
2020-05-13,9000
2020-05-14,9010
2020-05-15,8860
2020-05-18,9050
2020-05-19,9240
2020-05-20,9180
2020-05-21,9270
2020-05-22,9320
2020-05-25,9310
2020-05-26,9360
2020-05-27,9390
2020-05-28,9300
2020-05-29,9280
2020-06-01,9580
2020-06-02,9650
2020-06-03,9740
2020-06-04,9800
2020-06-05,9710
2020-06-08,9890
2020-06-09,9850
2020-06-10,9500
2020-06-11,9700
2020-06-12,9560
2020-06-15,9350
2020-06-16,9450
2020-06-17,9370
2020-06-18,9410
2020-06-19,9450
2020-06-22,9550
2020-06-23,9500
2020-06-24,9400
2020-06-25,9300
2020-06-26,9250
2020-06-29,9010
2020-06-30,8950
2020-07-01,9080
2020-07-02,9060
2020-07-03,9080
2020-07-06,9270
2020-07-07,9320
2020-07-08,9280
2020-07-09,9500
2020-07-10,9440
2020-07-13,9420
2020-07-14,9420
2020-07-15,9470
2020-07-16,9470
2020-07-17,9500
2020-07-20,9420
2020-07-21,9330
2020-07-22,9380
2020-07-23,9270
2020-07-24,9080
2020-07-27,8700
2020-07-28,8850
2020-07-29,8520
2020-07-30,8560
2020-07-31,8570
2020-08-03,8630
2020-08-04,8800
2020-08-05,9050
2020-08-06,9020
2020-08-07,9000
2020-08-10,9070
2020-08-11,9090
2020-08-12,9180
2020-08-13,9270
2020-08-14,9220
2020-08-17,9240
2020-08-18,9220
2020-08-19,9230
2020-08-20,9160
2020-08-21,9310
2020-08-24,9640
2020-08-25,9680
2020-08-26,9600
2020-08-27,9650
2020-08-28,9750
2020-08-31,9750
2020-09-01,9820
2020-09-03,9900
2020-09-04,9860
2020-09-07,9720
2020-09-08,9710
2020-09-09,9710
2020-09-10,9720
2020-09-11,9740
2020-09-14,9720
2020-09-15,9750
2020-09-16,9750
2020-09-17,9700
2020-09-18,9900
2020-09-21,9990
2020-09-22,10030
2020-09-23,10190
2020-09-24,10140
2020-09-25,10150
2020-09-28,10410
2020-09-29,10350
2020-09-30,10380
2020-10-01,10400
2020-10-02,10330
2020-10-05,10440
2020-10-06,10490
2020-10-07,10500
2020-10-08,10320
2020-10-09,10390
2020-10-12,10450
2020-10-13,10460
2020-10-14,10640
2020-10-15,10750
2020-10-16,10920
2020-10-19,10950
2020-10-20,11090
2020-10-21,11090
2020-10-22,11100
2020-10-23,11210
2020-10-26,11090
2020-10-27,10840
2020-10-28,10550
2020-10-29,10410
2020-10-30,10350
2020-11-02,10430
2020-11-03,10630
2020-11-04,10610
2020-11-05,10650
2020-11-06,10600
2020-11-09,10600
2020-11-10,10700
2020-11-11,10610
2020-11-12,10830
2020-11-13,11000
2020-11-16,11020
2020-11-17,11080
2020-11-18,11100
2020-11-19,11160
2020-11-20,11340
2020-11-23,11350
2020-11-24,11460
2020-11-25,11500
2020-11-26,11500
2020-11-27,11650
2020-11-30,11400
2020-12-01,11400
2020-12-02,12010
2020-12-03,11900
2020-12-04,12000
2020-12-07,12000
2020-12-08,12050
2020-12-09,12190
2020-12-10,12320
2020-12-11,12450
2020-12-14,12450
2020-12-15,12490
2020-12-16,12800
2020-12-17,12840
2020-12-18,13300
2020-12-21,13590
2020-12-22,13390
2020-12-23,13400
2020-12-24,13020
2020-12-25,13470
2020-12-28,13470
2020-12-29,13410
2020-12-30,13410
2020-12-31,13650
2021-01-04,14150
2021-01-05,14140
2021-01-06,14650
2021-01-07,14890
2021-01-08,15010
2021-01-11,15150
2021-01-12,15100
2021-01-13,15130
2021-01-14,15230
2021-01-15,15770
2021-01-18,15470
2021-01-19,14500
2021-01-20,14300
2021-01-21,15060
2021-01-22,15060
2021-01-25,14900
2021-01-26,14200
2021-01-27,14000
2021-01-28,13800
2021-01-29,13900
2021-02-01,13150
2021-02-02,13630
2021-02-03,14260
2021-02-04,14200
2021-02-05,14500
2021-02-08,14020
2021-02-09,14510
2021-02-17,15230
2021-02-18,15200
2021-02-19,15330
2021-02-22,15600
2021-02-23,15550
2021-02-24,15500
2021-02-25,15310
2021-02-26,15370
2021-03-01,15690
2021-03-02,15800
2021-03-03,15770
2021-03-04,15280
2021-03-05,15420
2021-03-08,15500
2021-03-09,15440
2021-03-10,15520
2021-03-11,15900
2021-03-12,15930
2021-03-15,15860
2021-03-16,15820
2021-03-17,16010
2021-03-18,16320
2021-03-19,16260
2021-03-22,16260
2021-03-23,15990
2021-03-24,15600
2021-03-25,15700
2021-03-26,15450
2021-03-29,15800
2021-03-30,16200
2021-03-31,16280
2021-04-01,16600
2021-04-02,16800
2021-04-05,16900
2021-04-06,17240
2021-04-07,17250
2021-04-08,17170
2021-04-09,17160
2021-04-12,17510
2021-04-13,17300
2021-04-14,17400
2021-04-15,17160
2021-04-16,16800
2021-04-19,17150
2021-04-20,17150
2021-04-22,16750
2021-04-23,17910
2021-04-26,16950
2021-04-27,17100
2021-04-28,17210
2021-04-29,17550
2021-05-04,18000
2021-05-05,18580
2021-05-06,18590
2021-05-07,18500
2021-05-10,19020
2021-05-11,19010
2021-05-12,19300
2021-05-13,19600
2021-05-14,19650
2021-05-17,19600
2021-05-18,19490
2021-05-19,20240
2021-05-20,20300
2021-05-21,20360
2021-05-24,20490
2021-05-25,20960
2021-05-26,21340
2021-05-27,21340
2021-05-28,21660
2021-05-31,22150
2021-06-01,22240
2021-06-02,22150
2021-06-03,23000
2021-06-04,23790
2021-06-07,23150
2021-06-08,22200
2021-06-09,22200
2021-06-10,21700
2021-06-11,22390
2021-06-14,22500
2021-06-15,22420
2021-06-16,22380
2021-06-17,22300
2021-06-18,22160
2021-06-21,21800
2021-06-22,22050
2021-06-23,22300
2021-06-24,22340
2021-06-25,22350
2021-06-28,22890
2021-06-29,23000
2021-06-30,23030
2021-07-01,23090
2021-07-02,23400
2021-07-05,23600
2021-07-06,23000
2021-07-07,22990
2021-07-08,23000
2021-07-09,23000
2021-07-12,21390
2021-07-13,21250
2021-07-14,20600
2021-07-15,21170
2021-07-16,21150
2021-07-19,20500
2021-07-20,20440
2021-07-21,20470
2021-07-22,21800
2021-07-23,21100
2021-07-26,21090
2021-07-27,20480
2021-07-28,20160
2021-07-29,20500
2021-07-30,21100
2021-08-02,21090
2021-08-03,21480
2021-08-04,21600
2021-08-05,21800
2021-08-06,21500
2021-08-09,21500
2021-08-10,21520
2021-08-11,21980
2021-08-12,21500
2021-08-13,21580
2021-08-16,21550
2021-08-17,21990
2021-08-18,21900
2021-08-19,21600
2021-08-20,20950
2021-08-23,20490
2021-08-24,20400
2021-08-25,20700
2021-08-26,21000
2021-08-27,19920
2021-08-30,20070
2021-08-31,20120
2021-09-01,20550
2021-09-06,20800
2021-09-07,20680
2021-09-08,20640
2021-09-09,20150
2021-09-10,20310
2021-09-13,20410
2021-09-14,20340
2021-09-15,20170
2021-09-16,20200
2021-09-17,20390
2021-09-20,20660
2021-09-21,20400
2021-09-22,20300
2021-09-23,20270
2021-09-24,20200
2021-09-27,20570
2021-09-28,20130
2021-09-29,20260
2021-09-30,20300
2021-10-01,20300
2021-10-04,19700
2021-10-05,19700
2021-10-06,19660
2021-10-07,19790
2021-10-08,19770
2021-10-11,20740
2021-10-12,20570
2021-10-13,20340
2021-10-14,20540
2021-10-15,20350
2021-10-18,20510
2021-10-19,20450
2021-10-20,20260
2021-10-21,20380
2021-10-22,20370
2021-10-25,20000
2021-10-26,20300
2021-10-27,20100
2021-10-28,20370
2021-10-29,20400
2021-11-01,20500
2021-11-02,20400
2021-11-03,21000
2021-11-04,20500
2021-11-05,20950
2021-11-08,21250
2021-11-09,21200
2021-11-10,21200
2021-11-11,21000
2021-11-12,20750
2021-11-15,21100
2021-11-16,21020
2021-11-17,21000
2021-11-18,20740
2021-11-19,20690
2021-11-22,21340
2021-11-23,21410
2021-11-24,22500
2021-11-25,22630
2021-11-26,22510
2021-11-29,22890
2021-11-30,22800
2021-12-01,22770
2021-12-02,22790
2021-12-03,22350
2021-12-06,21840
2021-12-07,21500
2021-12-08,21000
2021-12-09,21990
2021-12-10,21570
2021-12-13,21580
2021-12-14,21790
2021-12-15,21380
2021-12-16,21380
2021-12-17,21300
2021-12-20,20990
2021-12-21,21000
2021-12-22,20810
2021-12-23,20770
2021-12-24,21500
2021-12-27,21300
2021-12-28,21110
2021-12-29,21360
2021-12-30,21500
2021-12-31,22480
2022-01-04,22300
2022-01-05,22000
2022-01-06,21880
2022-01-07,21700
2022-01-10,21660
2022-01-11,21410
2022-01-12,22200
2022-01-13,22500
2022-01-14,22030
2022-01-17,22490
2022-01-18,21600
2022-01-19,22200
2022-01-20,22500
2022-01-21,21650
2022-01-24,21900
2022-01-25,22100
2022-01-26,23200
2022-01-27,23150
2022-01-28,21710
2022-02-07,23220
2022-02-08,23400
2022-02-09,23600
2022-02-10,23630
2022-02-11,23900
2022-02-14,23890
2022-02-15,22600
2022-02-16,22450
2022-02-17,22800
2022-02-18,22800
2022-02-21,22600
2022-02-22,23000
2022-02-23,22690
2022-02-24,22600
2022-02-25,23070
2022-02-28,22700
2022-03-01,22850
2022-03-02,22770
2022-03-03,22690
2022-03-04,22590
2022-03-07,22390
2022-03-08,21980
2022-03-09,21950
2022-03-10,21980
2022-03-11,22000
2022-03-14,21520
2022-03-15,22140
2022-03-16,22000
2022-03-17,22200
2022-03-18,22110
2022-03-21,22340
2022-03-22,22200
2022-03-23,22290
2022-03-24,22100
2022-03-25,21810
2022-03-28,21910
2022-03-29,22340
2022-03-30,21860
2022-03-31,22010
2022-04-01,22500
2022-04-04,22040
2022-04-05,22360
2022-04-06,22000
2022-04-07,22010
2022-04-08,22300
2022-04-12,22170
2022-04-13,22050
2022-04-14,22150
2022-04-15,21980
2022-04-18,21490
2022-04-19,20500
2022-04-20,20350
2022-04-21,20500
2022-04-22,21000
2022-04-25,19550
2022-04-26,20000
2022-05-04,20500
2022-05-05,19630
2022-05-06,19730
2022-05-09,19000
2022-05-10,18500
2022-05-11,19000
2022-05-12,19000
2022-05-13,17670
2022-05-16,16450
2022-05-17,16510
2022-05-18,17320
2022-05-19,18500
2022-05-23,16800
2022-05-24,16800
2022-05-25,17440
2022-05-26,17500
2022-05-27,17700
2022-05-30,18000
2022-05-31,18000
2022-06-01,17820
2022-06-02,17500
2022-06-03,17400
2022-06-06,17090
2022-06-07,17000
2022-06-08,17800
2022-06-09,17350
2022-06-10,17480
2022-06-13,16480
2022-06-14,16200
2022-06-15,16450
2022-06-16,16219
2022-06-17,16219
2022-06-20,15200
2022-06-21,15350
2022-06-22,15400
2022-06-23,15520
2022-06-24,15700
2022-06-27,15910
2022-06-28,16600
2022-06-29,16500
2022-06-30,16550
2022-07-01,16020
2022-07-04,16300
2022-07-05,16600
2022-07-06,16300
2022-07-07,16340
2022-07-08,16400
2022-07-11,16560
2022-07-12,16210
2022-07-13,16270
2022-07-14,16410
2022-07-15,16450
2022-07-18,16500
2022-07-19,16400
2022-07-20,16550
2022-07-21,16680
2022-07-22,16650
2022-07-25,16610
2022-07-26,16900
2022-07-27,16400
2022-07-28,16890
2022-07-29,16850
2022-08-01,17350
2022-08-02,17400
2022-08-03,17550
2022-08-04,17480
2022-08-05,17650
2022-08-08,17770
2022-08-09,17890
2022-08-10,17990
2022-08-11,17900
2022-08-12,18000
2022-08-15,18100
2022-08-16,18100
2022-08-17,17990
2022-08-18,18050
2022-08-19,18100
2022-08-22,18800
2022-08-23,18050
2022-08-24,18290
2022-08-25,18500
2022-08-26,18300
2022-08-29,17630
2022-08-30,18200
2022-08-31,18010
2022-09-05,18190
2022-09-06,18140
2022-09-07,17800
2022-09-08,17150
2022-09-09,17600
2022-09-12,17100
2022-09-13,17400
2022-09-14,17240
2022-09-15,17160
2022-09-16,16890
2022-09-19,16190
2022-09-20,16410
2022-09-21,16480
2022-09-22,16260
2022-09-23,15930
2022-09-26,15410
2022-09-27,15650
2022-09-28,15650
2022-09-29,15550
2022-09-30,15530
2022-10-03,14500
2022-10-04,13500
2022-10-05,14420
2022-10-06,14290
2022-10-07,13290
2022-10-10,13000
2022-10-11,12090
2022-10-12,12750
2022-10-13,12850
2022-10-14,13390
2022-10-17,13200
2022-10-18,13310
2022-10-19,13300
2022-10-20,13280
2022-10-21,12400
2022-10-24,11700
2022-10-25,11900
2022-10-26,12030
2022-10-27,12870
2022-10-28,13090
2022-10-31,13110
2022-11-01,13500
2022-11-02,13300
2022-11-03,13460
2022-11-04,13210
2022-11-07,12700
2022-11-08,12900
2022-11-09,13150
2022-11-10,12500
2022-11-11,12400
2022-11-14,11910
2022-11-15,11190
2022-11-16,11930
2022-11-17,12510
2022-11-18,12220
2022-11-21,12340
2022-11-22,12390
2022-11-23,12340
2022-11-24,12330
2022-11-25,12840
2022-11-28,13250
2022-11-29,13700
2022-11-30,13940
2022-12-01,14500
2022-12-02,14700
2022-12-05,15030
2022-12-06,14700
2022-12-07,14200
2022-12-08,14690
2022-12-09,14880
2022-12-12,14500
2022-12-13,14800
2022-12-14,15050
2022-12-15,15250
2022-12-16,15260
2022-12-19,15220
2022-12-20,14680
2022-12-21,14650
2022-12-22,14800
2022-12-23,14880
2022-12-26,14140
2022-12-27,14150
2022-12-28,14380
2022-12-29,14350
2022-12-30,14350
2023-01-03,14500
2023-01-04,14900
2023-01-05,15080
2023-01-06,15140
2023-01-09,15120
2023-01-10,15210
2023-01-11,15280
2023-01-12,15200
2023-01-13,15320
2023-01-16,15480
2023-01-17,15900
2023-01-18,16070
2023-01-19,16210
2023-01-27,16309
2023-01-30,15970
2023-01-31,16120
2023-02-01,15750
2023-02-02,15630
2023-02-03,15640
2023-02-06,15560
2023-02-07,15400
2023-02-08,15300
2023-02-09,15300
2023-02-10,15120
2023-02-13,14640
2023-02-14,14610
2023-02-15,14810
2023-02-16,14860
2023-02-17,15010
2023-02-20,15700
2023-02-21,15640
2023-02-22,15300
2023-02-23,15080
2023-02-24,14850
2023-02-27,14600
2023-02-28,14560
2023-03-01,14760
2023-03-02,15030
2023-03-03,14660
2023-03-06,14720
2023-03-07,14860
2023-03-08,14910
2023-03-09,15290
2023-03-10,15310
2023-03-13,15250
2023-03-14,14980
2023-03-15,15370
2023-03-16,15110
2023-03-17,15160
2023-03-20,14920
2023-03-21,15070
2023-03-22,15490
2023-03-23,15290
2023-03-24,15400
2023-03-27,15430
2023-03-28,15870
2023-03-29,15760
2023-03-30,15960
2023-03-31,16110
2023-04-03,16200
2023-04-04,16219
2023-04-05,16219
2023-04-06,16230
2023-04-07,16000
2023-04-10,16230
2023-04-11,16110
2023-04-12,16250
2023-04-13,16250
2023-04-14,16280
2023-04-17,16100
2023-04-18,16010
2023-04-19,16129
2023-04-20,15830
2023-04-21,15740
2023-04-24,15620
2023-04-25,15600
2023-04-26,15660
2023-04-27,15800
2023-04-28,15970
2023-05-04,15840
2023-05-05,16000
2023-05-08,16000
2023-05-09,15940
2023-05-10,16149
2023-05-11,16140
2023-05-12,16200
2023-05-15,16270
2023-05-16,16260
2023-05-17,16100
2023-05-18,16290
2023-05-19,16300
2023-05-22,16360
2023-05-23,16370
2023-05-24,16239
2023-05-25,16149
2023-05-26,16050
2023-05-29,16460
2023-05-30,16480
2023-05-31,16250
2023-06-01,16200
2023-06-02,17040
2023-06-05,17100
2023-06-06,17260
2023-06-07,17340
2023-06-08,17060
2023-06-09,17060
2023-06-12,17100
2023-06-13,17200
2023-06-14,17200
2023-06-15,17050
2023-06-16,17260
2023-06-19,17300
2023-06-20,17270
2023-06-21,17500
2023-06-22,17660
2023-06-23,17730
2023-06-26,17690
2023-06-27,17900
2023-06-28,17990
2023-06-29,17710
2023-06-30,17540
2023-07-03,17580
2023-07-04,17590
2023-07-05,17750
2023-07-06,17540
2023-07-07,17610
2023-07-10,17940
2023-07-11,18110
2023-07-12,17800
2023-07-13,17870
2023-07-14,17980
2023-07-17,17990
2023-07-18,17990
2023-07-19,17960
2023-07-20,17950
2023-07-21,18110
2023-07-24,18350
2023-07-25,18380
2023-07-26,18450
2023-07-27,18440
2023-07-28,18590
2023-07-31,18790
2023-08-01,18790
2023-08-02,18720
2023-08-03,18860
2023-08-04,18950
2023-08-07,19310
2023-08-08,19240
2023-08-09,19110
2023-08-10,19100
2023-08-11,18970
2023-08-14,19010
2023-08-15,19120
2023-08-16,19380
2023-08-17,19300
2023-08-18,18450
2023-08-21,18560
2023-08-22,18430
2023-08-23,18650
2023-08-24,18790
2023-08-25,18740
2023-08-28,18930
2023-08-29,19080
2023-08-30,19240
2023-08-31,19500
2023-09-05,19650
2023-09-06,19710
2023-09-07,19960
2023-09-08,19830
2023-09-11,19530
2023-09-12,19930
2023-09-13,19930
2023-09-14,19850
2023-09-15,19900
2023-09-18,19970
2023-09-19,19720
2023-09-20,19950
2023-09-21,19630
2023-09-22,19330
2023-09-25,19000
2023-09-26,18430
2023-09-27,18530
2023-09-28,18600
2023-09-29,18650
2023-10-02,18680
2023-10-03,17960
2023-10-04,18170
2023-10-05,18170
2023-10-06,18170
2023-10-09,18250
2023-10-10,18730
2023-10-11,18750
2023-10-12,18650
2023-10-13,18570
2023-10-16,18570
2023-10-17,18460
2023-10-18,18070
2023-10-19,17800
2023-10-20,17890
2023-10-23,17880
2023-10-24,18100
2023-10-25,18750
2023-10-26,17980
2023-10-27,17390
2023-10-30,17390
2023-10-31,17250
2023-11-01,16920
2023-11-02,17580
2023-11-03,17710
2023-11-06,17840
2023-11-07,17680
2023-11-08,18270
2023-11-09,18400
2023-11-10,18030
2023-11-13,17950
2023-11-14,18370
2023-11-15,18700
2023-11-16,18520
2023-11-17,18220
2023-11-20,18320
2023-11-21,18360
2023-11-22,18350
2023-11-23,17920
2023-11-24,17810
2023-11-27,17670
2023-11-28,17660
2023-11-29,17900
2023-11-30,17820
2023-12-01,17840
2023-12-04,18310
2023-12-05,18080
2023-12-06,18270
2023-12-07,18280
2023-12-08,18380
2023-12-11,18290
2023-12-12,18330
2023-12-13,18000
2023-12-14,17990
2023-12-15,17990
2023-12-18,17620
2023-12-19,17820
2023-12-20,17850
2023-12-21,17860
2023-12-22,18090
2023-12-25,18200
2023-12-26,18200
2023-12-27,18240
2023-12-28,18240
2023-12-29,18450
2024-01-02,18400
2024-01-03,18540
2024-01-04,19050
2024-01-05,19080
2024-01-08,19250
2024-01-09,19160
2024-01-10,20000
2024-01-11,19340
2024-01-12,19720
2024-01-15,19400
2024-01-16,19360
2024-01-17,19380
2024-01-18,19500
2024-01-19,19820
2024-01-22,19700
2024-01-23,19720
2024-01-24,19870
2024-01-25,19620
2024-01-26,19780
2024-01-29,19790
2024-01-30,19800
2024-01-31,19470
2024-02-01,19460
2024-02-02,19400
2024-02-05,19930
2024-02-06,19880
2024-02-07,20350
2024-02-15,20610
2024-02-16,20430
2024-02-19,20400
2024-02-20,20410
2024-02-21,20580
2024-02-22,20460
2024-02-23,20250
2024-02-26,20210
2024-02-27,20560
2024-02-28,20750
2024-02-29,20870
2024-03-01,20980
2024-03-04,20910
2024-03-05,20960
2024-03-06,20840
2024-03-07,20890
2024-03-08,20520
2024-03-11,20120
2024-03-12,20120
2024-03-13,20650
2024-03-14,20480
2024-03-15,20490
2024-03-18,20110
2024-03-19,20000
2024-03-20,20600
2024-03-21,20930
2024-03-22,21030
2024-03-25,20870
2024-03-26,20990
2024-03-27,21030
2024-03-28,21360
2024-03-29,21380
2024-04-01,21310
2024-04-02,21280
2024-04-03,20900
2024-04-04,20790
2024-04-05,20500
2024-04-08,20500
2024-04-09,20660
2024-04-10,20650
2024-04-11,20700
2024-04-12,21000
2024-04-15,20270
2024-04-16,19810
2024-04-17,19600
2024-04-19,19400
2024-04-22,19800
2024-04-23,19610
2024-04-24,20370
2024-04-25,20560
2024-04-26,20050
2024-05-02,19950
2024-05-03,19950
2024-05-06,20370
2024-05-07,20340
2024-05-08,20250
2024-05-09,20270
2024-05-10,20200
2024-05-13,20160
2024-05-14,20220
2024-05-15,20320
2024-05-16,20720
2024-05-17,20800
2024-05-20,20890
2024-05-21,20900
2024-05-22,20670
2024-05-23,20560
2024-05-24,20560
2024-05-27,20520
2024-05-28,20680
2024-05-29,20550
2024-05-30,20480
2024-05-31,20390
2024-06-03,20870
2024-06-04,20830
2024-06-05,20800
2024-06-06,20890
2024-06-07,21020
2024-06-10,21050
2024-06-11,21080
2024-06-12,21440
2024-06-13,21630
2024-06-14,21300
2024-06-17,21060
2024-06-18,21090
2024-06-19,21040
2024-06-20,21230
2024-06-21,21390
2024-06-24,21000
2024-06-25,20570
2024-06-26,20320
2024-06-27,20540
2024-06-28,20350
2024-07-01,20450
2024-07-02,20590
2024-07-03,20800
2024-07-04,20910
2024-07-05,20980
2024-07-08,20890
2024-07-09,20980
2024-07-10,20900
2024-07-11,20870
2024-07-12,20810
2024-07-15,20760
2024-07-16,20830
2024-07-17,20940
2024-07-18,21090
2024-07-19,21140
2024-07-22,21090
2024-07-23,20850
2024-07-24,20650
2024-07-25,20440
2024-07-26,20580
2024-07-29,20490
2024-07-30,20490
2024-07-31,20700
2024-08-01,20200
2024-08-02,20260
2024-08-05,19660
2024-08-06,20000
2024-08-07,19830
2024-08-08,19590
2024-08-09,19870
2024-08-12,19960
2024-08-13,19950
2024-08-14,19910
2024-08-15,19840
2024-08-16,20380
2024-08-19,20450
2024-08-20,20520
2024-08-21,20740
2024-08-22,20770
2024-08-23,20840
2024-08-26,20880
2024-08-27,20830
2024-08-28,20900
2024-08-29,21010
2024-08-30,21060
2024-09-04,20630
2024-09-05,20590
2024-09-06,20700
2024-09-09,20500
2024-09-10,20300
2024-09-11,20350
2024-09-12,20420
2024-09-13,20340
2024-09-16,20300
2024-09-17,20500
2024-09-18,20750
2024-09-19,20790
2024-09-20,21080
2024-09-23,21150
2024-09-24,21250
2024-09-25,21590
2024-09-26,21850
2024-09-27,22000
2024-09-30,22020
2024-10-01,22160
2024-10-02,22100
2024-10-03,22080
2024-10-04,21850
2024-10-07,21940
2024-10-08,22010
2024-10-09,22200
2024-10-10,22150
2024-10-11,22240
2024-10-14,22110
2024-10-15,22070
2024-10-16,22000
2024-10-17,22200
2024-10-18,22310
2024-10-21,22170
2024-10-22,22090
2024-10-23,22150
2024-10-24,21670
2024-10-25,21600
2024-10-28,21550
2024-10-29,21750
2024-10-30,21720
2024-10-31,21890
2024-11-01,21710
2024-11-04,21460
2024-11-05,21470
2024-11-06,21750
2024-11-07,21650
2024-11-08,21510
2024-11-11,21170
2024-11-12,21300
2024-11-13,21000
2024-11-14,20750
2024-11-15,20470
2024-11-18,20800
2024-11-19,20600
2024-11-20,20370
2024-11-21,20740
2024-11-22,20730
2024-11-25,20750
2024-11-26,20910
2024-11-27,20880
2024-11-28,20970
2024-11-29,21150
2024-12-02,21000
2024-12-03,21000
2024-12-04,20790
2024-12-05,21400
2024-12-06,21440
2024-12-09,21550
2024-12-10,21450
2024-12-11,21430
2024-12-12,21500
2024-12-13,21450
2024-12-16,21400
2024-12-17,21370
2024-12-18,21410
2024-12-19,21140
2024-12-20,21160
2024-12-23,21320
2024-12-24,21250
