date,price
2025-08-05,9991.37
2025-08-08,9990.48
2025-08-11,9987.36
2025-08-12,9987.98
2025-08-13,9988.82
2025-08-14,9986.20
2025-08-15,9990.91
2025-08-18,9986.20
2025-08-19,9986.55
2025-08-20,9984.62
2025-08-21,9979.91
2025-08-22,9981.45
2025-08-25,9976.94
2025-08-26,9975.70
2025-08-27,9981.44
2025-08-28,9948.17
2025-08-29,9981.45
2025-09-03,9987.60
2025-09-04,10042.21
2025-09-05,10152.51
2025-09-08,9995.30
2025-09-09,9788.16
2025-09-10,9842.98
2025-09-11,9819.07
2025-09-12,9911.22
2025-09-15,10005.25
2025-09-16,10130.77
2025-09-17,10059.39
2025-09-18,9925.77
2025-09-19,9908.18
2025-09-22,9866.92
2025-09-23,9720.51
2025-09-24,9738.89
2025-09-25,9893.48
2025-09-26,9907.25
2025-09-29,9857.91
2025-09-30,9831.82
2025-10-01,9759.45
2025-10-02,9795.54
2025-10-03,9664.48
2025-10-06,9573.70
2025-10-07,9916.87
2025-10-08,9780.40
2025-10-09,9904.84
2025-10-10,9963.78
2025-10-13,10062.74
2025-10-14,10126.36
2025-10-15,9953.55
2025-10-16,9964.22
2025-10-17,10059.40
2025-10-20,9971.92
2025-10-21,9410.50
2025-10-22,9451.16
2025-10-23,9572.96
2025-10-24,9540.02
2025-10-27,9518.96
2025-10-28,9387.91
2025-10-29,9547.47
2025-10-30,9677.68
2025-10-31,9716.65
2025-11-03,9621.65
2025-11-04,9371
2025-11-05,9596.47
2025-11-06,9530.65
2025-11-07,9488.15
2025-11-10,9261.91
2025-11-11,9200.52
2025-11-12,9268.94
2025-11-13,9415.48
2025-11-14,9415.31
2025-11-17,9442.47
2025-11-18,9553.53
2025-11-19,9597.25
2025-11-20,9533.67
2025-11-21,9489.87
2025-11-24,9481.40
2025-11-25,9438.48
2025-11-26,9338.32
2025-11-27,9466.85
2025-11-28,9412.70
2025-12-01,9380.15
2025-12-02,9346.01
2025-12-03,9317.76
2025-12-04,9362.52
2025-12-05,9435.05
2025-12-08,9321.88
2025-12-09,9231.05
2025-12-10,9176.15
2025-12-11,9162.17
2025-12-12,9129.99
2025-12-15,8861.32
2025-12-16,8846.44
2025-12-17,9044.51
2025-12-18,8984.82
2025-12-19,8993.16
2025-12-22,9057.61
2025-12-23,9180.31
2025-12-24,9156.47
2025-12-25,9182.29
2025-12-26,9078.08
2025-12-29,9090.02
2025-12-30,9120.72
2025-12-31,9133.98
2026-01-05,9096.54
2026-01-06,9016.49
2026-01-07,9022.05
2026-01-08,9135.24
2026-01-09,9110.83
2026-01-12,9047.22
2026-01-13,9215.46
2026-01-14,9296.93
2026-01-15,9278.41
2026-01-16,9275.27
2026-01-19,9264.73
2026-01-20,9290.42
2026-01-21,9286.30
2026-01-22,9212.33
2026-01-23,9299.66
2026-01-26,9205.14
2026-01-27,9070.91
2026-01-28,9076.44
2026-01-29,9136.15
2026-01-30,9234.24
2026-02-02,9295.86
2026-02-03,9312.76
2026-02-04,9321.81
2026-02-05,9402.36
2026-02-06,9262.18
2026-02-09,9093.69
2026-02-10,9127.47
2026-02-11,9071.18
2026-02-12,9214.02
2026-02-13,9253.26
2026-02-23,9257.16
2026-02-24,9338.36
2026-02-25,9423.22
2026-02-26,9442.74
2026-02-27,9442.09
2026-03-02,9409.60
2026-03-03,9386.67
2026-03-04,9333.26
2026-03-05,9297.64
2026-03-06,9222.42
2026-03-09,9141.12
2026-03-10,8758.25
2026-03-11,8904.42
2026-03-12,9095.10
2026-03-13,9048.89
2026-03-16,9030.59
2026-03-17,9027.56
2026-03-18,9040.89
2026-03-19,9037.31
2026-03-20,9004.40
2026-03-23,8919.02
2026-03-24,8780.05
2026-03-25,8883.76
2026-03-26,8996.50
2026-03-27,8963.46
2026-03-30,9030.60
2026-03-31,9023.84
2026-04-01,9042.85
2026-04-02,9081.35
2026-04-03,9048.22
2026-04-06,8971.92
2026-04-07,8945.97
2026-04-08,8958.04
2026-04-09,9121.52
2026-04-10,9121.26
2026-04-13,9124.21
2026-04-14,9102.39
2026-04-15,9158.94
2026-04-16,9139.33
2026-04-17,9151.56
2026-04-20,9169.46
2026-04-21,9214.20
2026-04-22,9151.51
2026-04-23,9146.48
2026-04-24,9117.10
2026-04-28,9105.29
2026-04-29,9110.34
2026-05-04,9089.43
2026-05-05,9071.78
2026-05-06,9055.95
2026-05-07,9121.91
2026-05-08,9111.66
2026-05-11,9058.10
2026-05-12,8967.52
2026-05-13,8979.28
2026-05-14,9008.22
2026-05-15,9028.22
