date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-07,HPG,Vật liệu xây dựng,8.66,4100800000,STOCK
2026-07-07,PHP,Vận tải - Kho bãi,4.93,2334450000,STOCK
2026-07-07,MSN,Thực phẩm - Đồ uống,4.57,2163000000,STOCK
2026-07-07,HHV,Xây dựng,4.33,2052000000,STOCK
2026-07-07,SHS,Chứng khoán,3.91,1850000000,STOCK
2026-07-07,ANV,Chế biến thủy sản,3.86,1827500000,STOCK
2026-07-07,MBB,Ngân hàng,3.83,1814400000,STOCK
2026-07-07,CTG,Ngân hàng,3.77,1785770000,STOCK
2026-07-07,FPT,Công nghệ và thông tin,3.71,1755000000,STOCK
2026-07-07,PVD,Khai khoáng,3.53,1672800000,STOCK
