date,buy,sell
2016-01-05,30100000,30400000
2016-01-06,30150000,30450000
2016-01-07,30330000,30630000
2016-01-08,30350000,30650000
2016-01-09,30400000,30700000
2016-01-11,30500000,30800000
2016-01-12,30430000,30730000
2016-01-13,30210000,30510000
2016-01-14,30250000,30550000
2016-01-15,30090000,30390000
2016-01-16,30190000,30490000
2016-01-18,30230000,30530000
2016-01-19,30230000,30530000
2016-01-20,30280000,30580000
2016-01-21,30360000,30660000
2016-01-22,30300000,30600000
2016-01-23,30350000,30650000
2016-01-25,30400000,30700000
2016-01-26,30540000,30840000
2016-01-27,30570000,30870000
2016-01-28,30570000,30870000
2016-01-29,30410000,30710000
2016-01-30,30450000,30750000
2016-02-01,30680000,30980000
2016-02-02,30820000,31120000
2016-02-03,30950000,31250000
2016-02-04,31280000,31580000
2016-02-05,31600000,31900000
2016-02-10,32400000,32700000
2016-02-11,32600000,32900000
2016-02-12,33300000,33800000
2016-02-14,33300000,33800000
2016-02-15,32700000,33000000
2016-02-16,32750000,33050000
2016-02-17,32500000,32900000
2016-02-18,32500000,32850000
2016-02-19,32650000,33050000
2016-02-20,32700000,33100000
2016-02-22,32400000,32800000
2016-02-23,32580000,32980000
2016-02-24,32800000,33200000
2016-02-25,32970000,33370000
2016-02-26,32950000,33350000
2016-02-27,32700000,33100000
2016-02-29,32790000,33190000
2016-03-01,33000000,33400000
2016-03-02,32750000,33150000
2016-03-03,33000000,33400000
2016-03-04,33480000,33880000
2016-03-05,33400000,33800000
2016-03-07,33590000,33990000
2016-03-08,33780000,34130000
2016-03-09,33540000,33840000
2016-03-10,33400000,33700000
2016-03-11,33550000,33850000
2016-03-12,33350000,33650000
2016-03-14,33580000,33880000
2016-03-15,33150000,33550000
2016-03-16,33170000,33470000
2016-03-17,33610000,33910000
2016-03-18,33410000,33710000
2016-03-19,33460000,33760000
2016-03-21,33350000,33650000
2016-03-22,33390000,33690000
2016-03-23,33260000,33560000
2016-03-24,32870000,33170000
2016-03-25,32900000,33200000
2016-03-28,32750000,33050000
2016-03-29,32750000,33050000
2016-03-30,32960000,33260000
