date,price
2025-04-23,10000
2025-04-28,9993.61
2025-04-29,9996.93
2025-05-05,9984.38
2025-05-06,9991.78
2025-05-07,9982.62
2025-05-08,9975.97
2025-05-09,10045.03
2025-05-12,10032.68
2025-05-13,10116.67
2025-05-14,10263.58
2025-05-15,10357.31
2025-05-16,10399.07
2025-05-19,10309.04
2025-05-20,10268.82
2025-05-21,10358.75
2025-05-22,10401.11
2025-05-23,10353.03
2025-05-26,10356.43
2025-05-27,10449.74
2025-05-28,10506.84
2025-05-29,10493.94
2025-05-30,10506.52
2025-06-02,10420.36
2025-06-03,10451.28
2025-06-04,10558.10
2025-06-05,10522.64
2025-06-06,10479.80
2025-06-09,10391.70
2025-06-10,10353.49
2025-06-11,10392.28
2025-06-12,10421.21
2025-06-13,10562.89
2025-06-16,10533.88
2025-06-17,10734.90
2025-06-18,10778.06
2025-06-19,10760.69
2025-06-20,10817.72
2025-06-23,10822.69
2025-06-24,10846.14
2025-06-25,10901.56
2025-06-26,10885.70
2025-06-27,10899.59
2025-06-30,10900.85
2025-07-01,10943.23
2025-07-02,10927.31
2025-07-03,11012.74
2025-07-04,10980.75
2025-07-07,11059.23
2025-07-08,11167.43
2025-07-09,11266.39
2025-07-10,11336.10
2025-07-11,11349.25
2025-07-14,11405.30
2025-07-15,11478.18
2025-07-16,11423.91
2025-07-17,11529.64
2025-07-18,11554.83
2025-07-21,11649.88
2025-07-22,11617.83
2025-07-23,11700.35
2025-07-24,11785.53
2025-07-25,11815.12
2025-07-28,11885.54
2025-07-29,12051.11
2025-07-30,11545.67
2025-07-31,11739.56
2025-08-01,11715.24
2025-08-04,11702.09
2025-08-05,11879.73
2025-08-06,12053.63
2025-08-07,12297.18
2025-08-08,12466.49
2025-08-11,12514.38
2025-08-12,12600.64
2025-08-13,12658.95
2025-08-14,12719.57
2025-08-15,13062.24
2025-08-18,12962.81
2025-08-19,13041.83
2025-08-20,13221.70
2025-08-21,13223.92
2025-08-22,13465.24
2025-08-25,12921.81
2025-08-26,12639.40
2025-08-27,13139.22
2025-08-28,13156.73
2025-08-29,13254.35
2025-09-03,13356.36
2025-09-04,13391.68
2025-09-05,13501.83
2025-09-08,13222.33
2025-09-09,12836.74
2025-09-10,12986.21
2025-09-11,13017.38
2025-09-12,13090.55
2025-09-15,13125.88
2025-09-16,13263.27
2025-09-17,13214.34
2025-09-18,13057.65
2025-09-19,13020.89
2025-09-22,12965.63
2025-09-23,12715.71
2025-09-24,12729.85
2025-09-25,13033.02
2025-09-26,13014.46
2025-09-29,12952.81
2025-09-30,12938.92
2025-10-01,12884.92
2025-10-02,12939.96
2025-10-03,12807.12
2025-10-06,12637.38
2025-10-07,13143.71
2025-10-08,12997.99
2025-10-09,13097.88
2025-10-10,13218.89
2025-10-13,13316.77
2025-10-14,13467.23
2025-10-15,13401.58
2025-10-16,13446.09
2025-10-17,13497.03
2025-10-20,13257.98
2025-10-21,12390.61
2025-10-22,12601.81
2025-10-23,12769.19
2025-10-24,12746.76
2025-10-27,12698.87
2025-10-28,12425.45
2025-10-29,12664.32
2025-10-30,12755.76
2025-10-31,12696.54
2025-11-03,12496.05
2025-11-04,12288.15
2025-11-05,12650.71
2025-11-06,12641.55
2025-11-07,12516.90
2025-11-10,12228.13
2025-11-11,12179.48
2025-11-12,12333.76
2025-11-13,12654.28
2025-11-14,12615.80
2025-11-17,12662.53
2025-11-18,12785.16
2025-11-19,12803.66
2025-11-20,12716.45
2025-11-21,12732.10
2025-11-24,12700.59
2025-11-25,12694.23
2025-11-26,12568.36
2025-11-27,12733.46
