date,price
2026-07-13,10000
2026-07-16,9981.99
2026-07-17,9985.07
2026-07-20,9983.73
2026-07-21,9985.38
2026-07-22,9987.78
2026-07-23,9967.97
2026-07-24,9990.40
2026-07-27,10001.62
2026-07-28,10007.99
2026-07-29,10053.68
2026-07-30,10055.15
2026-07-31,10057.52
2026-08-03,10061.74
2026-08-04,10066.19
2026-08-05,10067.72
2026-08-06,10065.81
2026-08-07,10066.66
2026-08-10,10069.79
2026-08-11,10079.6
2026-08-12,10077.21
2026-08-13,10092.44
2026-08-14,10072.88
2026-08-17,10075.4
2026-08-18,10078.76
2026-08-19,10080.56
2026-08-20,10087.22
2026-08-21,10089.29
2026-08-24,10091.64
2026-08-25,10099.85
2026-08-26,10116.13
2026-08-27,10107.51
2026-08-28,10103.37
