date,price
2022-12-29,10000
2023-01-05,10166.68
2023-01-12,10100.64
2023-01-19,10192.17
2023-01-26,10244.59
2023-01-31,10498.5119434916
2023-02-02,10431.7
2023-02-09,10388.65
2023-02-16,10285.7
2023-02-23,10298.93
2023-02-28,10309.21
2023-03-02,10311.85
2023-03-09,10365.86
2023-03-16,10420.69
2023-03-23,10410.73
2023-03-30,10424.09
2023-03-31,10427.9
2023-04-06,10478.29
2023-04-13,10528.98
2023-04-13,10528.98
2023-04-20,10577.19
2023-04-27,10567.34
2023-05-04,10579.56
2023-05-11,10727.02
2023-05-18,10881.23
2023-05-25,10907.65
2023-06-01,10990.37
2023-06-08,11185.07
2023-06-15,11214.7
2023-06-22,11244.24
2023-06-29,11349.81
2023-07-06,11495.6
2023-07-13,11561.57
2023-07-20,11661.5
2023-07-27,11658.97
2023-08-03,11707.76
2023-08-10,11774.65
2023-08-17,11771.65
2023-08-24,11647.27
2023-08-31,11840.21
2023-09-07,11870.16
2023-09-14,11990.36
2023-09-21,12169.82
2023-09-28,12008.71
2023-10-05,12009.88
2023-10-12,11984.43
2023-10-19,11959.34
2023-10-26,11973.71
2023-11-02,12001.43
2023-11-09,12162.6
2023-11-16,12189.76
2023-11-23,12152.68
2023-11-30,12140.07
2023-12-07,12172.82
2023-12-14,12161.97
2023-12-21,12260.14
2023-12-28,12339.02
2024-01-04,12392.65
2024-01-11,12385.26
2024-01-18,12403.11
2024-01-25,12404.36
2024-02-01,12435.9
2024-02-15,12512.21
2024-02-22,12590.21
2024-02-29,12583.07
2024-03-07,12594.44
2024-03-14,12611.14
2024-03-21,12593.8
2024-03-28,12621.8
2024-04-04,12600.34
2024-04-11,12598.34
2024-04-25,12687.95
2024-05-02,12717.35
2024-05-09,12712.6
2024-05-16,12710.92
2024-05-23,12723.84
2024-05-30,12693.57
2024-06-06,12725.78
2024-06-13,12772.26
2024-06-20,12751.08
2024-06-27,12725.76
2024-07-04,12779.3
2024-07-11,12806.08
2024-07-18,13087.88
2024-07-25,13022.77
2024-08-01,13086.75
2024-08-08,12999.01
2024-08-15,13263.17
2024-08-22,13320.81
2024-08-29,13269.84
2024-09-05,13256.1
2024-09-12,13279.51
2024-09-19,13412.6
2024-09-26,13430.12
2024-10-03,13400.62
2024-10-10,13421.08
2024-10-17,13432.5
2024-10-24,13485.36
2024-10-31,13542.35
2024-11-07,13543.83
2024-11-14,13500.1
2024-11-21,13499.86
2024-11-28,13560.18
2024-12-05,13672.65
2024-12-12,13715.17
2024-12-19,13688.26
2024-12-26,13692.41
2025-01-02,13710.26
2025-01-09,13824.89
2025-01-16,13758.62
2025-01-23,13775.23
2025-02-06,14007.21
2025-02-13,14077.03
2025-02-20,14083.87
2025-02-27,14099.45
2025-03-06,14022.2
2025-03-13,14094.43
2025-03-20,14166.7
2025-03-27,14021.99
2025-04-03,14068.02
2025-04-10,13879.8
2025-04-17,13986.93
2025-04-24,14020.19
2025-05-08,14103.82
2025-05-15,14150.34
2025-05-22,14160.14
2025-05-29,14201.29
2025-06-05,14196.16
2025-06-12,14186.52
2025-06-19,14206.46
2025-06-26,14214.07
2025-07-03,14259.66
2025-07-07,14266.67
2025-07-10,14314.12
2025-07-14,14354.65
2025-07-17,14341.85
2025-07-21,14347.01
2025-07-24,14388.4
2025-07-28,14419.18
2025-07-31,14405.63
2025-08-04,14414.43
2025-08-07,14445.12
2025-08-11,14469.31
2025-08-14,14469.36
2025-08-18,14512.43
2025-08-21,14490.86
2025-08-25,14587.1
2025-08-28,14498.3
2025-09-04,14511.53
2025-09-08,14520.09
2025-09-11,14492.35
2025-09-15,14501.06
2025-09-18,14491.93
2025-09-22,14461.31
2025-09-25,14477.89
2025-09-29,14476.35
2025-10-02,14479.54
2025-10-06,14494.7
2025-10-09,14509.74
2025-10-13,14540.72
2025-10-16,14518.17
2025-10-20,14525.69
2025-10-23,14482.05
2025-10-27,14487.88
2025-10-30,14514.37
2025-11-03,14506.02
2025-11-06,14519.44
2025-11-10,14574.91
2025-11-13,14586.77
2025-11-17,14577.25
2025-11-20,14602.62
2025-11-24,14616.22
2025-11-27,14595.81
2025-12-01,14611.76
2025-12-04,14662.08
2025-12-08,14636.47
2025-12-11,14630.17
2025-12-15,14619.29
2025-12-18,14631.96
2025-12-22,14665.6
2025-12-25,14671.76
2025-12-29,14655.31
2026-01-05,14679.5
2026-01-08,14692.13
2026-01-12,14721.83
2026-01-15,14761.78
2026-01-19,14763.63
2026-01-22,14752.53
2026-01-26,14753.61
2026-01-29,14731.61
2026-02-02,14737.05
2026-02-05,14739.67
2026-02-09,14734.56
2026-02-12,14753.74
2026-02-23,14771.98
2026-02-26,14787.24
2026-03-02,14784.62
2026-03-05,14756.1
2026-03-09,14762.96
2026-03-12,14844.47
2026-03-16,14851.65
2026-03-19,14860.94
2026-03-23,14868.69
2026-03-26,14877.47
2026-03-30,14887.68
2026-04-02,14891.9
2026-04-06,14901.09
2026-04-09,14907.91
2026-04-13,14919.82
2026-04-16,14923.66
2026-04-20,14931.61
2026-04-23,14940.54
2026-05-04,14964.6
2026-05-07,14972.33
2026-05-11,14983.79
2026-05-14,14992.04
2026-05-18,15002.74
2026-05-21,15012.72
2026-05-25,15022.57
2026-05-28,15029.05
2026-06-01,15046.47
2026-06-04,15052
2026-06-08,15061.68
2026-06-11,15068.37
2026-06-15,15072.41
2026-06-18,15079.73
2026-06-22,15090.26
2026-06-25,15101.9
2026-06-29,15120.9
2026-07-02,15120.39
2026-07-06,15132.34
2026-07-09,15143.44
2026-07-13,15157.12
2026-07-16,15161.01
2026-07-20,15168.39
2026-07-23,15173.56
2026-07-27,15181.21
2026-07-30,15191.79
2026-08-03,15206.57
2026-08-06,15212.75
2026-08-10,15223.38
2026-08-13,15229.53
2026-08-17,15240.43
2026-08-20,15246.94
2026-08-24,15256.36
2026-08-27,15270.77
2026-09-03,15288.03
