date,price
2024-03-25,10000
2024-06-18,10005.41
2024-06-25,9878.83
2024-07-02,9838.97
2024-07-09,9921.66
2024-07-16,10030.51
2024-07-23,10145.13
2024-07-30,10064.55
2024-08-06,9649.54
2024-08-13,9983.2
2024-08-16,10122.41
2024-08-20,10345.95
2024-08-23,10467.55
2024-08-27,10394.41
2024-08-30,10395.15
2024-09-06,10340.82
2024-09-10,10368.04
2024-09-13,10363.28
2024-09-17,10360.9
2024-09-20,10553.31
2024-09-24,10524.16
2024-09-27,10702.08
2024-10-01,10676.39
2024-10-04,10588.33
2024-10-08,10506.81
2024-10-11,10631.97
2024-10-15,10758.86
2024-10-18,10704.17
2024-10-22,10584.74
2024-10-25,10508.35
2024-10-29,10574.74
2024-11-01,10641.5
2024-11-05,10520.69
2024-11-08,10698.42
2024-11-12,10634.82
2024-11-15,10480.05
2024-11-19,10335.5
2024-11-22,10382.95
2024-11-26,10498.61
2024-11-29,10662.98
2024-12-03,10839.67
2024-12-06,11026.78
2024-12-10,11112.54
2024-12-13,11026.67
2024-12-17,10995.81
2024-12-20,10941.44
2024-12-24,11078.24
2024-12-27,11092.9
2024-12-31,11048.17
2025-01-03,11050.38
2025-01-07,10901.11
2025-01-10,11092.63
2025-01-14,10976.86
2025-01-17,11087.26
2025-01-21,11160.22
2025-01-24,11074.14
2025-02-04,11127.87
2025-02-07,11283.91
2025-02-11,11215.42
2025-02-14,11234.42
2025-02-18,11262.14
2025-02-21,11380.55
2025-02-25,11393.63
2025-02-28,11424.54
2025-03-04,11336.06
2025-03-07,11338.54
2025-03-11,11341.56
2025-03-14,11282.59
2025-03-18,11383.69
2025-03-21,11208.39
2025-03-25,11033.92
2025-03-28,11048.87
2025-04-01,10958.74
2025-04-04,10252.34
2025-04-08,9966.38
2025-04-11,9668.28
2025-04-15,10124.4
2025-04-18,9934.18
2025-04-22,10038.04
2025-04-25,10114.07
2025-04-29,10183.07
2025-05-06,10313.36
2025-05-09,10462.13
2025-05-13,10528.02
2025-05-16,10748.3
2025-05-20,10640.44
2025-05-23,10666.48
2025-05-27,10852.56
2025-05-30,10880.35
2025-06-03,10776.53
2025-06-06,10855.1
2025-06-10,10686.16
2025-06-13,10812.52
2025-06-17,10994.87
2025-06-20,11014.91
2025-06-24,11082.61
2025-06-27,11124.28
2025-07-01,11192.38
2025-07-04,11268.72
2025-07-08,11430.61
2025-07-11,11657.87
2025-07-15,11740.12
2025-07-18,11760.96
2025-07-22,11711.06
2025-07-25,11945.49
2025-07-29,12188.35
2025-08-01,11921.22
2025-08-05,11957.57
2025-08-08,12286.69
2025-08-12,12381.97
2025-08-15,12630.99
2025-08-19,12515.5
2025-08-22,12424.48
2025-08-26,12196.94
2025-08-29,12507.57
2025-09-05,12729.91
2025-09-09,12335.35
2025-09-12,12385.62
2025-09-16,12597.13
2025-09-19,12469.25
2025-09-23,12267.39
2025-09-26,12361.4
2025-09-30,12272.52
2025-10-03,12208.97
2025-10-07,12367.62
2025-10-10,12355.48
2025-10-14,12346.49
2025-10-17,12259.15
2025-10-21,11765.73
2025-10-24,11949.52
2025-10-28,11823.49
2025-10-31,12001.87
2025-11-04,11752.45
2025-11-07,11864.12
2025-11-11,11521.08
2025-11-14,11832.82
2025-11-18,11976.91
2025-11-21,11875.82
2025-11-25,11805.65
2025-11-28,11808.45
2025-12-02,11790.27
2025-12-05,12049.79
2025-12-09,11883.7
2025-12-12,11759.21
2025-12-16,11389.08
2025-12-19,11518.57
2025-12-23,11736.16
2025-12-26,11619.22
2025-12-30,11585.44

2026-01-06,11516.32
2026-01-09,11688.73
2026-01-13,11851.63
2026-01-16,11998.03
2026-01-20,12001.6
2026-01-23,12077.06
2026-01-27,11734.41
2026-01-30,11773.64
2026-02-03,11850.11
2026-02-06,11880.11
2026-02-10,11767.29
2026-02-13,11986.79
2026-02-24,12066.34
2026-02-27,12179.4
2026-03-03,12077.24
2026-03-06,11874.7
2026-03-10,11176.52
2026-03-13,11734.96
2026-03-17,11743.2
2026-03-20,11673.62
2026-03-24,11145.46
2026-03-27,11563.23
2026-03-31,11740.85
2026-04-03,11804.15
2026-04-07,11579.09
2026-04-10,12029.01
2026-04-14,12024.83
2026-04-17,12032.87
2026-04-21,12086.94
2026-04-24,12022.26
2026-04-28,12028.35
2026-05-05,12003.72
2026-05-08,12075.03
2026-05-12,12027.5
2026-05-15,12077.55
2026-05-19,11989.78
2026-05-22,11828.78
2026-05-26,11836.9
2026-05-29,11803.15
2026-06-02,11774.77
2026-06-05,11717.26
2026-06-09,11490.45
2026-06-12,11590.71
2026-06-16,11807.38
2026-06-19,11818.74
2026-06-23,11832.36
2026-06-26,11811.46
2026-06-30,11908.24
2026-07-03,11913.44
2026-07-07,11746.63
2026-07-10,11752.55
2026-07-14,11474.35
2026-07-17,11392.46
2026-07-21,10971.15
2026-07-24,10836.11
2026-07-28,10539.41
2026-07-31,10939.37
2026-08-04,11053.68
2026-08-07,10948.11
2026-08-11,11118.9
2026-08-14,11018.59
2026-08-18,10932.14
2026-08-21,10892.62
2026-08-25,11201.83
2026-08-28,11227.38
