date,price
2025-07-21,9983.35
2025-07-22,9982.44
2025-07-23,10038.27
2025-07-24,10033.94
2025-07-25,10035.87
2025-07-28,10038.67
2025-07-29,10041.30
2025-07-30,10031.81
2025-07-31,10036.46
2025-08-01,10035.41
2025-08-04,10034.80
2025-08-05,10040.43
2025-08-06,10046.37
2025-08-07,10052.16
2025-08-08,10053.94
2025-08-11,10054.11
2025-08-12,10054.91
2025-08-13,10058.10
2025-08-14,10061.58
2025-08-15,10071.07
2025-08-18,10070.38
2025-08-19,10070.87
2025-08-20,10075.54
2025-08-21,10076.10
2025-08-22,10083.62
2025-08-25,10080.21
2025-08-26,10072.26
2025-08-27,10081.25
2025-08-28,10086.78
2025-08-29,10106.84
2025-09-03,10117.23
2025-09-04,10123.38
2025-09-05,10126.04
2025-09-08,10112.45
2025-09-09,10109.14
2025-09-10,10109.29
2025-09-11,10113.03
2025-09-12,10129.17
2025-09-15,10130.88
2025-09-16,10133.87
2025-09-17,10136.22
2025-09-18,10132.53
2025-09-19,10130.76
2025-09-22,10128.60
2025-09-23,10125.90
2025-09-24,10129.32
2025-09-25,10133.44
2025-09-26,10131.13
2025-09-29,10131.13
2025-09-30,10131.52
2025-10-01,10130.78
2025-10-02,10130.54
2025-10-03,10127.01
2025-10-06,10128.79
2025-10-07,10132.23
2025-10-08,10132.88
2025-10-09,10130.51
2025-10-10,10132.71
2025-10-13,10130.78
2025-10-14,10133.53
2025-10-15,10131.30
2025-10-16,10133.94
2025-10-17,10139
2025-10-20,10149.81
2025-10-21,10163.23
2025-10-22,10171.11
2025-10-23,10174.96
2025-10-24,10192.90
2025-10-27,10187.56
2025-10-28,10184.12
2025-10-29,10180.11
2025-10-30,10183.33
2025-10-31,10195.86
2025-11-03,10198.15
2025-11-04,10201.46
2025-11-05,10191.78
2025-11-06,10192.61
2025-11-07,10216.29
2025-11-10,10213.43
2025-11-11,10219.39
2025-11-12,10226.77
2025-11-13,10223.82
2025-11-14,10224.87
2025-11-17,10236.74
2025-11-18,10238.16
2025-11-19,10239.59
2025-11-20,10238.97
2025-11-21,10240.40
2025-11-24,10237.96
2025-11-25,10233.44
2025-11-26,10228.19
2025-11-27,10230.35
2025-11-28,10248.05
2025-12-01,10246.96
2025-12-02,10264.06
2025-12-03,10271.35
2025-12-04,10267.67
2025-12-05,10273.22
2025-12-08,10264.50
2025-12-09,10269.21
2025-12-10,10262.67
2025-12-11,10262.41
2025-12-12,10260.44
2025-12-15,10251.78
2025-12-16,10255.38
2025-12-17,10259.43
2025-12-18,10267.12
2025-12-19,10267.25
2025-12-22,10264.37
2025-12-23,10260.29
2025-12-24,10261.86
2025-12-25,10266.59
2025-12-26,10272.96
2025-12-29,10268.67
2025-12-30,10285.74
2025-12-31,10295.31
2026-01-05,10296.80
2026-01-06,10281.22
2026-01-07,10277.80
2026-01-08,10298.97
2026-01-09,10303.71
2026-01-12,10309.49
2026-01-13,10304.06
2026-01-14,10304.94
2026-01-15,10313.82
2026-01-16,10334.27
2026-01-19,10336.63
2026-01-20,10338.86
2026-01-21,10339.43
2026-01-22,10329.67
2026-01-23,10324.65
2026-01-26,10327.16
2026-01-27,10330.52
2026-01-28,10331.80
2026-01-29,10330.68
2026-01-30,10336.29
2026-02-02,10335.50
2026-02-03,10334.30
2026-02-04,10350.80
2026-02-05,10351.09
2026-02-06,10342.71
2026-02-09,10365.15
2026-02-10,10376.08
2026-02-11,10368.72
2026-02-12,10372.35
2026-02-13,10374.25
2026-02-23,10378.09
2026-02-24,10389.09
2026-02-25,10392.03
2026-02-26,10393.51
2026-02-27,10397.30
2026-03-02,10406.69
2026-03-03,10410.63
2026-03-04,10392.19
2026-03-05,10395.35
2026-03-06,10389.11
2026-03-09,10392.04
2026-03-10,10395.85
2026-03-11,10415.30
2026-03-12,10404.25
2026-03-13,10417.95
2026-03-16,10411.88
2026-03-17,10437.39
2026-03-18,10444.78
2026-03-19,10438.11
2026-03-20,10448.64
2026-03-23,10440.40
2026-03-24,10451.47
2026-03-25,10446.77
2026-03-26,10451.52
2026-03-27,10441.85
2026-03-30,10464.37
2026-03-31,10456.43
2026-04-01,10458.58
2026-04-02,10467.31
2026-04-03,10470.19
2026-04-06,10470.21
2026-04-07,10473.71
