date,price
2026-05-12,10000
2026-05-14,9991.12
2026-05-15,9990.23
2026-05-18,9987.97
2026-05-19,9987.22
2026-05-20,9986.47
2026-05-21,9985.72
2026-05-22,9984.97
2026-05-25,9982.72
2026-05-26,9983.50
2026-05-27,9982.75
2026-05-28,9980.43
2026-05-29,9956.43
2026-06-01,9941.86
2026-06-02,9933.14
2026-06-03,9876.66
2026-06-04,9914.97
2026-06-05,9929.01
2026-06-08,9911.51
2026-06-09,9794.23
2026-06-10,9831
2026-06-11,9832.24
2026-06-12,9811.37
2026-06-15,9802.43
2026-06-16,9872.78
2026-06-17,9878.43
2026-06-18,9862.53
2026-06-19,9811.99
2026-06-22,9770.59
2026-06-23,9738.23
2026-06-24,9710.75
2026-06-25,9725.21
2026-06-26,9710.97
2026-06-29,9724.58
2026-06-30,9763.24
2026-07-01,9737.44
2026-07-02,9794.40
2026-07-03,9765.92
2026-07-06,9731.66
2026-07-07,9665.05
2026-07-08,9661.19
2026-07-09,9676.59
2026-07-10,9651.22
2026-07-13,9595.62
2026-07-14,9518.34
2026-07-15,9519.40
2026-07-16,9470.97
2026-07-17,9509.97
2026-07-20,9456.38
2026-07-21,9292.23
2026-07-22,9297.99
2026-07-23,9076.71
2026-07-24,9206.16
2026-07-27,9106.01
2026-07-28,8960.79
2026-07-29,9080.08
2026-07-30,9181.82
2026-07-31,9312.63
2026-08-03,9299.50
2026-08-04,9387.56
2026-08-05,9406.69
2026-08-06,9396.29
2026-08-07,9389.21
2026-08-10,9381.26
2026-08-11,9410.37
2026-08-12,9395.49
2026-08-13,9420.59
2026-08-14,9379.31
2026-08-17,9310.4
2026-08-18,9301.99
2026-08-19,9296.4
2026-08-20,9287.2
2026-08-21,9309.45
2026-08-24,9404.11
2026-08-25,9496.69
2026-08-26,9471.34
2026-08-27,9548.1
2026-08-28,9560.04
2026-09-03,9570.59
2026-09-04,9509.26
