date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,FPT,Công nghệ,5.02,13328500000,STOCK
2025-02-01,CTG,Ngân hàng,4.83,12814619000,STOCK
2025-02-01,VCB,Ngân hàng,3.87,10263000000,STOCK
2025-02-01,HPG,Vật liệu,3.44,9139200000,STOCK
2025-02-01,MBB,Ngân hàng,2.98,7900500000,STOCK
2025-02-01,ACB,Ngân hàng,2.86,7581600000,STOCK
2025-02-01,MWG,Bán lẻ,1.98,5247000000,STOCK
2025-02-01,VPB,Ngân hàng,1.75,4632000000,STOCK
2025-02-01,BID,Ngân hàng,1.68,4469692500,STOCK
2025-02-01,GMD,Hạ tầng,1.64,4350126200,STOCK
2025-02-01,STB,Ngân hàng,1.59,4207500000,STOCK
2025-02-01,TCB,Ngân hàng,1.57,4176000000,STOCK
2025-02-01,MSN,Thực phẩm,1.53,4062000000,STOCK
2025-02-01,KDH,BĐS,1.49,3953000000,STOCK
2025-02-01,DGC,Vật liệu,1.3,3456500000,STOCK
2025-02-01,PAN,Thực phẩm,1.28,3390000000,STOCK
2025-02-01,IDC,BĐS,1.23,3260400000,STOCK
2025-02-01,NT2,Điện,1.01,2691000000,STOCK
2025-02-01,SSI,Chứng khoán,0.97,2564250000,STOCK
2025-02-01,DPG,Xây dựng,0.92,2432500000,STOCK
2025-02-01,PNJ,Bán lẻ,0.92,2444000000,STOCK
2025-02-01,KBC,BĐS,0.9,2376000000,STOCK
2025-02-01,REE,Hạ tầng,0.71,1882400000,STOCK
2025-02-01,NLG,BĐS,0.68,1804400000,STOCK
2025-02-01,PVS,Dầu khí,0.67,1780000000,STOCK
2025-02-01,VHM,BĐS,0.62,1648000000,STOCK
2025-02-01,PVD,Dầu khí,0.47,1237500000,STOCK
2025-02-01,CTD,Xây dựng,0.35,920000000,STOCK
2025-02-01,DCM,Vật liệu,0.27,707000000,STOCK
2025-02-01,MSN123010,,5.33,14148676220,BOND
2025-02-01,VHM121025,,4.63,12280727107,BOND
2025-02-01,VIC124005,,4.38,11628258084,BOND
2025-02-01,VIC124004,,2.9,7695371208,BOND
2025-03-01,CTG,Ngân hàng,4.98,12799179700,STOCK
2025-03-01,VCB,Ngân hàng,4.09,10524800000,STOCK
2025-03-01,FPT,Công nghệ,4.0,10285000000,STOCK
2025-03-01,HPG,Vật liệu,3.92,10068700000,STOCK
2025-03-01,MBB,Ngân hàng,3.69,9483350000,STOCK
2025-03-01,ACB,Ngân hàng,2.95,7581600000,STOCK
2025-03-01,MWG,Bán lẻ,2.07,5310000000,STOCK
2025-03-01,VPB,Ngân hàng,1.77,4560000000,STOCK
2025-03-01,TCB,Ngân hàng,1.71,4400000000,STOCK
2025-03-01,BID,Ngân hàng,1.65,4229562500,STOCK
2025-03-01,STB,Ngân hàng,1.64,4213000000,STOCK
2025-03-01,GMD,Hạ tầng,1.6,4120795000,STOCK
2025-03-01,KDH,BĐS,1.5,3846800000,STOCK
2025-03-01,MSN,Thực phẩm,1.3,3340000000,STOCK
2025-03-01,DGC,Vật liệu,1.2,3087600000,STOCK
2025-03-01,IDC,BĐS,1.2,3078000000,STOCK
2025-03-01,NT2,Điện,1.01,2593500000,STOCK
2025-03-01,DPG,Xây dựng,1.0,2570000000,STOCK
2025-03-01,SSI,Chứng khoán,0.99,2535000000,STOCK
2025-03-01,KBC,BĐS,0.95,2452000000,STOCK
2025-03-01,PNJ,Bán lẻ,0.84,2165800000,STOCK
2025-03-01,VHM,BĐS,0.8,2052000000,STOCK
2025-03-01,REE,Hạ tầng,0.72,1856400000,STOCK
2025-03-01,NLG,BĐS,0.69,1781000000,STOCK
2025-03-01,PVS,Dầu khí,0.6,1540000000,STOCK
2025-03-01,VHC,Thực phẩm,0.49,1250000000,STOCK
2025-03-01,PVD,Dầu khí,0.43,1100000000,STOCK
2025-03-01,MSN123010,,5.44,13998740000,BOND
2025-03-01,VHM121025,,4.76,12232103947,BOND
2025-03-01,VIC124005,,4.54,11677821033,BOND
2025-03-01,VIC124004,,2.89,7422085717,BOND
2025-04-01,BMP,Xây dựng,5.79,144600000,STOCK
2025-04-01,CTG,Ngân hàng,4.9,12230839200,STOCK
2025-04-01,HPG,Vật liệu,4.15,10363200000,STOCK
2025-04-01,MBB,Ngân hàng,3.99,9973425000,STOCK
2025-04-01,VCB,Ngân hàng,3.77,9422985000,STOCK
2025-04-01,ACB,Ngân hàng,2.9,7253480000,STOCK
2025-04-01,TCB,Ngân hàng,2.53,6312000000,STOCK
2025-04-01,MWG,Bán lẻ,2.43,6080000000,STOCK
2025-04-01,FPT,Công nghệ,2.41,6017000000,STOCK
2025-04-01,VHM,BĐS,2.34,5840000000,STOCK
2025-04-01,DCM,Vật liệu,1.68,4199000000,STOCK
2025-04-01,VNM,Thực phẩm,1.61,4032000000,STOCK
2025-04-01,VPB,Ngân hàng,1.59,3972000000,STOCK
2025-04-01,STB,Ngân hàng,1.41,3519000000,STOCK
2025-04-01,CTD,Xây dựng,1.3,3236000000,STOCK
2025-04-01,REE,Hạ tầng,1.26,3151000000,STOCK
2025-04-01,MSN,Thực phẩm,1.25,3125000000,STOCK
2025-04-01,DPG,Xây dựng,1.23,3078000000,STOCK
2025-04-01,ACV,Hạ tầng,1.13,2823000000,STOCK
2025-04-01,VIC,BĐS,1.07,2679200000,STOCK
2025-04-01,NT2,Điện,1.06,2640000000,STOCK
2025-04-01,KDH,BĐS,0.92,2305625000,STOCK
2025-04-01,SSI,Chứng khoán,0.9,2237625000,STOCK
2025-04-01,NLG,BĐS,0.57,1432600000,STOCK
2025-04-01,GMD,Hạ tầng,0.52,1307298000,STOCK
2025-04-01,DGC,Vật liệu,0.45,1128400000,STOCK
2025-04-01,MSN123010,,5.6,13999650000,BOND
2025-04-01,VHM121025,,4.71,11756714885,BOND
2025-04-01,VIC124005,,4.67,11663087458,BOND
2025-04-01,VIC124004,,3.06,7654384447,BOND
2025-05-01,CTG,Ngân hàng,4.85,12592503800,STOCK
2025-05-01,HPG,Vật liệu,4.03,10464800000,STOCK
2025-05-01,MBB,Ngân hàng,3.97,10312225000,STOCK
2025-05-01,ACB,Ngân hàng,2.82,7318324000,STOCK
2025-05-01,TCB,Ngân hàng,2.81,7308000000,STOCK
2025-05-01,FPT,Công nghệ,2.47,6407500000,STOCK
2025-05-01,MWG,Bán lẻ,2.39,6210000000,STOCK
2025-05-01,VCB,Ngân hàng,2.16,5608980000,STOCK
2025-05-01,VHM,BĐS,2.09,5432000000,STOCK
2025-05-01,STB,Ngân hàng,1.72,4477000000,STOCK
2025-05-01,DCM,Vật liệu,1.66,4303000000,STOCK
2025-05-01,VPB,Ngân hàng,1.66,4308000000,STOCK
2025-05-01,VNM,Thực phẩm,1.48,3843000000,STOCK
2025-05-01,SSI,Chứng khoán,1.42,3693375000,STOCK
2025-05-01,REE,Hạ tầng,1.27,3298200000,STOCK
2025-05-01,CTD,Xây dựng,1.22,3172000000,STOCK
2025-05-01,MSN,Thực phẩm,1.19,3100000000,STOCK
2025-05-01,BVH,Bảo hiểm,1.17,3036000000,STOCK
2025-05-01,ACV,Hạ tầng,1.13,2934000000,STOCK
2025-05-01,NT2,Điện,1.08,2797500000,STOCK
2025-05-01,KDH,BĐS,0.99,2572500000,STOCK
2025-05-01,DBC,Thực phẩm,0.95,2466000000,STOCK
2025-05-01,HVN,Vận tải,0.87,2259000000,STOCK
2025-05-01,NLG,BĐS,0.77,2007200000,STOCK
2025-05-01,GMD,Hạ tầng,0.57,1475026800,STOCK
2025-05-01,DGC,Vật liệu,0.43,1114760000,STOCK
2025-05-01,MSN123010,,5.39,13997900000,BOND
2025-05-01,VHM121025,,4.63,12033236952,BOND
2025-05-01,VIC124005,,4.51,11709654723,BOND
2025-05-01,VIC124004,,2.97,7704850380,BOND
2025-06-01,PVT,Dầu khí,6.8,179000000,STOCK
2025-06-01,CTG,Ngân hàng,5.23,13776133400,STOCK
2025-06-01,HPG,Vật liệu,4.2,11070336000,STOCK
2025-06-01,MBB,Ngân hàng,4.15,10926300000,STOCK
2025-06-01,FPT,Công nghệ,3.14,8274000000,STOCK
2025-06-01,TCB,Ngân hàng,3.12,8208000000,STOCK
2025-06-01,MWG,Bán lẻ,2.49,6550000000,STOCK
2025-06-01,VHM,BĐS,2.04,5369000000,STOCK
2025-06-01,ACB,Ngân hàng,1.92,5044692000,STOCK
2025-06-01,VCB,Ngân hàng,1.72,4528650000,STOCK
2025-06-01,VPB,Ngân hàng,1.69,4440000000,STOCK
2025-06-01,REE,Hạ tầng,1.67,4385640000,STOCK
2025-06-01,KDH,BĐS,1.53,4042500000,STOCK
2025-06-01,SSI,Chứng khoán,1.48,3890250000,STOCK
2025-06-01,MSN,Thực phẩm,1.46,3840000000,STOCK
2025-06-01,CTD,Xây dựng,1.3,3420000000,STOCK
2025-06-01,BVH,Bảo hiểm,1.21,3186000000,STOCK
2025-06-01,DBC,Thực phẩm,1.16,3060000000,STOCK
2025-06-01,STB,Ngân hàng,1.15,3035500000,STOCK
2025-06-01,NLG,BĐS,1.07,2815200000,STOCK
2025-06-01,HVN,Vận tải,1.01,2653000000,STOCK
2025-06-01,TCH,Ô tô,0.99,2600000000,STOCK
2025-06-01,NT2,Điện,0.95,2502500000,STOCK
2025-06-01,VNM,Thực phẩm,0.88,2320000000,STOCK
2025-06-01,GAS,Dầu khí,0.77,2034000000,STOCK
2025-06-01,SCS,Hạ tầng,0.77,2016000000,STOCK
