date,price
2014-10-21,9999
2014-10-28,9754
2014-10-31,10000
2014-11-04,10036
2014-11-11,10000
2014-11-18,9960
2014-11-25,9599
2014-12-01,9223
2014-12-02,9232
2014-12-09,9221
2014-12-16,8794
2014-12-23,8671
2014-12-30,8541
2014-12-31,8797
2015-01-06,8757
2015-01-13,9172
2015-01-20,9116
2015-01-27,9242
2015-01-31,9192
2015-02-03,9117
2015-02-10,9220
2015-02-17,9395
2015-02-24,9390
2015-02-28,9459
2015-03-03,9401
2015-03-10,9381
2015-03-17,9246
2015-03-24,9041
2015-03-31,8585
2015-04-01,8671
2015-04-07,8525
2015-04-14,8775
2015-04-21,8909
2015-04-28,8884
2015-05-01,8882
2015-05-05,8591
2015-05-12,8669
2015-05-19,8276
2015-05-26,8836
2015-06-01,8897
2015-06-02,8954
2015-06-09,9040
2015-06-16,9128
2015-06-23,9263
2015-06-30,9303
2015-07-01,9297
2015-07-07,9825
2015-07-14,9943
2015-07-21,9721
2015-07-28,9966
2015-07-31,9693
2015-08-04,9515
2015-08-11,9691
2015-08-18,9080
2015-08-25,8275
2015-08-31,8881
2015-09-08,8692
2015-09-15,8813
2015-09-22,8996
2015-09-29,8884
2015-09-30,8841
2015-10-06,8979
2015-10-13,9245
2015-10-20,9317
2015-10-27,9344
2015-10-31,9510
2015-11-03,9434
2015-11-10,9514
2015-11-17,9534
2015-11-24,9332
2015-11-30,8887
2015-12-08,8736
2015-12-15,8715
2015-12-22,8763
2015-12-29,8770
2016-01-01,8888
2016-01-05,8807
2016-01-12,8460
2016-01-19,8036
2016-01-26,8358
2016-02-01,8418
2016-02-02,8348
2016-02-09,8473
2016-02-16,8470
2016-02-23,8762
2016-02-29,8755
2016-03-08,8980
2016-03-15,9029
2016-03-22,8969
2016-03-29,8971
2016-04-01,8729
2016-04-05,8666
2016-04-12,9050
2016-04-19,9010
2016-04-26,9092
2016-04-30,9182
2016-05-03,9181
2016-05-10,9265
2016-05-17,9383
2016-05-24,9370
2016-05-31,9409
2016-06-01,9448
2016-06-07,9505
2016-06-14,9545
2016-06-21,9657
2016-06-28,9605
2016-07-01,9773
2016-07-05,9939
2016-07-12,9950
2016-07-19,10131
2016-07-26,9864
2016-08-01,10013
2016-08-02,9947
2016-08-09,9748
2016-08-16,10317
2016-08-23,10461
