date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-08,VIC,Bất động sản,9.96,47300000000,STOCK
2026-07-08,VHM,Bất động sản,5.82,27627600000,STOCK
2026-07-08,HPG,Vật liệu xây dựng,5.76,27356530000,STOCK
2026-07-08,CTG,Ngân hàng,5.74,27254652600,STOCK
2026-07-08,VCB,Ngân hàng,5.54,26295050000,STOCK
2026-07-08,TCB,Ngân hàng,4.74,22512000000,STOCK
2026-07-08,MBB,Ngân hàng,4.74,22516704000,STOCK
2026-07-08,MWG,Bán lẻ,4.55,21602460000,STOCK
2026-07-08,SSI,Chứng khoán,3.28,15571710000,STOCK
2026-07-08,HDB,Ngân hàng,3.05,14482901950,STOCK
