date,industry,weight_pct
2025-02-01,Ngân hàng,41.580000000000005
2025-02-01,Vật liệu,10.25
2025-02-01,BĐS,8.89
2025-02-01,Công nghệ,6.9
2025-02-01,Hạ tầng,5.699999999999999
2025-02-01,Bán lẻ,5.37
2025-02-01,Thực phẩm,4.859999999999999
2025-02-01,Chứng khoán,4.59
2025-02-01,Xây dựng,2.56
2025-02-01,Điện,2.0
2025-02-01,Dầu khí,1.09
2025-03-01,Ngân hàng,40.300000000000004
2025-03-01,BĐS,11.190000000000001
2025-03-01,Vật liệu,9.46
2025-03-01,Hạ tầng,6.4
2025-03-01,Công nghệ,5.35
2025-03-01,Chứng khoán,5.2
2025-03-01,Bán lẻ,4.6
2025-03-01,Thực phẩm,2.81
2025-03-01,Xây dựng,2.47
2025-03-01,Ô tô,2.18
2025-03-01,Điện,1.73
2025-03-01,Dầu khí,1.06
2025-04-01,Ngân hàng,38.95
2025-04-01,Vật liệu,11.4
2025-04-01,BĐS,9.280000000000001
2025-04-01,Thực phẩm,5.36
2025-04-01,Xây dựng,5.279999999999999
2025-04-01,Hạ tầng,4.87
2025-04-01,Bán lẻ,4.42
2025-04-01,Công nghệ,4.07
2025-04-01,Chứng khoán,1.88
2025-04-01,Điện,1.82
2025-05-01,Ngân hàng,38.480000000000004
2025-05-01,Vật liệu,10.1
2025-05-01,BĐS,6.85
2025-05-01,Thực phẩm,6.299999999999999
2025-05-01,Bán lẻ,5.56
2025-05-01,Hạ tầng,5.17
2025-05-01,Công nghệ,4.17
2025-05-01,Chứng khoán,3.98
2025-05-01,Xây dựng,2.68
2025-05-01,Bảo hiểm,2.01
2025-05-01,Ô tô,1.97
2025-05-01,Vận tải,1.87
2025-05-01,Điện,1.85
2025-05-01,Dệt may,0.31
2025-06-01,Ngân hàng,36.13000000000001
2025-06-01,BĐS,8.42
2025-06-01,Vật liệu,7.09
2025-06-01,Công nghệ,6.24
2025-06-01,Hạ tầng,5.9
2025-06-01,Chứng khoán,5.07
2025-06-01,Bán lẻ,4.74
2025-06-01,Thực phẩm,4.05
2025-06-01,Dầu khí,4.05
2025-06-01,Xây dựng,2.79
2025-06-01,Ô tô,2.3
2025-06-01,Vận tải,2.18
2025-06-01,Bảo hiểm,2.04
2025-06-01,Điện,1.48
2025-07-01,Ngân hàng,34.94
2025-07-01,BĐS,11.03
2025-07-01,Vật liệu,7.41
2025-07-01,Chứng khoán,6.87
2025-07-01,Công nghệ,5.49
2025-07-01,Bán lẻ,4.4
2025-07-01,Hạ tầng,4.23
2025-07-01,Xây dựng,3.15
2025-07-01,Ô tô,2.8
2025-07-01,Bảo hiểm,1.92
2025-07-01,Vận tải,1.91
2025-07-01,Dầu khí,1.33
2025-07-01,Thực phẩm,1.06
2025-08-01,Ngân hàng,34.55
2025-08-01,BĐS,11.23
2025-08-01,Chứng khoán,8.42
2025-08-01,Vật liệu,8.09
2025-08-01,Bán lẻ,5.21
2025-08-01,Công nghệ,5.12
2025-08-01,Hạ tầng,4.07
2025-08-01,Xây dựng,2.97
2025-08-01,Ô tô,2.2
2025-08-01,Vận tải,2.09
2025-08-01,Bảo hiểm,1.82
2025-08-01,Dầu khí,1.31
2025-08-01,Thực phẩm,0.96
2025-09-01,Ngân hàng,34.81
2025-09-01,BĐS,10.59
2025-09-01,Vật liệu,8.49
2025-09-01,Chứng khoán,8.41
2025-09-01,Bán lẻ,6.55
2025-09-01,Vận tải,3.26
2025-09-01,Xây dựng,3.09
2025-09-01,Công nghệ,2.78
2025-09-01,Bảo hiểm,2.08
2025-09-01,Ô tô,2.08
2025-09-01,Hạ tầng,1.98
2025-09-01,Dầu khí,1.3
2025-09-01,Thực phẩm,0.96
2025-10-01,Ngân hàng,33.95
2025-10-01,BĐS,13.090000000000002
2025-10-01,Bán lẻ,8.61
2025-10-01,Vật liệu,7.93
2025-10-01,Chứng khoán,7.260000000000001
2025-10-01,Xây dựng,4.03
2025-10-01,Vận tải,2.9
2025-10-01,Công nghệ,2.66
2025-10-01,Ô tô,2.01
2025-10-01,Hạ tầng,1.97
2025-10-01,Bảo hiểm,1.88
2025-10-01,Thực phẩm,0.93
2025-10-01,Dầu khí,0.83
2025-11-01,Ngân hàng,35.279999999999994
2025-11-01,BĐS,17.4
2025-11-01,Bán lẻ,8.45
2025-11-01,Vật liệu,8.01
2025-11-01,Chứng khoán,6.8100000000000005
2025-11-01,Xây dựng,3.38
2025-11-01,Vận tải,2.7
2025-11-01,Công nghệ,2.52
2025-11-01,Ô tô,2.02
2025-11-01,Hạ tầng,1.97
2025-11-01,Bảo hiểm,1.96
2025-11-01,Thực phẩm,0.92
2025-11-01,Dầu khí,0.89
2025-12-01,Ngân hàng,35.44
2025-12-01,BĐS,19.09
2025-12-01,Bán lẻ,9.34
