date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-08,HPG,Vật liệu xây dựng,10.15,61279069900,STOCK
2026-07-08,VIC,Bất động sản,10.06,60698000000,STOCK
2026-07-08,CTG,Ngân hàng,5.63,34006492800,STOCK
2026-07-08,MBB,Ngân hàng,5.55,33474243600,STOCK
2026-07-08,VEA,Sản xuất Thiết bị, máy móc,5.18,31268160000,STOCK
2026-07-08,TCB,Ngân hàng,4.44,26800000000,STOCK
2026-07-08,MWG,Bán lẻ,4.21,25405930000,STOCK
2026-07-08,FUEKIVFS,Khác,4.2,25368000000,STOCK
2026-07-08,VPB,Ngân hàng,4.03,24300000000,STOCK
2026-07-08,MSN,Thực phẩm - Đồ uống,3.96,23901150000,STOCK
