date,stock_code,industry,weight_pct,asset_value,type_asset
2026-01-01,NLG12501,,19.17,75003013809,BOND
2026-01-01,VPI124001,,17.79,69626570321,BOND
2026-01-01,BAF123020,,12.57,49205123764,BOND
2026-01-01,VIC124004,,11.22,43924353440,BOND
2026-01-01,VHM121025,,7.38,28893602684,BOND
2026-01-01,TNG124027,,5.16,20173636000,BOND
2026-01-01,SBT12401,,2.06,8052808532,BOND
2026-01-01,DSE125018,,1.81,7066519189,BOND
2026-01-01,VIC123029,,0.29,1121661248,BOND
2026-01-01,HDB125012,,0.04,170697704,BOND
2026-01-01,DSE125004,,0.02,93052889,BOND
2026-01-01,CASH,,22.49,87992704949,CASH
2026-02-01,VPI124001,,21.77,69977524307,BOND
2026-02-01,BAF123020,,15.31,49205123764,BOND
2026-02-01,VHM121025,,9.01,28954693325,BOND
2026-02-01,NLG12501,,7.13,22907344528,BOND
2026-02-01,HDB125012,,7.12,22874231143,BOND
2026-02-01,TNG124027,,6.26,20104558000,BOND
2026-02-01,VIC124004,,5.4,17365800000,BOND
2026-02-01,SBT12401,,2.49,7999511233,BOND
2026-02-01,DSE125018,,2.2,7073886163,BOND
2026-02-01,VIC123029,,0.35,1124150598,BOND
2026-02-01,DSE125004,,0.03,92935275,BOND
2026-02-01,CASH,,22.950000000000003,73723627985,CASH
2026-03-01,VPI124001,,21.79,50021179556,BOND
2026-03-01,NLG12501,,19.16,43999999820,BOND
2026-03-01,VHM121025,,12.55,28824041712,BOND
2026-03-01,TNG124027,,4.39,10072842000,BOND
2026-03-01,BAF123020,,4.36,10000003000,BOND
2026-03-01,SBT12401,,3.48,7999511233,BOND
2026-03-01,VIC123029,,0.5,1136988855,BOND
2026-03-01,DSE125004,,0.04,93042301,BOND
2026-03-01,CASH,,33.730000000000004,77454651129,CASH
2026-04-01,NLG12501,,23.13,40079999996,BOND
2026-04-01,VHM121025,,16.76,29044012614,BOND
2026-04-01,BAF126003,,14.08,24394694581,BOND
2026-04-01,TNG124027,,5.82,10089800000,BOND
2026-04-01,BAF123020,,5.79,10031755000,BOND
2026-04-01,SBT12401,,4.62,8000000002,BOND
2026-04-01,VPI124001,,2.89,5013369626,BOND
2026-04-01,VIC123029,,0.65,1133543196,BOND
2026-04-01,DSE125004,,0.05,92929836,BOND
2026-04-01,CASH,,26.220000000000002,45417974342,CASH
2026-05-01,NLG12501,,29.14,39999999956,BOND
2026-05-01,VHM121025,,20.83,28589229629,BOND
2026-05-01,BAF126003,,17.75,24361853774,BOND
2026-05-01,BAF123020,,7.29,10009177000,BOND
2026-05-01,SBT12401,,5.83,8000000010,BOND
2026-05-01,VIC123029,,0.83,1133543196,BOND
2026-05-01,DSE125004,,0.07,92857220,BOND
2026-05-01,CASH,,18.259999999999998,25069863818,CASH
2026-06-01,VHM121025,,26.85,29089210884,BOND
2026-06-01,BAF126003,,22.78,24681523857,BOND
2026-06-01,NLG12501,,11.6,12574597267,BOND
2026-06-01,SBT12401,,7.38,7999999968,BOND
2026-06-01,VIC123029,,1.04,1128362107,BOND
2026-06-01,DSE125004,,0.09,92937465,BOND
2026-06-01,CASH,,30.27,32791970358,CASH
2026-07-01,VHM121025,,26.18,21966425795,BOND
2026-07-01,BAF126003,,19.55,16409102763,BOND
2026-07-01,SBT12401,,9.53,8000000035,BOND
2026-07-01,VIC123029,,1.36,1138257393,BOND
2026-07-01,DSE125004,,0.11,92952405,BOND
2026-07-01,CASH,,42.51,35669886823,CASH
2026-07-01,OTHER,,0.76,640019535,OTHER
