date,price
2020-08-04,11213
2020-08-05,11248
2020-08-06,11248
2020-08-07,11248
2020-08-08,11248
2020-08-09,11248
2020-08-10,11401
2020-08-11,11375
2020-08-12,11423
2020-08-13,11451
2020-08-14,11422
2020-08-17,11386
2020-08-18,11443
2020-08-19,11489
2020-08-20,11469
2020-08-21,11455
2020-08-24,11484
2020-08-25,11445
2020-08-26,11446
2020-08-30,11461
2020-08-31,11462
2020-09-02,11464
2020-09-03,11464
2020-09-06,11467
2020-09-07,11468
2020-09-08,11468
2020-09-09,11469
2020-09-10,11470
2020-09-13,11472
2020-09-14,11473
2020-09-15,11474
2020-09-16,11474
2020-09-17,11475
2020-09-20,11478
2020-09-21,11479
2020-09-22,11480
2020-09-23,11480
2020-09-24,11481
2020-09-27,11565
2020-09-28,11565
2020-09-29,11566
2020-09-30,11567
2020-10-01,11568
2020-10-04,11570
2020-10-05,11563
2020-10-06,11563
2020-10-07,11565
2020-10-08,11566
2020-10-09,11539
2020-10-12,11540
2020-10-13,11541
2020-10-14,11566
2020-10-15,11567
2020-10-18,11578
2020-10-19,11603
2020-10-20,11604
2020-10-21,11582
2020-10-22,11552
2020-10-25,11596
2020-10-26,11596
2020-10-27,11644
2020-10-28,11642
2020-10-29,11644
2020-10-31,11739
2020-11-01,11741
2020-11-02,11742
2020-11-03,11743
2020-11-04,11744
2020-11-05,11745
2020-11-08,11749
2020-11-09,11750
2020-11-10,11751
2020-11-11,11752
2020-11-12,11683
2020-11-15,11741
2020-11-16,11743
2020-11-17,11720
2020-11-18,11721
2020-11-19,11723
2020-11-22,11726
2020-11-23,11754
2020-11-24,11755
2020-11-25,11756
2020-11-26,11757
2020-11-29,11760
2020-11-30,11808
2020-12-01,11809
2020-12-02,11810
2020-12-03,11805
2020-12-06,11808
2020-12-07,11809
2020-12-08,11811
2020-12-09,11752
2020-12-10,11753
2020-12-13,11756
2020-12-14,11757
2020-12-15,11759
2020-12-16,11773
2020-12-17,11774
2020-12-20,11778
2020-12-21,11779
2020-12-22,11780
2020-12-23,11781
2020-12-24,11783
2020-12-25,11783
2020-12-27,11786
2020-12-28,11787
2020-12-29,11776
2020-12-30,11815
2020-12-31,11797
2021-01-03,11801
2021-01-04,11802
2021-01-05,11803
2021-01-06,11804
2021-01-07,11849
2021-01-10,11852
2021-01-11,11854
2021-01-12,11838
2021-01-13,11828
2021-01-14,11840
2021-01-17,11844
2021-01-18,11888
2021-01-19,11879
2021-01-20,11902
2021-01-21,11903
2021-01-24,11906
2021-01-25,11908
2021-01-26,11909
2021-01-27,11910
2021-01-28,11911
2021-01-31,11915
2021-02-01,11916
2021-02-02,11917
2021-02-03,11918
2021-02-04,11919
2021-02-07,11921
2021-02-08,11922
2021-02-16,11931
2021-02-17,11932
2021-02-18,11928
2021-02-19,11931
2021-02-21,11931
2021-02-22,11932
2021-02-23,11933
2021-02-24,11929
2021-02-25,11930
2021-02-28,11933
2021-03-01,11934
2021-03-02,11940
2021-03-03,11941
2021-03-04,11942
2021-03-07,11945
2021-03-08,11928
2021-03-09,11928
2021-03-10,11929
2021-03-11,11940
2021-03-12,11962
2021-03-15,11964
2021-03-16,11965
2021-03-17,11964
2021-03-18,11964
2021-03-21,11968
2021-03-22,11970
2021-03-23,11971
2021-03-24,11972
2021-03-25,11967
2021-03-28,11965
2021-03-29,11972
2021-03-30,11969
2021-03-31,11970
2021-04-01,11970
2021-04-04,11977
2021-04-05,11977
2021-04-06,11976
2021-04-07,11978
2021-04-08,11978
2021-04-11,11983
2021-04-12,11984
2021-04-13,11985
2021-04-14,11985
2021-04-15,11986
2021-04-18,11992
2021-04-19,11992
2021-04-20,11995
2021-04-21,11997
2021-04-22,11997
2021-04-25,12002
2021-04-26,12003
2021-04-27,12004
2021-04-28,12005
2021-04-30,12008
2021-05-01,12013
2021-05-03,12013
2021-05-04,12016
2021-05-05,12016
2021-05-06,12014
2021-05-07,12021
2021-05-09,12021
2021-05-10,12021
2021-05-11,12025
2021-05-12,12024
2021-05-13,12024
2021-05-13,12024
2021-05-16,12030
2021-05-16,12030
2021-05-17,12029
2021-05-18,12028
2021-05-19,12032
2021-05-20,12030
