date,price
2014-04-25,10000
2014-04-30,10001
2014-05-07,10006
2014-05-14,10072
2014-05-21,10300
2014-05-28,10347
2014-05-31,10281
2014-06-04,10221
2014-06-11,10316
2014-06-18,10355
2014-06-25,10406
2014-06-30,10510
2014-07-02,10574
2014-07-09,10661
2014-07-16,10670
2014-07-23,10692
2014-07-30,10653
2014-07-31,10664
2014-08-06,10686
2014-08-13,10723
2014-08-20,10748
2014-08-27,10782
2014-08-31,10790
2014-09-03,10803
2014-09-10,10885
2014-09-17,10937
2014-09-24,10947
2014-09-30,10966
2014-10-01,11045
2014-10-08,11227
2014-10-15,11139
2014-10-22,11141
2014-10-29,11078
2014-10-31,11117
2014-11-05,11119
2014-11-12,11096
2014-11-19,11075
2014-11-26,11060
2014-11-30,11085
2014-12-03,11135
2014-12-10,11083
2014-12-17,10979
2014-12-24,11109
2014-12-31,11234
2015-01-07,11307
2015-01-14,11176
2015-01-21,11115
2015-01-28,11126
2015-01-31,11077
2015-02-04,11013
2015-02-11,11068
2015-02-23,11100
2015-02-25,11081
2015-02-28,11146
2015-03-04,11173
2015-03-11,11143
2015-03-18,11093
2015-03-25,11028
2015-03-31,10999
2015-04-01,10854
2015-04-08,10267
2015-04-15,10327
2015-04-22,10439
2015-04-29,10449
2015-04-30,10449
2015-05-06,10302
2015-05-13,10348
2015-05-20,10463
2015-05-27,10510
2015-05-31,10499
2015-06-03,10553
2015-06-10,10541
2015-06-17,10551
2015-06-24,10536
2015-06-30,10545
2015-07-01,10563
2015-07-08,10530
2015-07-15,10606
2015-07-22,10626
2015-07-29,10578
2015-07-31,10628
2015-08-05,10735
2015-08-12,10658
2015-08-19,10514
2015-08-26,10364
2015-08-31,10425
2015-09-02,10416
2015-09-09,10408
2015-09-16,10391
2015-09-23,10538
2015-09-30,10574
2015-10-07,10696
2015-10-14,10965
2015-10-21,11000
2015-10-28,10991
2015-10-31,11045
2015-11-04,10974
2015-11-11,10902
2015-11-18,10740
2015-11-25,10894
2015-11-30,10920
2015-12-02,10839
2015-12-09,10883
2015-12-16,10797
2015-12-23,10805
2015-12-30,10814
2015-12-31,10951
2016-01-06,10806
2016-01-13,10679
2016-01-20,10478
2016-01-27,10599
2016-01-31,10701
2016-02-03,10596
2016-02-10,10705
2016-02-17,10730
2016-02-24,10782
2016-02-29,10765
2016-03-02,10782
2016-03-09,10846
2016-03-16,11030
2016-03-23,11048
2016-03-30,11082
2016-03-31,11105
2016-04-06,11064
2016-04-13,11223
2016-04-20,11184
2016-04-27,11269
2016-04-30,11310
2016-05-04,11238
2016-05-11,11244
2016-05-18,11388
2016-05-25,11350
2016-05-31,11394
2016-06-01,11387
2016-06-08,11485
2016-06-15,11568
2016-06-22,11612
2016-06-29,11569
2016-06-30,11650
2016-07-06,11646
2016-07-13,11671
2016-07-20,11632
2016-07-27,11564
2016-07-31,11557
2016-08-03,11451
2016-08-10,11513
2016-08-17,11598
2016-08-24,11559
2016-08-31,11794
2016-09-07,11886
2016-09-14,11847
2016-09-21,11859
2016-09-28,12127
2016-09-30,12089
2016-10-05,12307
2016-10-12,12183
2016-10-19,12165
2016-10-26,12073
2016-10-31,12153
2016-11-02,12135
2016-11-09,12041
2016-11-16,12326
2016-11-23,12298
2016-11-30,12216
2016-12-07,11966
2016-12-14,11905
2016-12-21,12045
2016-12-28,12107
2016-12-31,12387
2017-01-04,12175
2017-01-11,12152
2017-01-18,12193
2017-01-25,12204
2017-01-31,12203
2017-02-01,12203
2017-02-08,12287
2017-02-15,12372
2017-02-22,12607
2017-02-28,12620
2017-03-01,12614
2017-03-08,12667
2017-03-15,12701
2017-03-22,12701
2017-03-29,12743
2017-03-31,12764
2017-04-05,12726
2017-04-12,12785
2017-04-19,12705
2017-04-26,12657
2017-04-30,12703
2017-05-03,12692
2017-05-10,12767
2017-05-17,12916
2017-05-24,12896
2017-05-31,12962
2017-06-07,13085
2017-06-14,13154
2017-06-21,13256
2017-06-28,13232
2017-06-30,13260
2017-07-05,13305
2017-07-12,13307
2017-07-19,13163
2017-07-26,13229
2017-07-31,13306
2017-08-02,13325
2017-08-09,13280
2017-08-16,13308
2017-08-23,13288
2017-08-30,13504
2017-08-31,13556
2017-09-06,13518
2017-09-13,13508
2017-09-20,13460
2017-09-27,13527
2017-09-30,13585
2017-10-04,13526
2017-10-11,13676
2017-10-18,13726
2017-10-25,13769
2017-10-31,13738
2017-11-01,13691
2017-11-08,13798
2017-11-15,13856
2017-11-22,13953
2017-11-29,14060
2017-11-30,14054
2017-12-06,14139
2017-12-13,13995
2017-12-20,14074
2017-12-27,14157
2017-12-31,14296
2018-01-03,14293
2018-01-10,14479
2018-01-17,14535
2018-01-24,14544
2018-01-31,14545
2018-02-07,14277
2018-02-14,14363
2018-02-21,14419
2018-02-28,14394
2018-03-07,14412
2018-03-14,14575
2018-03-21,14653
2018-03-28,14552
2018-03-31,14664
2018-04-04,14677
2018-04-11,14614
2018-04-18,14758
2018-04-25,14349
2018-04-30,14307
2018-05-02,14293
2018-05-09,14297
2018-05-16,14433
2018-05-23,14300
2018-05-30,13916
2018-05-31,14159
2018-06-06,14479
2018-06-13,14414
2018-06-20,14184
2018-06-27,14175
2018-06-30,14322
2018-07-04,13662
2018-07-11,13369
2018-07-18,13956
2018-07-25,13887
2018-07-31,14174
2018-08-01,14094
2018-08-08,14071
2018-08-15,14165
2018-08-22,14251
2018-08-29,14512
2018-08-31,14632
2018-09-05,14271
2018-09-12,14451
2018-09-19,14601
2018-09-26,14939
2018-09-30,15108
2018-10-03,15010
2018-10-10,14955
2018-10-17,14714
2018-10-24,14164
2018-10-31,14185
2018-11-07,14154
2018-11-14,13971
2018-11-21,14232
2018-11-28,14420
2018-11-30,14450
2018-12-05,14800
2018-12-12,14832
2018-12-19,14422
2018-12-26,14279
2018-12-31,14502
2019-01-03,14287
2019-01-10,14351
2019-01-17,14455
2019-01-24,14571
2019-01-31,14763
2019-02-07,14708
2019-02-14,15067
2019-02-21,15150
2019-02-28,15448
2019-03-07,15392
2019-03-14,15673
2019-03-21,15530
2019-03-28,15214
2019-04-04,15303
2019-04-11,15014
2019-04-18,14866
2019-04-25,14625
2019-05-02,14664
2019-05-09,14578
2019-05-16,14788
2019-05-23,14823
2019-05-30,14626
2019-06-06,14264
2019-06-13,14407
2019-06-20,14267
2019-06-27,14282
2019-07-04,14257
2019-07-11,14618
2019-07-18,14684
2019-07-25,14639
2019-08-01,14407
2019-08-08,14372
2019-08-15,14288
2019-08-22,14302
2019-08-29,14341
2019-09-05,14293
2019-09-12,14287
2019-09-19,14411
2019-09-27,14465
2019-10-03,14525
2019-10-10,14656
2019-10-17,14598
2019-10-24,14456
2019-10-31,14525
2019-11-07,14568
2019-11-14,14627
2019-11-21,14390
2019-11-28,14243
2019-12-05,14182
2019-12-12,14136
2019-12-19,13960
2019-12-26,14064
2020-01-02,14253
2020-01-09,13801
2020-01-16,13982
2020-01-23,14315
2020-01-30,14311
2020-02-06,13687
2020-02-13,14190
2020-02-20,14313
2020-02-27,14081
2020-03-05,14215
2020-03-12,13445
2020-03-19,12674
2020-03-26,12022
2020-04-02,11761
2020-04-09,12505
2020-04-16,12582
2020-04-23,12577
2020-04-30,12907
2020-05-07,12899
2020-05-14,13128
2020-05-21,13340
2020-05-28,13836
2020-06-04,14300
2020-06-11,14376
2020-06-18,14168
2020-06-25,14223
2020-07-02,14180
2020-07-09,14536
2020-07-16,14618
2020-07-23,14574
2020-07-30,14186
2020-08-06,14642
2020-08-13,15092
2020-08-20,15192
2020-08-27,15440
2020-09-03,15652
2020-09-10,15702
2020-09-17,15917
2020-09-24,16030
2020-10-01,16081
2020-10-08,16268
2020-10-15,16180
2020-10-22,16275
2020-10-29,16181
2020-11-05,16326
2020-11-12,16483
2020-11-19,16664
2020-11-26,16762
2020-12-03,16809
2020-12-10,16830
2020-12-17,16873
2020-12-24,16879
2020-12-31,16820
2021-01-07,17010
2021-01-14,17124
2021-01-21,16982
2021-01-28,16824
2021-02-04,16917
2021-02-11,17082
2021-02-18,17082
2021-02-25,17268
2021-03-04,17410
2021-03-11,17351
2021-03-18,17376
2021-03-25,17238
2021-03-31,17308
2021-04-08,17396
2021-04-15,17377
2021-04-22,17254
2021-04-29,17161
2021-05-06,17298
2021-05-13,17320
2021-05-20,17253
2021-05-27,17601
2021-06-03,18402
2021-06-10,18148
2021-06-17,18298
2021-06-24,18387
2021-07-01,18367
2021-07-08,18304
2021-07-15,17665
2021-07-22,17796
2021-07-28,17814
2021-07-31,17814
2021-08-04,18096
2021-08-11,18372
2021-08-18,18435
2021-08-19,18463
2021-08-22,18219
2021-08-23,17961
2021-08-24,17933
2021-08-25,17984
2021-08-26,18004
2021-08-29,18084
2021-08-30,18201
2021-08-31,18213
2021-09-06,18342
2021-09-07,18326
2021-09-08,18283
2021-09-09,18347
2021-09-12,18323
2021-09-13,18214
2021-09-14,18176
2021-09-15,18225
2021-09-16,18267
2021-09-19,18370
2021-09-20,18396
2021-09-21,18295
2021-09-22,18352
2021-09-23,18355
2021-09-26,18322
2021-09-27,18129
2021-09-28,18314
2021-09-29,18403
2021-09-30,18409
2021-10-03,18446
2021-10-04,18634
2021-10-05,18682
2021-10-06,18811
2021-10-07,18762
2021-10-10,18789
2021-10-11,18954
2021-10-12,18937
2021-10-12,18937
2021-10-13,18900
2021-10-14,18932
2021-10-17,18898
2021-10-18,18821
2021-10-19,18835
2021-10-20,18787
2021-10-21,18690
2021-10-24,18733
2021-10-25,18688
2021-10-26,18745
2021-10-27,18933
2021-10-28,19047
2021-10-31,19083
2021-11-01,19022
2021-11-02,19074
2021-11-03,19062
2021-11-04,19036
2021-11-07,19134
2021-11-08,19326
2021-11-09,19267
2021-11-10,19392
2021-11-11,19379
2021-11-14,19492
2021-11-15,19440
2021-11-16,19316
2021-11-17,19366
2021-11-18,19273
2021-11-21,19042
2021-11-22,18881
2021-11-23,19137
2021-11-24,19327
