date,industry,weight_pct
2025-02-01,Ngân hàng,44.8
2025-02-01,BĐS,10.920000000000002
2025-02-01,Điện,7.51
2025-02-01,Dầu khí,7.26
2025-02-01,Vật liệu,4.84
2025-02-01,Sản xuất,4.21
2025-02-01,Bán lẻ,3.8
2025-02-01,Hạ tầng,1.26
2025-02-01,Thực phẩm,1.23
2025-02-01,Dệt may,1.04
2025-03-01,Ngân hàng,46.82
2025-03-01,BĐS,11.57
2025-03-01,Điện,9.01
2025-03-01,Dầu khí,7.92
2025-03-01,Vật liệu,4.71
2025-03-01,Sản xuất,4.64
2025-03-01,Thực phẩm,3.65
2025-03-01,Bán lẻ,3.55
2025-03-01,Hạ tầng,1.21
2025-03-01,Dệt may,0.87
2025-04-01,Ngân hàng,44.050000000000004
2025-04-01,BĐS,15.900000000000002
2025-04-01,Dầu khí,7.289999999999999
2025-04-01,Điện,6.65
2025-04-01,Vật liệu,4.69
2025-04-01,Sản xuất,4.34
2025-04-01,Thực phẩm,3.41
2025-04-01,Bán lẻ,3.27
2025-04-01,Hạ tầng,1.13
2025-04-01,Dệt may,0.87
2025-05-01,Ngân hàng,42.94
2025-05-01,BĐS,13.15
2025-05-01,Dầu khí,6.82
2025-05-01,Điện,5.92
2025-05-01,Vật liệu,4.82
2025-05-01,Sản xuất,3.96
2025-05-01,Bán lẻ,3.43
2025-05-01,Thực phẩm,3.2
2025-05-01,Hạ tầng,1.07
2025-05-01,Dệt may,0.76
2025-06-01,Ngân hàng,36.940000000000005
2025-06-01,BĐS,10.069999999999999
2025-06-01,Dầu khí,5.77
2025-06-01,Điện,5.01
2025-06-01,Vật liệu,4.31
2025-06-01,Sản xuất,3.36
2025-06-01,Bán lẻ,2.92
2025-06-01,Thực phẩm,2.71
2025-06-01,Hạ tầng,0.98
2025-06-01,Dệt may,0.65
2025-07-01,Ngân hàng,43.28
2025-07-01,Dầu khí,8.870000000000001
2025-07-01,BĐS,6.55
2025-07-01,Điện,5.29
2025-07-01,Vật liệu,4.92
2025-07-01,Thực phẩm,4.29
2025-07-01,Sản xuất,3.05
2025-07-01,Bán lẻ,2.97
2025-07-01,Công nghệ,1.68
2025-07-01,Hạ tầng,0.9
2025-07-01,Dệt may,0.59
2025-07-01,Chứng khoán,0.16
2025-08-01,Ngân hàng,31.419999999999998
2025-08-01,Dầu khí,8.15
2025-08-01,Điện,5.05
2025-08-01,Thực phẩm,4.05
2025-08-01,Vật liệu,3.91
2025-08-01,BĐS,3.35
2025-08-01,Sản xuất,2.71
2025-08-01,Bán lẻ,2.09
2025-08-01,Công nghệ,1.57
2025-08-01,Ô tô,0.91
2025-08-01,Hạ tầng,0.76
2025-08-01,Dệt may,0.52
2025-09-01,Ngân hàng,28.310000000000002
2025-09-01,Dầu khí,8.62
2025-09-01,Điện,4.949999999999999
2025-09-01,Thực phẩm,4.42
2025-09-01,Vật liệu,3.31
2025-09-01,Ô tô,2.94
2025-09-01,Sản xuất,2.62
2025-09-01,Bán lẻ,1.95
2025-09-01,BĐS,1.42
2025-09-01,Công nghệ,1.38
2025-09-01,Hạ tầng,0.74
2025-09-01,Dệt may,0.51
2025-10-01,Ngân hàng,28.39
2025-10-01,Dầu khí,8.18
2025-10-01,Điện,4.69
2025-10-01,Thực phẩm,4.16
2025-10-01,Vật liệu,3.74
2025-10-01,Ô tô,2.96
2025-10-01,Sản xuất,2.65
2025-10-01,Bán lẻ,1.79
2025-10-01,BĐS,1.62
2025-10-01,Công nghệ,1.49
2025-10-01,Hạ tầng,0.72
2025-10-01,Dệt may,0.49
2025-10-01,Chứng khoán,0.2
2025-11-01,Ngân hàng,31.43
2025-11-01,Dầu khí,9.02
2025-11-01,Điện,4.67
2025-11-01,Thực phẩm,4.43
2025-11-01,Vật liệu,3.82
2025-11-01,Ô tô,3.2
2025-11-01,Sản xuất,2.25
2025-11-01,BĐS,2.07
2025-11-01,Bán lẻ,1.8499999999999999
2025-11-01,Công nghệ,1.56
2025-11-01,Hạ tầng,0.7
2025-11-01,Chứng khoán,0.53
2025-11-01,Dệt may,0.47
2025-12-01,Ngân hàng,32.510000000000005
2025-12-01,Dầu khí,8.73
2025-12-01,Thực phẩm,4.46
2025-12-01,Điện,4.4
2025-12-01,Vật liệu,3.68
2025-12-01,Ô tô,3.03
2025-12-01,BĐS,2.14
2025-12-01,Chứng khoán,2.13
2025-12-01,Sản xuất,2.11
2025-12-01,Công nghệ,1.49
2025-12-01,Hạ tầng,0.64
2025-12-01,Bán lẻ,0.53
2025-12-01,Dệt may,0.46
2026-01-01,Ngân hàng,34.32
2026-01-01,Dầu khí,7.09
2026-01-01,Thực phẩm,4.55
2026-01-01,Điện,4.5
2026-01-01,Ô tô,3.29
2026-01-01,Vật liệu,2.91
2026-01-01,BĐS,2.67
2026-01-01,Chứng khoán,2.39
2026-01-01,Sản xuất,1.95
2026-01-01,Công nghệ,1.63
2026-01-01,Hạ tầng,0.65
2026-01-01,Dệt may,0.4
2026-02-01,Ngân hàng,35.88999999999999
2026-02-01,Dầu khí,7.54
2026-02-01,Thực phẩm,4.51
2026-02-01,Điện,4.489999999999999
2026-02-01,Ô tô,3.31
2026-02-01,BĐS,3.0599999999999996
2026-02-01,Vật liệu,2.53
2026-02-01,Chứng khoán,2.34
2026-02-01,Sản xuất,1.86
2026-02-01,Công nghệ,1.41
2026-02-01,Hạ tầng,0.76
2026-02-01,Dệt may,0.41
2026-03-01,Ngân hàng,38.69
2026-03-01,Thực phẩm,4.75
2026-03-01,Dầu khí,4.75
2026-03-01,Điện,4.550000000000001
2026-03-01,BĐS,4.5
2026-03-01,Ô tô,3.3
2026-03-01,Chứng khoán,3.08
2026-03-01,Vật liệu,2.93
2026-03-01,Sản xuất,2.2
2026-03-01,Công nghệ,1.4
2026-03-01,Hạ tầng,1.03
2026-03-01,Dệt may,0.41
2026-03-01,Xây dựng,0.24
2026-04-01,Ngân hàng,39.07000000000001
2026-04-01,Dầu khí,4.67
2026-04-01,Thực phẩm,4.49
2026-04-01,BĐS,4.46
2026-04-01,Điện,4.27
2026-04-01,Chứng khoán,3.41
2026-04-01,Ô tô,3.35
2026-04-01,Vật liệu,2.98
2026-04-01,Sản xuất,2.16
2026-04-01,Công nghệ,1.4
2026-04-01,Hạ tầng,0.89
2026-04-01,Dệt may,0.39
2026-05-01,Ngân hàng,39.45
2026-05-01,Thực phẩm,4.7299999999999995
2026-05-01,Dầu khí,4.67
2026-05-01,BĐS,4.45
2026-05-01,Điện,4.12
2026-05-01,Chứng khoán,3.69
2026-05-01,Ô tô,3.36
2026-05-01,Vật liệu,2.99
2026-05-01,Sản xuất,2.23
2026-05-01,Công nghệ,1.31
2026-05-01,Hạ tầng,0.89
2026-05-01,Dệt may,0.39
2026-05-01,Bán lẻ,0.17
2026-06-01,Ngân hàng,38.98
2026-06-01,BĐS,4.57
2026-06-01,Thực phẩm,4.49
2026-06-01,Dầu khí,4.48
2026-06-01,Điện,4.22
2026-06-01,Chứng khoán,3.5
2026-06-01,Ô tô,3.16
2026-06-01,Vật liệu,2.94
2026-06-01,Sản xuất,2.28
2026-06-01,Công nghệ,1.3
2026-06-01,Hạ tầng,0.85
2026-06-01,Dệt may,0.42
2026-06-01,Bán lẻ,0.35
2026-07-01,Ngân hàng,38.879999999999995
2026-07-01,BĐS,5.53
2026-07-01,Thực phẩm,4.73
2026-07-01,Dầu khí,4.67
2026-07-01,Điện,4.14
2026-07-01,Vật liệu,3.55
2026-07-01,Chứng khoán,3.45
2026-07-01,Ô tô,3.07
2026-07-01,Sản xuất,2.33
2026-07-01,Công nghệ,1.56
2026-07-01,Hạ tầng,0.97
2026-07-01,Bán lẻ,0.68
2026-07-01,Dệt may,0.38
2026-07-01,Thực phẩm - Đồ uống,0.28
2026-07-01,Bảo hiểm,0.1
