date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,CTG,Ngân hàng,6.88,10806600000,STOCK
2025-02-01,FPT,Công nghệ,5.32,8354865000,STOCK
2025-02-01,HPG,Vật liệu,4.26,6692000000,STOCK
2025-02-01,VCB,Ngân hàng,3.8,5971200000,STOCK
2025-02-01,MBB,Ngân hàng,3.74,5879260000,STOCK
2025-02-01,ACB,Ngân hàng,3.26,5113160000,STOCK
2025-02-01,VPB,Ngân hàng,3.07,4825000000,STOCK
2025-02-01,GMD,Hạ tầng,2.36,3702700000,STOCK
2025-02-01,PNJ,Bán lẻ,2.09,3290000000,STOCK
2025-02-01,STB,Ngân hàng,2.07,3251250000,STOCK
2025-02-01,SSI,Chứng khoán,1.97,3090250000,STOCK
2025-02-01,KDH,BĐS,1.86,2914500000,STOCK
2025-02-01,MWG,Bán lẻ,1.86,2915000000,STOCK
2025-02-01,IDC,BĐS,1.75,2745600000,STOCK
2025-02-01,KBC,BĐS,1.7,2673000000,STOCK
2025-02-01,MSN,Thực phẩm,1.64,2572600000,STOCK
2025-02-01,HCM,Chứng khoán,1.59,2492000000,STOCK
2025-02-01,DGC,Vật liệu,1.49,2341500000,STOCK
2025-02-01,DCM,Vật liệu,1.35,2121000000,STOCK
2025-02-01,PAN,Thực phẩm,1.35,2118750000,STOCK
2025-02-01,TCB,Ngân hàng,1.33,2088000000,STOCK
2025-02-01,NT2,Điện,1.32,2070000000,STOCK
2025-02-01,TPB,Ngân hàng,1.28,2004000000,STOCK
2025-02-01,DPG,Xây dựng,1.24,1946000000,STOCK
2025-02-01,PVD,Dầu khí,1.18,1856250000,STOCK
2025-02-01,OCB,Ngân hàng,0.57,900000000,STOCK
2025-02-01,REE,Hạ tầng,0.46,724000000,STOCK
2025-03-01,CTG,Ngân hàng,7.32,10793580000,STOCK
2025-03-01,MBB,Ngân hàng,4.99,7365442000,STOCK
2025-03-01,HPG,Vật liệu,4.88,7195750000,STOCK
2025-03-01,FPT,Công nghệ,4.47,6600550000,STOCK
2025-03-01,VCB,Ngân hàng,4.15,6123520000,STOCK
2025-03-01,ACB,Ngân hàng,3.47,5113160000,STOCK
2025-03-01,VPB,Ngân hàng,3.22,4750000000,STOCK
2025-03-01,GMD,Hạ tầng,2.38,3507500000,STOCK
2025-03-01,KBC,BĐS,2.08,3065000000,STOCK
2025-03-01,SSI,Chứng khoán,2.07,3055000000,STOCK
2025-03-01,MWG,Bán lẻ,2.0,2950000000,STOCK
2025-03-01,PNJ,Bán lẻ,1.98,2915500000,STOCK
2025-03-01,STB,Ngân hàng,1.95,2872500000,STOCK
2025-03-01,KDH,BĐS,1.92,2836200000,STOCK
2025-03-01,TCB,Ngân hàng,1.86,2750000000,STOCK
2025-03-01,IDC,BĐS,1.76,2592000000,STOCK
2025-03-01,MSN,Thực phẩm,1.72,2538400000,STOCK
2025-03-01,HCM,Chứng khoán,1.66,2448000000,STOCK
2025-03-01,DPG,Xây dựng,1.39,2056000000,STOCK
2025-03-01,NT2,Điện,1.35,1995000000,STOCK
2025-03-01,PVD,Dầu khí,1.12,1650000000,STOCK
2025-03-01,DGC,Vật liệu,1.08,1593600000,STOCK
2025-03-01,OCB,Ngân hàng,0.98,1449500000,STOCK
2025-03-01,REE,Hạ tầng,0.97,1428000000,STOCK
2025-03-01,GVR,Ô tô,0.66,972000000,STOCK
2025-03-01,VHC,Thực phẩm,0.64,937500000,STOCK
2025-04-01,CTG,Ngân hàng,5.48,7752480000,STOCK
2025-04-01,HPG,Vật liệu,4.57,6477000000,STOCK
2025-04-01,MBB,Ngân hàng,3.75,5313351000,STOCK
2025-04-01,VCB,Ngân hàng,3.06,4336464000,STOCK
2025-04-01,FPT,Công nghệ,2.66,3768830000,STOCK
