date,price
2023-01-06,10000
2023-02-03,10000
2023-05-31,9993.32
2023-06-07,10042.97
2023-06-14,10026.25
2023-06-21,10008.15
2023-06-28,10105.91
2023-07-05,10154.64
2023-07-12,10232.42
2023-07-19,10329.94
2023-07-26,10375.91
2023-08-02,10368.82
2023-08-09,10447.24
2023-08-16,10415.26
2023-08-23,10154.94
2023-08-30,10305.13
2023-09-06,10506.52
2023-09-13,10642.16
2023-09-20,10657.57
2023-09-27,10490.25
2023-10-04,10441.03
2023-10-11,10642.57
2023-10-18,10560.41
2023-10-25,10503.46
2023-11-01,10274.22
2023-11-08,10328.29
2023-11-15,10345.59
2023-11-22,10357.52
2023-11-29,10373.37
2023-12-06,10370.03
2023-12-13,10368.70
2023-12-20,10392.28
2023-12-27,10219.93
2024-01-03,10428.58
2024-01-10,10416.88
2024-01-17,10436.20
2024-01-24,10442.77
2024-01-31,10503.70
2024-02-07,10479.22
2024-02-21,10505.89
2024-02-28,10479.67
2024-03-06,10600.77
2024-03-13,10517.39
2024-03-20,10574.22
2024-03-27,10584.41
2024-04-03,10647.53
2024-04-10,10548.99
2024-04-17,10484.87
2024-04-24,11179.05
2024-05-02,11519
2024-05-08,11072.95
2024-05-15,11180.34
2024-05-22,11146.46
2024-05-29,11267.29
2024-06-05,10597.14
2024-06-12,10660.06
2024-06-19,10766.45
2024-06-26,10640.93
2024-07-03,10586.56
2024-07-10,10735.36
2024-07-17,10676.27
2024-07-24,10366.69
2024-07-31,10550.81
2024-08-07,10351.11
2024-08-14,10466.21
2024-08-21,10664.10
2024-08-28,10640.15
2024-09-04,10631.62
2024-09-11,10865.57
2024-09-18,10503.05
2024-09-25,10684.62
2024-10-02,10972.03
2024-10-09,10700.67
2024-10-16,10751.90
2024-10-23,10611.81
2024-10-30,10621.38
2024-11-06,10481.79
2024-11-13,10544.24
2024-11-20,10224.05
2024-11-27,10426.55
2024-12-04,10461.73
2024-12-11,10560.88
2024-12-18,10423.98
2024-12-25,10458.65
2025-01-02,10520.68
2025-01-08,10850.90
2025-01-15,10240.10
2025-01-22,10336.33
2025-02-05,10445.74
2025-02-12,10737.63
2025-02-19,10462.64
2025-02-26,10607.75
2025-03-05,10616.73
2025-03-12,10646.92
2025-03-19,10581.39
2025-03-26,10509.41
2025-04-02,10400.31
2025-04-09,9053.27
2025-04-16,9436.68
2025-04-23,9350.89
2025-05-05,9559.11
2025-05-07,9682.41
2025-05-14,11513.70
2025-05-21,11524.82
2025-05-28,9698.57
2025-06-04,9768.58
2025-06-11,11180.40
2025-06-18,9835.99
2025-06-25,9858.30
2025-07-02,11240.98
2025-07-09,9657.85
2025-07-16,11736.51
2025-07-23,9287.78
2025-07-30,9239.03
2025-08-06,9327
2025-08-13,9565.28
2025-08-20,9572.25
2025-08-27,9590.19
2025-09-03,11145.74
2025-09-10,9143.68
2025-09-17,9245.76
2025-09-24,9055.39
2025-10-01,9020.29
2025-10-08,8999.96
2025-10-15,8979.32
2025-10-22,8747.12
2025-10-29,8801.67
2025-11-05,8812.51
2025-11-12,10786.14
2025-11-19,7963.91
2025-11-26,7918.21
2025-12-03,7924.40
2025-12-10,7882.18
2025-12-17,7857.70
2025-12-24,8002.21
2025-12-31,10158.67
2026-01-07,7994.91
2026-01-14,8102.09
2026-01-21,10732.24
2026-01-28,6645.05
2026-02-04,6665.46
2026-02-11,6629.94
2026-02-25,6704.42
2026-03-04,6653.32
2026-03-11,6482.77
2026-03-18,6518.77
2026-03-25,6463.31
2026-04-01,6552.19
2026-04-08,6448.55
2026-04-15,6547.27
2026-04-22,6547.15
2026-04-29,6487.70
2026-05-06,6511.01
2026-05-13,6490.24
2026-05-20,6465.23
2026-05-27,6427.25
2026-06-03,6333.80
2026-06-10,6310.53
2026-06-17,6335.52
2026-06-24,6305.40
2026-07-01,6295.52
2026-07-08,6190.79
2026-07-15,6117.22
2026-07-22,5972.07
2026-07-29,5945.67
2026-08-05,5969.15
2026-08-12,6047.34
2026-08-19,6030.05
2026-08-26,6104.55
2026-09-03,6140.93
