date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,FPT,Công nghệ,5.15,9226829500,STOCK
2025-02-01,ACB,Ngân hàng,5.13,9192300000,STOCK
2025-02-01,MBB,Ngân hàng,4.68,8387157000,STOCK
2025-02-01,VPB,Ngân hàng,4.27,7638940000,STOCK
2025-02-01,VCB,Ngân hàng,3.99,7137450000,STOCK
2025-02-01,HPG,Vật liệu,3.87,6935600000,STOCK
2025-02-01,CTG,Ngân hàng,3.86,6913817000,STOCK
2025-02-01,TCB,Ngân hàng,3.57,6394500000,STOCK
2025-02-01,STB,Ngân hàng,3.4,6093225000,STOCK
2025-02-01,PNJ,Bán lẻ,3.04,5452000000,STOCK
2025-02-01,KDH,BĐS,2.75,4918470000,STOCK
2025-02-01,VIB,Ngân hàng,2.56,4578923250,STOCK
2025-02-01,HDB,Ngân hàng,2.48,4448189000,STOCK
2025-02-01,SZC,BĐS,2.3,4126800000,STOCK
2025-02-01,QNS,Thực phẩm,2.05,3674160000,STOCK
2025-02-01,GVR,Ô tô,1.94,3476940000,STOCK
2025-02-01,REE,Hạ tầng,1.94,3475200000,STOCK
2025-02-01,CTD,Xây dựng,1.93,3450000000,STOCK
2025-02-01,HAH,Hạ tầng,1.93,3452680000,STOCK
2025-02-01,KBC,BĐS,1.76,3160080000,STOCK
2025-02-01,HAX,Bán lẻ,1.7,3036300000,STOCK
2025-02-01,GMD,Hạ tầng,1.53,2737570000,STOCK
2025-02-01,TV2,Xây dựng,1.53,2742760000,STOCK
2025-02-01,BID,Ngân hàng,1.5,2694510000,STOCK
2025-02-01,HDG,BĐS,1.47,2632025000,STOCK
2025-02-01,EIB,Ngân hàng,1.44,2580814500,STOCK
2025-02-01,PLX,Dầu khí,1.43,2552030000,STOCK
2025-02-01,MWG,Bán lẻ,1.33,2384470000,STOCK
2025-02-01,HCM,Chứng khoán,1.06,1893920000,STOCK
2025-02-01,VHM,BĐS,0.99,1775720000,STOCK
2025-02-01,OIL,Dầu khí,0.98,1760760000,STOCK
2025-02-01,SHS,Chứng khoán,0.98,1750320000,STOCK
2025-02-01,VNM,Thực phẩm,0.96,1716720000,STOCK
2025-02-01,IDC,BĐS,0.95,1710280000,STOCK
2025-02-01,TPB,Ngân hàng,0.95,1703400000,STOCK
2025-02-01,MCH,Bán lẻ,0.93,1668800000,STOCK
2025-02-01,NT2,Điện,0.93,1668420000,STOCK
2025-02-01,MSN,Thực phẩm,0.91,1624800000,STOCK
2025-02-01,TIP,BĐS,0.89,1598280000,STOCK
2025-02-01,DGC,Vật liệu,0.82,1460650000,STOCK
2025-02-01,PVB,Vật liệu,0.54,963960000,STOCK
2025-02-01,BMP,Xây dựng,0.49,872350000,STOCK
2025-02-01,PVD,Dầu khí,0.49,886050000,STOCK
2025-02-01,TCH,Ô tô,0.49,873250000,STOCK
2025-02-01,CMG,Công nghệ,0.08,150427200,STOCK
2025-03-01,ACB,Ngân hàng,5.17,9192300000,STOCK
2025-03-01,MBB,Ngân hàng,4.95,8788281900,STOCK
2025-03-01,VPB,Ngân hàng,4.23,7520200000,STOCK
2025-03-01,HPG,Vật liệu,4.2,7465925000,STOCK
2025-03-01,VCB,Ngân hàng,4.12,7319488000,STOCK
2025-03-01,FPT,Công nghệ,4.0,7114800000,STOCK
2025-03-01,CTG,Ngân hàng,3.89,6905487100,STOCK
2025-03-01,TCB,Ngân hàng,3.79,6737500000,STOCK
2025-03-01,STB,Ngân hàng,3.43,6101190000,STOCK
2025-03-01,VIB,Ngân hàng,2.94,5227914350,STOCK
2025-03-01,PAN,Thực phẩm,2.73,4848120000,STOCK
2025-03-01,KBC,BĐS,2.65,4710905000,STOCK
2025-03-01,REE,Hạ tầng,2.41,4284000000,STOCK
2025-03-01,HDB,Ngân hàng,2.4,4264858000,STOCK
2025-03-01,GVR,Ô tô,2.36,4189320000,STOCK
2025-03-01,POW,Điện,2.2,3915520000,STOCK
2025-03-01,BVH,Bảo hiểm,1.94,3443180000,STOCK
2025-03-01,MWG,Bán lẻ,1.84,3262700000,STOCK
2025-03-01,NT2,Điện,1.75,3112200000,STOCK
2025-03-01,MSB,Ngân hàng,1.59,2824300000,STOCK
2025-03-01,SIP,BĐS,1.58,2810120000,STOCK
2025-03-01,GEG,Điện,1.55,2753590000,STOCK
2025-03-01,MSN,Thực phẩm,1.47,2611880000,STOCK
2025-03-01,TV2,Xây dựng,1.46,2597600000,STOCK
2025-03-01,HDG,BĐS,1.39,2463725000,STOCK
2025-03-01,TCH,Ô tô,1.37,2430000000,STOCK
2025-03-01,QNS,Thực phẩm,1.3,2313360000,STOCK
2025-03-01,KDH,BĐS,1.21,2158120000,STOCK
2025-03-01,DBD,Dược phẩm,1.16,2068200000,STOCK
2025-03-01,SZC,BĐS,1.15,2050100000,STOCK
2025-03-01,HCM,Chứng khoán,1.05,1860480000,STOCK
2025-03-01,SKG,Vận tải,0.95,1683600000,STOCK
2025-03-01,VNM,Thực phẩm,0.94,1672560000,STOCK
2025-03-01,IDC,BĐS,0.91,1614600000,STOCK
2025-03-01,HAH,Hạ tầng,0.89,1589280000,STOCK
2025-03-01,MCH,Bán lẻ,0.86,1533744000,STOCK
2025-03-01,TIP,BĐS,0.85,1514160000,STOCK
2025-03-01,PVB,Vật liệu,0.73,1294710000,STOCK
2025-03-01,VHM,BĐS,0.62,1108080000,STOCK
2025-03-01,BMP,Xây dựng,0.49,870890000,STOCK
2025-03-01,QTP,Điện,0.49,872200000,STOCK
2025-03-01,BID,Ngân hàng,0.48,856375000,STOCK
2025-03-01,SHB,Ngân hàng,0.48,856560000,STOCK
2025-03-01,CTD,Xây dựng,0.43,765000000,STOCK
2025-03-01,CMG,Công nghệ,0.07,128744000,STOCK
2025-04-01,MBB,Ngân hàng,5.38,8587719450,STOCK
2025-04-01,ACB,Ngân hàng,4.84,7730872500,STOCK
2025-04-01,HPG,Vật liệu,4.46,7117050000,STOCK
2025-04-01,TCB,Ngân hàng,4.04,6443500000,STOCK
2025-04-01,FPT,Công nghệ,4.03,6432720000,STOCK
2025-04-01,STB,Ngân hàng,3.9,6228630000,STOCK
2025-04-01,CTG,Ngân hàng,3.88,6197445600,STOCK
2025-04-01,VPB,Ngân hàng,3.82,6103640000,STOCK
2025-04-01,VCB,Ngân hàng,3.81,6077639100,STOCK
2025-04-01,REE,Hạ tầng,3.36,5363550000,STOCK
2025-04-01,MWG,Bán lẻ,3.14,5016000000,STOCK
2025-04-01,VIB,Ngân hàng,2.86,4569486850,STOCK
2025-04-01,BVH,Bảo hiểm,2.8,4466340000,STOCK
2025-04-01,HDB,Ngân hàng,2.59,4139421000,STOCK
2025-04-01,POW,Điện,2.27,3624915000,STOCK
2025-04-01,VEA,Sản xuất,2.14,3411530000,STOCK
2025-04-01,GMD,Hạ tầng,2.03,3233000000,STOCK
2025-04-01,NT2,Điện,1.72,2745600000,STOCK
2025-04-01,GEG,Điện,1.66,2656290000,STOCK
2025-04-01,MSB,Ngân hàng,1.62,2592800000,STOCK
2025-04-01,CTD,Xây dựng,1.53,2435090000,STOCK
2025-04-01,TV2,Xây dựng,1.48,2356940000,STOCK
2025-04-01,TCH,Ô tô,1.45,2322000000,STOCK
2025-04-01,BWE,Tiện ích,1.41,2254290000,STOCK
2025-04-01,QNS,Thực phẩm,1.39,2225880000,STOCK
2025-04-01,PVS,Dầu khí,1.38,2196480000,STOCK
2025-04-01,HAH,Hạ tầng,1.21,1932420000,STOCK
2025-04-01,DBD,Dược phẩm,1.11,1777050000,STOCK
2025-04-01,KDH,BĐS,1.09,1744370000,STOCK
2025-04-01,BMP,Xây dựng,1.08,1720740000,STOCK
2025-04-01,VCI,Chứng khoán,1.07,1702000000,STOCK
2025-04-01,VLB,Vật liệu,1.07,1704480000,STOCK
2025-04-01,VND,Chứng khoán,1.03,1651260000,STOCK
2025-04-01,MSN,Thực phẩm,1.02,1631250000,STOCK
2025-04-01,QTP,Điện,1.01,1617300000,STOCK
2025-04-01,VNM,Thực phẩm,1.0,1589760000,STOCK
2025-04-01,EIB,Ngân hàng,0.92,1476205000,STOCK
2025-04-01,DDV,Vật liệu,0.86,1377510000,STOCK
2025-04-01,VHM,BĐS,0.79,1261440000,STOCK
2025-04-01,SHB,Ngân hàng,0.54,866880000,STOCK
2025-04-01,BID,Ngân hàng,0.48,763555000,STOCK
2025-04-01,MCH,Bán lẻ,0.38,604099600,STOCK
2025-04-01,CMG,Công nghệ,0.07,106552600,STOCK
2025-05-01,MBB,Ngân hàng,5.17,8879446650,STOCK
2025-05-01,ACB,Ngân hàng,4.54,7799973700,STOCK
2025-05-01,TCB,Ngân hàng,4.34,7460250000,STOCK
2025-05-01,FPT,Công nghệ,3.99,6850200000,STOCK
2025-05-01,HPG,Vật liệu,3.97,6823750000,STOCK
2025-05-01,VPB,Ngân hàng,3.85,6619960000,STOCK
2025-05-01,STB,Ngân hàng,3.77,6483510000,STOCK
2025-05-01,CTG,Ngân hàng,3.71,6380703400,STOCK
2025-05-01,MWG,Bán lẻ,3.45,5930550000,STOCK
2025-05-01,REE,Hạ tầng,3.27,5614110000,STOCK
2025-05-01,VCB,Ngân hàng,3.21,5515920000,STOCK
2025-05-01,BVH,Bảo hiểm,2.86,4918320000,STOCK
2025-05-01,VIB,Ngân hàng,2.74,4714340900,STOCK
2025-05-01,POW,Điện,2.67,4590240000,STOCK
2025-05-01,HDB,Ngân hàng,2.44,4187666000,STOCK
2025-05-01,TV2,Xây dựng,1.72,2960500000,STOCK
2025-05-01,NT2,Điện,1.69,2909400000,STOCK
2025-05-01,TCH,Ô tô,1.56,2673000000,STOCK
2025-05-01,VND,Chứng khoán,1.51,2598350000,STOCK
2025-05-01,MSB,Ngân hàng,1.45,2489025000,STOCK
2025-05-01,PVS,Dầu khí,1.37,2359500000,STOCK
2025-05-01,BWE,Tiện ích,1.35,2328050000,STOCK
2025-05-01,QNS,Thực phẩm,1.35,2313360000,STOCK
2025-05-01,PNJ,Bán lẻ,1.28,2202750000,STOCK
2025-05-01,CTD,Xây dựng,1.24,2133170000,STOCK
2025-05-01,KDH,BĐS,1.13,1946280000,STOCK
2025-05-01,VLB,Vật liệu,1.07,1841160000,STOCK
2025-05-01,DDV,Vật liệu,1.04,1793040000,STOCK
2025-05-01,EIB,Ngân hàng,1.03,1768330000,STOCK
2025-05-01,TCM,Dệt may,1.03,1777440000,STOCK
2025-05-01,THG,Vật liệu,1.01,1743350000,STOCK
2025-05-01,BVB,Ngân hàng,0.99,1699100000,STOCK
2025-05-01,VHM,BĐS,0.98,1676160000,STOCK
2025-05-01,VCI,Chứng khoán,0.96,1656000000,STOCK
2025-05-01,BMP,Xây dựng,0.95,1630300000,STOCK
2025-05-01,SIP,BĐS,0.95,1639540000,STOCK
2025-05-01,MSN,Thực phẩm,0.94,1618200000,STOCK
2025-05-01,GMD,Hạ tầng,0.91,1560780000,STOCK
2025-05-01,VCG,Xây dựng,0.91,1565240000,STOCK
2025-05-01,PAC,Sản xuất,0.9,1539840000,STOCK
2025-05-01,GEG,Điện,0.89,1532475000,STOCK
2025-05-01,VNM,Thực phẩm,0.88,1515240000,STOCK
2025-05-01,HAH,Hạ tầng,0.68,1170000000,STOCK
2025-05-01,IMP,Dược phẩm,0.67,1149200000,STOCK
2025-05-01,CTR,Xây dựng,0.62,1063180000,STOCK
2025-05-01,SHB,Ngân hàng,0.54,932240000,STOCK
2025-05-01,MCH,Bán lẻ,0.37,644002500,STOCK
2025-06-01,MBB,Ngân hàng,5.36,9408202200,STOCK
2025-06-01,TCB,Ngân hàng,4.78,8379000000,STOCK
2025-06-01,ACB,Ngân hàng,4.49,7873907100,STOCK
2025-06-01,STB,Ngân hàng,4.24,7439310000,STOCK
2025-06-01,HPG,Vật liệu,4.11,7218600000,STOCK
2025-06-01,CTG,Ngân hàng,3.98,6980456200,STOCK
2025-06-01,FPT,Công nghệ,3.96,6950160000,STOCK
2025-06-01,VPB,Ngân hàng,3.89,6822800000,STOCK
2025-06-01,REE,Hạ tầng,3.49,6132064500,STOCK
2025-06-01,VCB,Ngân hàng,3.18,5574600000,STOCK
2025-06-01,MWG,Bán lẻ,3.05,5351350000,STOCK
2025-06-01,BVH,Bảo hiểm,2.94,5161320000,STOCK
2025-06-01,NT2,Điện,2.7,4731650000,STOCK
2025-06-01,HDB,Ngân hàng,2.4,4206964000,STOCK
2025-06-01,MSN,Thực phẩm,2.23,3916800000,STOCK
2025-06-01,KDH,BĐS,2.15,3780840000,STOCK
2025-06-01,POW,Điện,2.11,3698500000,STOCK
2025-06-01,VCG,Xây dựng,2.01,3531175200,STOCK
2025-06-01,VND,Chứng khoán,1.62,2846600000,STOCK
2025-06-01,PVS,Dầu khí,1.61,2822820000,STOCK
2025-06-01,BVB,Ngân hàng,1.58,2767330000,STOCK
2025-06-01,MSB,Ngân hàng,1.47,2586000000,STOCK
2025-06-01,NTL,BĐS,1.4,2451560000,STOCK
2025-06-01,VIB,Ngân hàng,1.33,2341869300,STOCK
2025-06-01,QNS,Thực phẩm,1.32,2313360000,STOCK
2025-06-01,CTD,Xây dựng,1.31,2299950000,STOCK
2025-06-01,BWE,Tiện ích,1.26,2210495000,STOCK
2025-06-01,PNJ,Bán lẻ,1.26,2218770000,STOCK
2025-06-01,DDV,Vật liệu,1.14,2002710000,STOCK
2025-06-01,THG,Vật liệu,1.14,2007636000,STOCK
2025-06-01,TV2,Xây dựng,1.14,1992340000,STOCK
2025-06-01,VLB,Vật liệu,1.06,1853220000,STOCK
2025-06-01,TCM,Dệt may,1.05,1844623000,STOCK
2025-06-01,OCB,Ngân hàng,1.0,1746810000,STOCK
2025-06-01,TOS,Dầu khí,0.99,1743000000,STOCK
2025-06-01,BMP,Xây dựng,0.95,1669570000,STOCK
2025-06-01,VCI,Chứng khoán,0.94,1644500000,STOCK
2025-06-01,TCH,Ô tô,0.92,1620000000,STOCK
2025-06-01,VNM,Thực phẩm,0.91,1600800000,STOCK
2025-06-01,HCM,Chứng khoán,0.78,1363180000,STOCK
2025-06-01,DGC,Vật liệu,0.56,976320000,STOCK
2025-06-01,SHB,Ngân hàng,0.51,887520000,STOCK
2025-06-01,FRT,Bán lẻ,0.47,824320000,STOCK
2025-06-01,VHM,BĐS,0.47,828360000,STOCK
2025-06-01,PAC,Sản xuất,0.27,481200000,STOCK
2025-07-01,MBB,Ngân hàng,5.2,10009889550,STOCK
2025-07-01,VPB,Ngân hàng,4.94,9515040000,STOCK
2025-07-01,ACB,Ngân hàng,4.42,8502341000,STOCK
2025-07-01,TCB,Ngân hàng,4.33,8330000000,STOCK
2025-07-01,STB,Ngân hàng,4.13,7957035000,STOCK
2025-07-01,HPG,Vật liệu,4.12,7934100000,STOCK
2025-07-01,CTG,Ngân hàng,3.97,7646848200,STOCK
2025-07-01,FPT,Công nghệ,3.65,7032480000,STOCK
2025-07-01,NT2,Điện,3.08,5934760000,STOCK
2025-07-01,VCB,Ngân hàng,3.06,5887560000,STOCK
2025-07-01,MSN,Thực phẩm,2.85,5488250000,STOCK
2025-07-01,MWG,Bán lẻ,2.77,5335010000,STOCK
2025-07-01,REE,Hạ tầng,2.66,5119886000,STOCK
2025-07-01,VCG,Xây dựng,2.15,4147729600,STOCK
2025-07-01,POW,Điện,2.13,4096800000,STOCK
2025-07-01,KDH,BĐS,2.01,3876004000,STOCK
2025-07-01,PNJ,Bán lẻ,1.85,3570120000,STOCK
2025-07-01,DGC,Vật liệu,1.83,3529470000,STOCK
2025-07-01,VNM,Thực phẩm,1.83,3525120000,STOCK
2025-07-01,HDB,Ngân hàng,1.77,3403586000,STOCK
2025-07-01,DDV,Vật liệu,1.66,3191540000,STOCK
2025-07-01,BVH,Bảo hiểm,1.57,3028875000,STOCK
2025-07-01,MSB,Ngân hàng,1.55,2973900000,STOCK
2025-07-01,PVS,Dầu khí,1.53,2942940000,STOCK
2025-07-01,VIB,Ngân hàng,1.47,2830188400,STOCK
2025-07-01,DHC,Vật liệu,1.36,2610675000,STOCK
2025-07-01,NTL,BĐS,1.36,2611880000,STOCK
2025-07-01,SSI,Chứng khoán,1.1,2113560000,STOCK
2025-07-01,HT1,Vật liệu,1.02,1965280000,STOCK
2025-07-01,THG,Vật liệu,1.0,1933800000,STOCK
2025-07-01,DPM,Vật liệu,0.99,1906500000,STOCK
2025-07-01,TCM,Dệt may,0.99,1905722500,STOCK
2025-07-01,TOS,Dầu khí,0.99,1909950000,STOCK
2025-07-01,BID,Ngân hàng,0.98,1888715000,STOCK
2025-07-01,VEA,Sản xuất,0.96,1849890000,STOCK
2025-07-01,VND,Chứng khoán,0.92,1766060000,STOCK
2025-07-01,BMP,Xây dựng,0.87,1674330000,STOCK
2025-07-01,DBC,Thực phẩm,0.8,1548960000,STOCK
2025-07-01,FRT,Bán lẻ,0.77,1488987500,STOCK
2025-07-01,SHB,Ngân hàng,0.59,1142080000,STOCK
2025-07-01,VHM,BĐS,0.51,972000000,STOCK
2025-07-01,BVB,Ngân hàng,0.5,967020000,STOCK
2025-07-01,OCB,Ngân hàng,0.5,963895000,STOCK
2025-07-01,VLB,Vật liệu,0.48,922590000,STOCK
2025-07-01,PAC,Sản xuất,0.31,605510000,STOCK
2025-08-01,MBB,Ngân hàng,6.28,13357434750,STOCK
2025-08-01,ACB,Ngân hàng,4.83,10276742600,STOCK
2025-08-01,TCB,Ngân hàng,4.56,9702000000,STOCK
2025-08-01,STB,Ngân hàng,4.16,8857080000,STOCK
2025-08-01,VCB,Ngân hàng,4.12,8767080000,STOCK
2025-08-01,HPG,Vật liệu,4.11,8745000000,STOCK
2025-08-01,CTG,Ngân hàng,4.02,8546477400,STOCK
2025-08-01,VPB,Ngân hàng,3.93,8368500000,STOCK
2025-08-01,NT2,Điện,3.08,6551740000,STOCK
2025-08-01,MWG,Bán lẻ,2.99,6372600000,STOCK
2025-08-01,MSN,Thực phẩm,2.95,6283100000,STOCK
2025-08-01,KDH,BĐS,2.43,5163290000,STOCK
2025-08-01,FPT,Công nghệ,2.25,4785360000,STOCK
2025-08-01,POW,Điện,2.2,4680025000,STOCK
2025-08-01,HDB,Ngân hàng,2.02,4304346000,STOCK
2025-08-01,PNJ,Bán lẻ,1.93,4117360000,STOCK
2025-08-01,DBC,Thực phẩm,1.92,4094373750,STOCK
2025-08-01,VCG,Xây dựng,1.91,4067657600,STOCK
2025-08-01,MSB,Ngân hàng,1.79,3814350000,STOCK
2025-08-01,HT1,Vật liệu,1.7,3614010000,STOCK
2025-08-01,VNM,Thực phẩm,1.63,3473280000,STOCK
2025-08-01,DGC,Vật liệu,1.58,3368260000,STOCK
2025-08-01,VIB,Ngân hàng,1.55,3297023600,STOCK
2025-08-01,PAN,Thực phẩm,1.54,3270280000,STOCK
2025-08-01,REE,Hạ tầng,1.46,3106454000,STOCK
2025-08-01,DDV,Vật liệu,1.42,3015320000,STOCK
2025-08-01,PVS,Dầu khí,1.37,2908620000,STOCK
2025-08-01,BVH,Bảo hiểm,1.28,2727070000,STOCK
2025-08-01,ANV,Thực phẩm,1.24,2644410000,STOCK
2025-08-01,DHC,Vật liệu,1.24,2640390000,STOCK
2025-08-01,SSI,Chứng khoán,1.23,2607960000,STOCK
2025-08-01,DPM,Vật liệu,1.01,2157146400,STOCK
2025-08-01,BID,Ngân hàng,1.0,2138215000,STOCK
2025-08-01,VND,Chứng khoán,0.96,2050030000,STOCK
2025-08-01,TOS,Dầu khí,0.9,1920366000,STOCK
2025-08-01,VEA,Sản xuất,0.89,1898190000,STOCK
2025-08-01,THG,Vật liệu,0.88,1881060000,STOCK
2025-08-01,IJC,BĐS,0.84,1788000000,STOCK
2025-08-01,PDR,BĐS,0.84,1784981400,STOCK
2025-08-01,PVD,Dầu khí,0.6,1286520000,STOCK
2025-08-01,VHM,BĐS,0.53,1128600000,STOCK
2025-08-01,BMI,Bảo hiểm,0.49,1049750000,STOCK
2025-08-01,FRT,Bán lẻ,0.12,251405000,STOCK
2025-08-01,SHB,Ngân hàng,0.08,162281600,STOCK
2025-08-01,OCB,Ngân hàng,0.04,80043600,STOCK
2025-09-01,MBB,Ngân hàng,6.15,12611343800,STOCK
2025-09-01,ACB,Ngân hàng,4.6,9426508500,STOCK
2025-09-01,TCB,Ngân hàng,4.52,9273250000,STOCK
2025-09-01,STB,Ngân hàng,4.42,9064170000,STOCK
2025-09-01,HPG,Vật liệu,4.37,8951700000,STOCK
2025-09-01,CTG,Ngân hàng,4.13,8463178400,STOCK
2025-09-01,VCB,Ngân hàng,3.87,7923600000,STOCK
2025-09-01,VPB,Ngân hàng,3.63,7436010000,STOCK
2025-09-01,NT2,Điện,3.35,6874920000,STOCK
2025-09-01,MWG,Bán lẻ,3.1,6348090000,STOCK
2025-09-01,MSN,Thực phẩm,2.99,6131700000,STOCK
2025-09-01,PAN,Thực phẩm,2.8,5729480000,STOCK
2025-09-01,KDH,BĐS,2.33,4781348000,STOCK
2025-09-01,VCG,Xây dựng,2.16,4435988800,STOCK
2025-09-01,FPT,Công nghệ,2.14,4380300000,STOCK
2025-09-01,HT1,Vật liệu,2.14,4380480000,STOCK
2025-09-01,PNJ,Bán lẻ,1.95,3997110000,STOCK
2025-09-01,NLG,BĐS,1.9,3891360000,STOCK
2025-09-01,VNM,Thực phẩm,1.69,3456000000,STOCK
2025-09-01,MSB,Ngân hàng,1.66,3400590000,STOCK
2025-09-01,REE,Hạ tầng,1.52,3120747500,STOCK
2025-09-01,DDV,Vật liệu,1.51,3093640000,STOCK
2025-09-01,VEA,Sản xuất,1.48,3026100000,STOCK
2025-09-01,BID,Ngân hàng,1.46,2984000000,STOCK
2025-09-01,DHC,Vật liệu,1.45,2963010000,STOCK
2025-09-01,VIB,Ngân hàng,1.42,2903131400,STOCK
2025-09-01,ANV,Thực phẩm,1.37,2809990000,STOCK
2025-09-01,PVS,Dầu khí,1.37,2814240000,STOCK
2025-09-01,IJC,BĐS,1.36,2795850000,STOCK
2025-09-01,BVH,Bảo hiểm,1.25,2560390000,STOCK
2025-09-01,SSI,Chứng khoán,1.16,2382390000,STOCK
2025-09-01,HDB,Ngân hàng,1.05,2160080000,STOCK
2025-09-01,BMI,Bảo hiểm,1.03,2108425000,STOCK
2025-09-01,TLG,Dịch vụ,1.03,2108000000,STOCK
2025-09-01,DPM,Vật liệu,0.99,2027879200,STOCK
2025-09-01,TOS,Dầu khí,0.89,1816727200,STOCK
2025-09-01,THG,Vật liệu,0.87,1775580000,STOCK
2025-09-01,VND,Chứng khoán,0.85,1746610000,STOCK
2025-09-01,PDR,BĐS,0.83,1705002600,STOCK
2025-09-01,PVD,Dầu khí,0.65,1331820000,STOCK
2025-09-01,VHM,BĐS,0.54,1112400000,STOCK
2025-09-01,HCM,Chứng khoán,0.41,850395000,STOCK
2025-09-01,SHB,Ngân hàng,0.07,145880800,STOCK
2025-09-01,OCB,Ngân hàng,0.04,74179600,STOCK
2025-10-01,MBB,Ngân hàng,4.85,9788076400,STOCK
2025-10-01,ACB,Ngân hàng,4.67,9426508500,STOCK
