date,industry,weight_pct
2025-02-01,Ngân hàng,37.83
2025-02-01,BĐS,11.11
2025-02-01,Bán lẻ,7.0
2025-02-01,Hạ tầng,5.4
2025-02-01,Công nghệ,5.23
2025-02-01,Vật liệu,5.23
2025-02-01,Xây dựng,3.95
2025-02-01,Thực phẩm,3.92
2025-02-01,Dầu khí,2.9000000000000004
2025-02-01,Ô tô,2.4299999999999997
2025-02-01,Chứng khoán,2.04
2025-02-01,Điện,0.93
2025-03-01,Ngân hàng,37.47
2025-03-01,BĐS,10.36
2025-03-01,Thực phẩm,6.4399999999999995
2025-03-01,Điện,5.99
2025-03-01,Vật liệu,4.93
2025-03-01,Công nghệ,4.07
2025-03-01,Ô tô,3.73
2025-03-01,Hạ tầng,3.3000000000000003
2025-03-01,Bán lẻ,2.7
2025-03-01,Xây dựng,2.38
2025-03-01,Bảo hiểm,1.94
2025-03-01,Dược phẩm,1.16
2025-03-01,Chứng khoán,1.05
2025-03-01,Vận tải,0.95
2025-04-01,Ngân hàng,38.679999999999986
2025-04-01,Điện,6.66
2025-04-01,Hạ tầng,6.6
2025-04-01,Vật liệu,6.390000000000001
2025-04-01,Công nghệ,4.1000000000000005
2025-04-01,Xây dựng,4.09
2025-04-01,Bán lẻ,3.52
2025-04-01,Thực phẩm,3.41
2025-04-01,Bảo hiểm,2.8
2025-04-01,Sản xuất,2.14
2025-04-01,Chứng khoán,2.1
2025-04-01,BĐS,1.8800000000000001
2025-04-01,Ô tô,1.45
2025-04-01,Tiện ích,1.41
2025-04-01,Dầu khí,1.38
2025-04-01,Dược phẩm,1.11
2025-05-01,Ngân hàng,37.78000000000001
2025-05-01,Vật liệu,7.09
2025-05-01,Xây dựng,5.44
2025-05-01,Điện,5.249999999999999
2025-05-01,Bán lẻ,5.1000000000000005
2025-05-01,Hạ tầng,4.859999999999999
2025-05-01,Công nghệ,3.99
2025-05-01,Thực phẩm,3.17
2025-05-01,BĐS,3.0599999999999996
2025-05-01,Bảo hiểm,2.86
2025-05-01,Chứng khoán,2.4699999999999998
2025-05-01,Ô tô,1.56
2025-05-01,Dầu khí,1.37
2025-05-01,Tiện ích,1.35
2025-05-01,Dệt may,1.03
2025-05-01,Sản xuất,0.9
2025-05-01,Dược phẩm,0.67
2025-06-01,Ngân hàng,38.209999999999994
2025-06-01,Vật liệu,8.01
2025-06-01,Xây dựng,5.41
2025-06-01,Điện,4.8100000000000005
2025-06-01,Bán lẻ,4.779999999999999
2025-06-01,Thực phẩm,4.46
2025-06-01,BĐS,4.02
2025-06-01,Công nghệ,3.96
2025-06-01,Hạ tầng,3.49
2025-06-01,Chứng khoán,3.34
2025-06-01,Bảo hiểm,2.94
2025-06-01,Dầu khí,2.6
2025-06-01,Tiện ích,1.26
2025-06-01,Dệt may,1.05
2025-06-01,Ô tô,0.92
2025-06-01,Sản xuất,0.27
2025-07-01,Ngân hàng,37.41
2025-07-01,Vật liệu,12.46
2025-07-01,Thực phẩm,5.4799999999999995
2025-07-01,Bán lẻ,5.390000000000001
2025-07-01,Điện,5.21
2025-07-01,BĐS,3.88
2025-07-01,Công nghệ,3.65
2025-07-01,Xây dựng,3.02
2025-07-01,Hạ tầng,2.66
2025-07-01,Dầu khí,2.52
2025-07-01,Chứng khoán,2.02
2025-07-01,Bảo hiểm,1.57
2025-07-01,Sản xuất,1.27
2025-07-01,Dệt may,0.99
2025-08-01,Ngân hàng,38.379999999999995
2025-08-01,Vật liệu,11.940000000000001
2025-08-01,Thực phẩm,9.28
2025-08-01,Điện,5.28
2025-08-01,Bán lẻ,5.04
2025-08-01,BĐS,4.640000000000001
2025-08-01,Dầu khí,2.87
2025-08-01,Công nghệ,2.25
2025-08-01,Chứng khoán,2.19
2025-08-01,Xây dựng,1.91
2025-08-01,Bảo hiểm,1.77
2025-08-01,Hạ tầng,1.46
2025-08-01,Sản xuất,0.89
2025-09-01,Ngân hàng,37.019999999999996
2025-09-01,Vật liệu,11.329999999999998
2025-09-01,Thực phẩm,8.850000000000001
2025-09-01,BĐS,6.960000000000001
2025-09-01,Bán lẻ,5.05
2025-09-01,Điện,3.35
2025-09-01,Dầu khí,2.91
2025-09-01,Chứng khoán,2.42
2025-09-01,Bảo hiểm,2.2800000000000002
2025-09-01,Xây dựng,2.16
2025-09-01,Công nghệ,2.14
2025-09-01,Hạ tầng,1.52
2025-09-01,Sản xuất,1.48
2025-09-01,Dịch vụ,1.03
2025-10-01,Ngân hàng,35.49
2025-10-01,Vật liệu,11.149999999999999
2025-10-01,BĐS,9.39
2025-10-01,Bán lẻ,7.42
2025-10-01,Thực phẩm,6.550000000000001
2025-10-01,Điện,3.5
2025-10-01,Hạ tầng,3.03
2025-10-01,Công nghệ,2.43
2025-10-01,Xây dựng,2.07
2025-10-01,Dịch vụ,2.0
2025-10-01,Bảo hiểm,1.6400000000000001
2025-10-01,Sản xuất,1.57
2025-10-01,Chứng khoán,1.42
2025-10-01,Dầu khí,1.1
2025-11-01,Ngân hàng,33.95
2025-11-01,BĐS,9.760000000000002
2025-11-01,Vật liệu,9.07
2025-11-01,Bán lẻ,8.26
2025-11-01,Thực phẩm,6.840000000000001
2025-11-01,Hạ tầng,4.13
2025-11-01,Điện,3.48
2025-11-01,Dầu khí,2.69
2025-11-01,Công nghệ,2.32
2025-11-01,Dịch vụ,2.13
2025-11-01,Bảo hiểm,1.6600000000000001
2025-11-01,Xây dựng,1.62
2025-11-01,Sản xuất,1.39
2025-11-01,Chứng khoán,1.03
2025-12-01,Ngân hàng,35.82
2025-12-01,Bán lẻ,7.84
2025-12-01,Thực phẩm,7.68
2025-12-01,Hạ tầng,6.36
2025-12-01,Vật liệu,5.99
2025-12-01,BĐS,4.48
2025-12-01,Công nghệ,4.16
2025-12-01,Dầu khí,3.79
2025-12-01,Điện,3.58
2025-12-01,Bảo hiểm,3.34
2025-12-01,Dịch vụ,2.07
2025-12-01,Xây dựng,1.49
2025-12-01,Sản xuất,1.32
2026-01-01,Ngân hàng,35.11000000000001
2026-01-01,Thực phẩm,8.17
2026-01-01,Bán lẻ,6.76
2026-01-01,Hạ tầng,6.6
2026-01-01,Vật liệu,6.39
2026-01-01,Công nghệ,5.07
2026-01-01,Dầu khí,4.300000000000001
2026-01-01,Điện,4.27
2026-01-01,BĐS,3.63
2026-01-01,Dịch vụ,2.06
2026-01-01,Ô tô,1.96
2026-01-01,Bảo hiểm,1.77
2026-01-01,Logistics,1.22
2026-01-01,Chứng khoán,1.1600000000000001
2026-01-01,Xây dựng,0.72
2026-02-01,Ngân hàng,34.57
2026-02-01,Thực phẩm,9.79
2026-02-01,Vật liệu,7.15
2026-02-01,Bán lẻ,6.5600000000000005
2026-02-01,BĐS,6.22
2026-02-01,Hạ tầng,5.34
2026-02-01,Điện,5.21
2026-02-01,Dầu khí,4.08
2026-02-01,Bảo hiểm,2.6799999999999997
2026-02-01,Ô tô,1.99
2026-02-01,Xây dựng,1.9000000000000001
2026-02-01,Công nghệ,1.74
2026-02-01,Dịch vụ,1.48
2026-02-01,Logistics,0.98
2026-02-01,Chứng khoán,0.66
2026-03-01,Ngân hàng,32.68
2026-03-01,Vật liệu,10.01
2026-03-01,Thực phẩm,9.07
2026-03-01,Hạ tầng,5.41
2026-03-01,Bán lẻ,5.24
2026-03-01,BĐS,4.279999999999999
2026-03-01,Dầu khí,3.63
2026-03-01,Điện,3.62
2026-03-01,Xây dựng,3.3
2026-03-01,Bảo hiểm,2.62
2026-03-01,Ô tô,2.01
2026-03-01,Công nghệ,1.52
2026-03-01,Sản xuất,1.47
2026-03-01,Dịch vụ,1.42
2026-03-01,Dệt may,1.09
2026-04-01,Ngân hàng,33.370000000000005
2026-04-01,Thực phẩm,10.37
2026-04-01,Vật liệu,9.95
2026-04-01,Bán lẻ,5.83
2026-04-01,BĐS,5.82
2026-04-01,Dầu khí,5.119999999999999
2026-04-01,Ô tô,3.0300000000000002
2026-04-01,Xây dựng,2.79
2026-04-01,Dệt may,2.5
2026-04-01,Hạ tầng,2.01
2026-04-01,Công nghệ,1.55
2026-04-01,Điện,1.51
2026-04-01,Bảo hiểm,1.19
2026-04-01,Dịch vụ,0.99
2026-04-01,Chứng khoán,0.95
2026-04-01,Logistics,0.52
2026-05-01,Ngân hàng,37.650000000000006
2026-05-01,Thực phẩm,10.799999999999999
2026-05-01,Vật liệu,9.469999999999999
2026-05-01,BĐS,7.11
2026-05-01,Dầu khí,6.340000000000001
2026-05-01,Ô tô,4.33
2026-05-01,Bán lẻ,4.29
2026-05-01,Hạ tầng,2.68
2026-05-01,Công nghệ,1.58
2026-05-01,Dệt may,1.57
2026-05-01,Điện,1.25
2026-05-01,Bảo hiểm,1.23
2026-05-01,Dịch vụ,1.04
2026-05-01,Chứng khoán,0.96
2026-05-01,Logistics,0.51
2026-05-01,Xây dựng,0.12
2026-06-01,Ngân hàng,34.67
2026-06-01,Thực phẩm,9.89
2026-06-01,Vật liệu,8.09
2026-06-01,BĐS,6.859999999999999
2026-06-01,Dầu khí,5.61
2026-06-01,Bán lẻ,4.63
2026-06-01,Ô tô,3.8499999999999996
2026-06-01,Hạ tầng,2.01
2026-06-01,Công nghệ,1.47
2026-06-01,Dệt may,1.47
2026-06-01,Điện,1.28
2026-06-01,Bảo hiểm,1.12
2026-06-01,Dịch vụ,0.99
2026-06-01,Chứng khoán,0.9
2026-06-01,Logistics,0.5
2026-06-01,Xây dựng,0.11
2026-07-01,Ngân hàng,33.6
2026-07-01,Thực phẩm,10.350000000000001
2026-07-01,Vật liệu,8.92
2026-07-01,BĐS,5.93
2026-07-01,Dầu khí,5.37
2026-07-01,Bán lẻ,4.18
2026-07-01,Ô tô,2.46
2026-07-01,Hạ tầng,2.3
2026-07-01,Chứng khoán,2.0300000000000002
2026-07-01,Công nghệ,1.54
2026-07-01,Điện,1.29
2026-07-01,Bảo hiểm,1.14
2026-07-01,Dịch vụ,1.06
2026-07-01,Logistics,0.56
