date,price
2020-02-07,10000
2020-02-19,9996.93
2020-02-26,9993.02
2020-02-29,9994.22
2020-03-04,9990.6
2020-03-11,10008.9
2020-03-18,10016.49
2020-03-25,10023.27
2020-03-31,10035.57
2020-04-07,10055.07
2020-04-14,10073.55
2020-04-22,10086.45
2020-04-29,10100.8
2020-04-30,10103.34
2020-05-06,10106.43
2020-05-13,10130.47
2020-05-20,10142.36
2020-05-27,10158.39
2020-05-31,10165.91
2020-06-03,10180.7
2020-06-10,10181.19
2020-06-17,10199.42
2020-06-24,10222.28
2020-06-30,10231.99
2020-07-01,10231.99
2020-07-08,10249.91
2020-07-15,10266.79
2020-07-22,10273.8
2020-07-29,10301.2
2020-07-31,10289.6
2020-08-05,10302.51
2020-08-12,10322.08
2020-08-19,10332.13
2020-08-26,10345.48
2020-08-31,10353.98
2020-09-03,10360.73
2020-09-09,10373.62
2020-09-16,10381.85
2020-09-23,10386.77
2020-09-29,10400.97
2020-09-30,10401.17
2020-10-07,10412.09
2020-10-14,10434.48
2020-10-21,10457.6
2020-10-28,10469.45
2020-10-31,10463.18
2020-11-04,10474.14
2020-11-11,10496.71
2020-11-18,10513.64
2020-11-25,10511.02
2020-11-30,10534.89
2020-12-02,10562.97
2020-12-09,10580.01
2020-12-16,10605.88
2020-12-23,10642.93
2020-12-30,10668.28
2020-12-31,10679.48
2021-01-06,10709.62
2021-01-13,10775.37
2021-01-20,10768.53
2021-01-27,10791.3
2021-01-31,10793.49
2021-02-03,10787.47
2021-02-10,10807.86
2021-02-17,10820.45
2021-02-24,10923.55
2021-02-28,10944.34
2021-03-03,10938.17
2021-03-10,10944.83
2021-03-17,10956.26
2021-03-24,10958.84
2021-03-30,10981.51
2021-03-31,10967.74
2021-04-07,10986.65
2021-04-14,11001.88
2021-04-22,11016.63
2021-04-28,11014.92
2021-04-30,11019.93
2021-05-05,11032.54
2021-05-12,11039.61
2021-05-19,11044.52
2021-05-26,11050.77
2021-05-31,11044.2
2021-06-02,11049.51
2021-06-08,11087.93
2021-06-10,11092.18
2021-06-15,11098.79
2021-06-17,11087.29
2021-06-22,11102.4
2021-06-24,11109.48
2021-06-29,11116.27
2021-06-30,11116.5
2021-07-06,11116.59
2021-07-08,11104.77
2021-07-13,11127.12
2021-07-15,11135.21
2021-07-20,11143.82
2021-07-22,11149.56
2021-07-27,11158.17
2021-07-29,11160.73
2021-07-31,11165.1
2021-08-03,11165.82
2021-08-05,11160.82
2021-08-10,11157.28
2021-08-12,11166.22
2021-08-17,11179.34
2021-08-19,11194.47
2021-08-24,11202.02
2021-08-26,11205.18
2021-08-30,11218.77
2021-08-31,11204.6
2021-09-02,11226.85
2021-09-07,11231.42
2021-09-09,11219.12
2021-09-14,11238.47
2021-09-16,11264.11
2021-09-21,11268.31
2021-09-23,11280.95
2021-09-28,11254.88
2021-09-30,11279.66
2021-10-01,11282.91
2021-10-05,11308.67
2021-10-07,11318.83
2021-10-12,11346.71
2021-10-14,11346.34
2021-10-19,11360.16
2021-10-28,11365.39
2021-11-02,11366.04
2021-11-04,11368.24
2021-11-09,11389.31
2021-11-11,11370.46
2021-11-16,11397.77
2021-11-18,11399.57
2021-11-23,11342.15
2021-11-25,11396.98
2021-11-30,11409.36
2021-12-02,11405.91
2021-12-07,11399.09
2021-12-09,11405.17
2021-12-14,11422.11
2021-12-16,11446.12
2021-12-21,11446.79
2021-12-23,11481.91
2021-12-28,11501.62
2021-12-30,11495.85
2022-01-04,11537.34
2022-01-06,11539.89
2022-01-11,11526.22
2022-01-13,11582.51
2022-01-18,11575.94
2022-01-20,11563.22
2022-01-25,11577.3
2022-01-27,11593.03
2022-02-08,11628.31
2022-02-10,11636.07
2022-02-15,11619.3
2022-02-17,11607.2
2022-02-22,11647.63
2022-02-24,11650
2022-03-01,11663.77
2022-03-03,11620.74
2022-03-08,11642.26
2022-03-10,11644.75
2022-03-15,11650.67
2022-03-17,11667.19
2022-03-22,11660.25
2022-03-24,11635.68
2022-03-29,11679.74
2022-03-31,11685.79
2022-04-05,11711.56
2022-04-07,11713.29
2022-04-12,11669.58
2022-04-14,11726.6
2022-04-19,11705.78
2022-04-21,11674.86
2022-04-26,11734.88
2022-04-28,11731.31
2022-05-05,11801.9
2022-05-10,11809.84
2022-05-12,11811.03
2022-05-17,11825.29
2022-05-19,11831.45
2022-05-24,11779.56
2022-05-26,11772.81
2022-05-31,11789.46
2022-06-02,11739.31
2022-06-07,11756.9
2022-06-09,11754.28
2022-06-14,11733.32
2022-06-16,11897.86
2022-06-21,11927.83
2022-06-23,11900.47
2022-06-28,11903.1
2022-06-30,11920.02
2022-07-05,11892.79
2022-07-07,11908.67
2022-07-12,11890.72
2022-07-14,11912.65
2022-07-19,11924.9
2022-07-21,11928.53
2022-07-26,11941.69
2022-07-28,11982.01
2022-08-02,11950.62
2022-08-04,11956.8
2022-08-09,11969.98
2022-08-11,11997.66
2022-08-16,11989.25
2022-08-18,11985.95
2022-08-23,12024.47
2022-08-25,12013.64
2022-08-30,12041.83
2022-09-06,12038.94
2022-09-08,12039.19
2022-09-13,12030.28
2022-09-15,12045.81
2022-09-20,12043.49
2022-09-22,12092.55
2022-09-27,12131.82
2022-09-29,12138.7
2022-10-04,12149.95
2022-10-06,12137.29
2022-10-11,12132.39
