date,price
2017-08-30,10000.01
2017-08-31,10001
2017-09-05,9998.78
2017-09-12,10014.09
2017-09-19,10055.82
2017-09-26,10063.1
2017-09-30,10041.05
2017-10-03,10051.06
2017-10-10,10107.81
2017-10-17,10112.87
2017-10-24,10077.18
2017-10-31,10103.44
2017-10-31,10110.14
2017-11-06,10200.69
2017-11-13,10187.16
2017-11-20,10237.49
2017-11-27,10292.54
2017-11-30,10334.32
2017-12-04,10379.99
2017-12-11,10268.71
2017-12-18,10296.44
2017-12-25,10336.41
2017-12-31,10400.15
2018-01-01,10401.2
2018-01-08,10483.32
2018-01-15,10544.05
2018-01-22,10606.27
2018-01-29,10594.42
2018-01-31,10609.34
2018-02-05,10493.69
2018-02-12,10585.18
2018-02-26,10747.01
2018-02-28,10805.45
2018-03-05,10764.48
2018-03-12,10833.08
2018-03-19,10898.44
2018-03-26,10885.82
2018-03-31,10909.22
2018-04-02,10936.25
2018-04-09,10954.98
2018-04-16,10884.19
2018-04-23,10831.39
2018-04-30,10819.66
2018-05-07,10862.08
2018-05-14,10871.52
2018-05-21,10856.77
2018-05-28,10750.43
2018-05-31,10855.3
2018-06-04,10912.74
2018-06-11,10926.99
2018-06-18,10876.04
2018-06-25,10892.21
2018-06-30,10834.24
2018-07-02,10815.54
2018-07-09,10770.96
2018-07-16,10788.08
2018-07-23,10833.2
2018-07-30,10858.67
2018-07-31,10866.49
2018-08-06,10868.35
2018-08-13,10881.56
2018-08-20,10893.71
2018-08-27,10906.64
2018-08-31,10910.49
2018-09-03,10915.06
2018-09-10,10920.74
2018-09-17,10935.05
2018-09-24,10941.7
2018-09-30,10951.42
2018-10-01,10963.03
2018-10-08,10968.69
2018-10-15,10977.83
2018-10-22,10974.74
2018-10-29,10966.07
2018-10-31,10983.38
2018-11-05,11003
2018-11-12,11005.32
2018-11-19,11020.14
2018-11-26,11019.05
2018-11-30,11026.78
2018-12-03,11038.1
2018-12-10,11045.17
2018-12-12,11050.3
2018-12-13,11060.76
2018-12-16,11068.85
2018-12-17,11067.61
2018-12-18,11064.2
2018-12-19,11063.21
2018-12-20,11069.36
2018-12-23,11078.49
2018-12-24,11085.86
2018-12-26,11079.22
2018-12-27,11081.81
2018-12-28,11088.13
2019-01-02,11117.45
2019-01-03,11118.83
2019-01-04,11109.41
2019-01-07,11116.07
2019-01-08,11123.5
2019-01-09,11126.42
2019-01-10,11129.98
2019-01-11,11133.51
2019-01-14,11132.92
2019-01-15,11140.43
2019-01-16,11138.08
2019-01-17,11137.88
2019-01-18,11144.15
2019-01-21,11145.75
2019-01-22,11156.94
2019-01-23,11158.24
2019-01-24,11157.85
2019-01-25,11161.35
2019-01-28,11165.7
2019-01-29,11167.7
2019-01-30,11170.6
2019-01-31,11171.86
2019-02-01,11169.93
2019-02-11,11186.7
2019-02-12,11186.01
2019-02-13,11185.96
2019-02-14,11189.23
2019-02-15,11190.59
2019-02-18,11194.88
2019-02-19,11196.71
2019-02-20,11198.15
2019-02-21,11200.1
2019-02-22,11196.67
2019-02-25,11206.79
2019-02-26,11208.2
2019-02-27,11214.48
2019-02-28,11244.91
2019-03-01,11237.95
2019-03-04,11246.35
2019-03-05,11245.81
2019-03-06,11264.3
2019-03-07,11268.09
2019-03-08,11268
2019-03-11,11274.75
2019-03-12,11282.61
2019-03-13,11269.18
2019-03-14,11255.6
2019-03-15,11274.12
2019-03-18,11289.44
2019-03-19,11283.68
2019-03-20,11274.89
2019-03-21,11278.58
2019-03-22,11256.3
2019-03-25,11274.25
2019-03-26,11238.74
2019-03-27,11245.02
2019-03-28,11271.07
2019-03-29,11281.44
2019-04-01,11282.88
2019-04-02,11290.96
2019-04-03,11284.66
2019-04-04,11299.41
2019-04-05,11305.89
2019-04-08,11296.7
2019-04-09,11308.84
2019-04-10,11307.39
2019-04-11,11301.08
2019-04-12,11307.59
2019-04-16,11320.99
2019-04-17,11326.4
2019-04-18,11297.03
2019-04-19,11276.97
2019-04-22,11274.06
2019-04-23,11267.04
2019-04-24,11262.97
2019-04-25,11297.04
2019-04-26,11291.41
2019-05-02,11318.13
2019-05-03,11300.32
2019-05-06,11286.25
2019-05-07,11284.05
2019-05-08,11269.82
2019-05-09,11267.18
2019-05-10,11260.9
2019-05-13,11268.42
2019-05-14,11274.96
2019-05-15,11291.33
2019-05-16,11306.98
2019-05-17,11293.51
2019-05-20,11294.14
2019-05-21,11308.68
2019-05-22,11308.16
2019-05-23,11313.53
2019-05-24,11321.66
2019-05-27,11321.84
2019-05-28,11332.63
2019-05-29,11347.86
2019-05-30,11335.68
2019-05-31,11339.36
2019-06-03,11310.69
2019-06-04,11278.71
2019-06-05,11301.98
2019-06-06,11309.85
2019-06-07,11324.89
2019-06-10,11383.84
2019-06-11,11398.55
2019-06-12,11400.41
2019-06-13,11374.52
2019-06-14,11368.96
2019-06-17,11351.84
2019-06-18,11356.33
2019-06-19,11372.69
2019-06-20,11380.14
2019-06-21,11397.06
2019-06-24,11400.98
2019-06-25,11382.03
2019-06-26,11371.57
2019-06-27,11375.32
2019-06-28,11348.44
2019-07-01,11347.88
2019-07-02,11391.02
2019-07-03,11403.55
2019-07-04,11392.1
2019-07-05,11433.21
2019-07-08,11433.56
2019-07-09,11432.04
2019-07-10,11426.78
2019-07-11,11451.51
2019-07-12,11461.76
2019-07-15,11471.84
2019-07-16,11466.85
2019-07-17,11460.16
2019-07-18,11461.04
2019-07-19,11457.05
2019-07-22,11477.07
2019-07-23,11485.93
2019-07-24,11486.36
2019-07-25,11481.6
2019-07-26,11473.64
2019-07-29,11481.09
2019-07-30,11474.3
2019-07-31,11452.09
2019-08-01,11471.2
2019-08-02,11484.01
2019-08-05,11487.27
2019-08-06,11502.98
2019-08-07,11497.22
2019-08-08,11523.04
2019-08-09,11522.41
2019-08-12,11541.86
2019-08-13,11556.25
2019-08-14,11556.27
2019-08-15,11571.18
2019-08-16,11577.63
2019-08-19,11572.99
2019-08-20,11572.55
2019-08-21,11590.67
2019-08-22,11598.39
2019-08-23,11591.62
2019-08-26,11601.77
2019-08-27,11606.82
2019-08-28,11586.5
2019-08-29,11578.03
2019-08-30,11602.26
2019-08-31,11605.38
2019-09-03,11608.6
2019-09-04,11602.11
2019-09-05,11607.34
2019-09-06,11596.28
2019-09-09,11605.34
2019-09-10,11615.57
2019-09-11,11620.07
2019-09-12,11624.62
2019-09-13,11653.89
2019-09-16,11687.27
2019-09-17,11701.83
2019-09-18,11697.56
2019-09-19,11689.91
2019-09-20,11706.63
2019-09-23,11713.1
2019-09-24,11691.52
2019-09-25,11688.45
2019-09-26,11714.34
2019-09-27,11739.98
2019-09-30,11750.29
2019-10-01,11741.6
2019-10-02,11766.81
2019-10-03,11752
2019-10-04,11751.25
2019-10-07,11735.45
2019-10-08,11708.17
2019-10-09,11724.09
2019-10-10,11722.52
2019-10-11,11723.44
2019-10-14,11739.12
2019-10-15,11751.84
2019-10-16,11755.08
