date,price
2025-10-10,10000
2025-10-16,9976.64
2025-10-17,10017.67
2025-10-20,9917.02
2025-10-21,9553.20
2025-10-22,9690.16
2025-10-23,9771.04
2025-10-24,9786.33
2025-10-27,9789.62
2025-10-28,9659.63
2025-10-29,9789.94
2025-10-30,9857.88
2025-10-31,9840.70
2025-11-03,9772.79
2025-11-04,9660.60
2025-11-05,9780.86
2025-11-06,9759.50
2025-11-07,9703.67
2025-11-10,9548.84
2025-11-11,9494.60
2025-11-12,9553.63
2025-11-13,9694.61
2025-11-14,9689.47
2025-11-17,9711.84
2025-11-18,9759.48
2025-11-19,9782.87
2025-11-20,9744.09
2025-11-21,9711.39
2025-11-24,9694.71
2025-11-25,9686.27
2025-11-26,9632.44
2025-11-27,9715.21
2025-11-28,9725.59
2025-12-01,9699.89
2025-12-02,9684.75
2025-12-03,9704.37
2025-12-04,9836.97
2025-12-05,9885.35
2025-12-08,9837.02
2025-12-09,9795.91
2025-12-10,9728.78
2025-12-11,9691.78
2025-12-12,9650.11
2025-12-15,9457.15
2025-12-16,9462.85
2025-12-17,9594.66
2025-12-18,9576.98
2025-12-19,9579.14
2025-12-22,9632.56
2025-12-23,9758.76
2025-12-24,9807.05
2025-12-25,9835.10
2025-12-26,9741.63
2025-12-29,9734.20
2025-12-30,9796.43
2025-12-31,9828.02
2026-01-05,9853.42
2026-01-06,9861.94
2026-01-07,9926.73
2026-01-08,10020.46
2026-01-09,9979.39
2026-01-12,9990.44
2026-01-13,10105.18
2026-01-14,10139.22
2026-01-15,10102.39
2026-01-16,10064.43
2026-01-19,10119.90
2026-01-20,10157.42
2026-01-21,10124.38
2026-01-22,10107.61
2026-01-23,10135.50
2026-01-26,10071.27
2026-01-27,9956.59
2026-01-28,9987.29
2026-01-29,10005.33
2026-01-30,10087.24
2026-02-02,10189.77
2026-02-03,10174.62
2026-02-04,10215.24
2026-02-05,10222.57
2026-02-06,10106.15
2026-02-09,9940.21
2026-02-10,9977.49
2026-02-11,9946.31
2026-02-12,10097.09
2026-02-13,10129.82
2026-02-23,10146.70
2026-02-24,10204.46
2026-02-25,10222.14
2026-02-26,10238.22
2026-02-27,10272.33
2026-03-02,10254.82
2026-03-03,10160.17
2026-03-04,10066.39
2026-03-05,10038.67
2026-03-06,9940.69
2026-03-09,9836.52
2026-03-10,9409.03
2026-03-11,9637.08
2026-03-12,9836.60
2026-03-13,9772.43
2026-03-16,9736.85
2026-03-17,9751.76
2026-03-18,9793.39
2026-03-19,9785.03
2026-03-20,9761.91
2026-03-23,9660.36
2026-03-24,9457.76
2026-03-25,9614.82
2026-03-26,9772.15
2026-03-27,9718.39
2026-03-30,9830.39
2026-03-31,9780.26
2026-04-01,9827.48
2026-04-02,9870
2026-04-03,9818.67
2026-04-06,9709.14
2026-04-07,9639.26
2026-04-08,9642.35
2026-04-09,9935.57
2026-04-10,9909.98
2026-04-13,9922.76
2026-04-14,9898.32
2026-04-15,9940.72
2026-04-16,9912.70
2026-04-17,9909.15
2026-04-20,9962.62
2026-04-21,10028.68
2026-04-22,9977.24
2026-04-23,9965.54
2026-04-24,9952.82
2026-04-28,9919.65
2026-04-29,9938.76
2026-05-04,9904.62
2026-05-05,9905.77
2026-05-06,9938.37
2026-05-07,9996.89
2026-05-08,10057.74
2026-05-11,10047.78
2026-05-12,9964.63
2026-05-13,9990.06
2026-05-14,9950.71
2026-05-15,10046.99
2026-05-18,9998.23
2026-05-19,9937.50
2026-05-20,9898.63
2026-05-21,9890.40
2026-05-22,9868.06
2026-05-25,9819.58
2026-05-26,9855.90
2026-05-27,9872.16
2026-05-28,9857.07
2026-05-29,9826.05
2026-06-01,9802.36
2026-06-02,9771.24
2026-06-03,9699.64
2026-06-04,9702.56
2026-06-05,9728.18
2026-06-08,9733.96
2026-06-09,9597.37
2026-06-10,9623.04
2026-06-11,9654.53
2026-06-12,9623.59
2026-06-15,9598.78
2026-06-16,9671.59
2026-06-17,9705.31
2026-06-18,9699.53
2026-06-19,9725.38
2026-06-22,9708.41
2026-06-23,9758.17
2026-06-24,9763.75
2026-06-25,9778.77
2026-06-26,9744.52
2026-06-29,9775.70
2026-06-30,9782.82
2026-07-01,9781.89
2026-07-02,9812.21
2026-07-03,9810.53
2026-07-06,9760.04
2026-07-07,9688.31
2026-07-08,9679.82
2026-07-09,9684.89
2026-07-10,9640.17
2026-07-13,9584.46
2026-07-14,9507.73
2026-07-15,9521.88
2026-07-16,9436.07
2026-07-17,9486.66
2026-07-20,9459.83
2026-07-21,9290.26
2026-07-22,9281.38
2026-07-23,9116.73
2026-07-24,9165.88
2026-07-27,9120.01
2026-07-28,9044.17
2026-07-29,9100.87
2026-07-30,9175.66
2026-07-31,9308.42
2026-08-03,9306.80
2026-08-04,9422.49
2026-08-05,9471.25
2026-08-06,9444.41
2026-08-07,9402.98
2026-08-10,9411.03
2026-08-11,9465.88
2026-08-12,9454.18
2026-08-13,9494.25
2026-08-14,9429.52
2026-08-17,9355.72
2026-08-18,9357.15
2026-08-19,9349.46
2026-08-20,9344.98
2026-08-21,9357.05
2026-08-24,9469.53
2026-08-25,9510.21
2026-08-26,9494.94
2026-08-27,9583.34
2026-08-28,9611.38
