date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,FPT,Công nghệ,9.43,80680216500,STOCK
2025-02-01,ACB,Ngân hàng,8.84,75616944000,STOCK
2025-02-01,CTG,Ngân hàng,6.06,51833251000,STOCK
2025-02-01,VCB,Ngân hàng,5.65,48301410000,STOCK
2025-02-01,HPG,Vật liệu,5.1,43644776000,STOCK
2025-02-01,TCB,Ngân hàng,4.77,40802130000,STOCK
2025-02-01,MBB,Ngân hàng,4.31,36909664000,STOCK
2025-02-01,MWG,Bán lẻ,4.24,36239280000,STOCK
2025-02-01,QNS,Thực phẩm,3.97,33939360000,STOCK
2025-02-01,STB,Ngân hàng,3.62,30967200000,STOCK
2025-02-01,REE,Hạ tầng,3.51,29995320000,STOCK
2025-02-01,SZC,BĐS,3.27,27966480000,STOCK
2025-02-01,LHG,BĐS,3.11,26585860000,STOCK
2025-02-01,GMD,Hạ tầng,2.89,24733186200,STOCK
2025-02-01,VEA,Sản xuất,2.83,24212240000,STOCK
2025-02-01,IJC,BĐS,2.68,22953320000,STOCK
2025-02-01,BWE,Tiện ích,2.66,22743540000,STOCK
2025-02-01,KDH,BĐS,2.65,22674475000,STOCK
2025-02-01,PVD,Dầu khí,2.47,21151350000,STOCK
2025-02-01,NLG,BĐS,2.42,20667736400,STOCK
2025-02-01,DPR,Ô tô,2.3,19637820000,STOCK
2025-02-01,NTC,BĐS,2.3,19640700000,STOCK
2025-02-01,PNJ,Bán lẻ,2.03,17380600000,STOCK
2025-02-01,BID,Ngân hàng,1.48,12641265000,STOCK
2025-02-01,VCI,Chứng khoán,1.21,10377315000,STOCK
2025-02-01,PHR,Ô tô,1.18,10119910000,STOCK
2025-02-01,MSH,Dệt may,0.6,5136940000,STOCK
2025-03-01,ACB,Ngân hàng,7.87,68856944000,STOCK
2025-03-01,FPT,Công nghệ,7.18,62829855000,STOCK
2025-03-01,CTG,Ngân hàng,6.82,59687751300,STOCK
2025-03-01,TCB,Ngân hàng,5.94,51980500000,STOCK
2025-03-01,HPG,Vật liệu,5.27,46056598500,STOCK
2025-03-01,VCB,Ngân hàng,4.98,43581504000,STOCK
2025-03-01,MBB,Ngân hàng,4.7,41084908800,STOCK
2025-03-01,MWG,Bán lẻ,4.19,36674400000,STOCK
2025-03-01,PHR,Ô tô,3.67,32061450000,STOCK
2025-03-01,QNS,Thực phẩm,3.66,32053840000,STOCK
2025-03-01,STB,Ngân hàng,3.54,31007680000,STOCK
2025-03-01,REE,Hạ tầng,3.38,29581020000,STOCK
2025-03-01,SZC,BĐS,3.1,27111950000,STOCK
2025-03-01,NLG,BĐS,3.01,26290711000,STOCK
2025-03-01,VEA,Sản xuất,2.95,25824240000,STOCK
2025-03-01,LHG,BĐS,2.83,24794360000,STOCK
2025-03-01,GMD,Hạ tầng,2.81,24579295000,STOCK
2025-03-01,IJC,BĐS,2.67,23391265000,STOCK
2025-03-01,KDH,BĐS,2.52,22065310000,STOCK
2025-03-01,BWE,Tiện ích,2.51,21985422000,STOCK
2025-03-01,NTC,BĐS,2.19,19182000000,STOCK
2025-03-01,DPR,Ô tô,1.9,16652895000,STOCK
2025-03-01,PNJ,Bán lẻ,1.76,15402170000,STOCK
2025-03-01,BID,Ngân hàng,1.37,11962125000,STOCK
2025-03-01,VCI,Chứng khoán,1.25,10904010000,STOCK
2025-03-01,PVD,Dầu khí,0.96,8382000000,STOCK
2025-04-01,ACB,Ngân hàng,7.88,65126053200,STOCK
2025-04-01,TCB,Ngân hàng,6.77,55963770000,STOCK
2025-04-01,CTG,Ngân hàng,6.63,54832576800,STOCK
2025-04-01,FPT,Công nghệ,5.81,48054497000,STOCK
2025-04-01,HPG,Vật liệu,5.31,43904421000,STOCK
2025-04-01,MBB,Ngân hàng,4.86,40147286400,STOCK
2025-04-01,MWG,Bán lẻ,4.85,40067200000,STOCK
2025-04-01,VCB,Ngân hàng,4.72,39019065300,STOCK
2025-04-01,REE,Hạ tầng,4.7,38839500000,STOCK
2025-04-01,STB,Ngân hàng,4.62,38169420000,STOCK
2025-04-01,NLG,BĐS,4.1,33867545600,STOCK
2025-04-01,VEA,Sản xuất,4.01,33162250000,STOCK
2025-04-01,QNS,Thực phẩm,3.73,30841720000,STOCK
2025-04-01,GMD,Hạ tầng,3.19,26360398000,STOCK
2025-04-01,BWE,Tiện ích,3.15,26005606800,STOCK
2025-04-01,VCI,Chứng khoán,2.99,24686400000,STOCK
2025-04-01,PNJ,Bán lẻ,2.84,23463000000,STOCK
2025-04-01,KDH,BĐS,2.7,22327672500,STOCK
2025-04-01,IJC,BĐS,1.38,11428650000,STOCK
2025-04-01,PHR,Ô tô,1.33,10993220000,STOCK
2025-04-01,BID,Ngân hàng,1.29,10665585000,STOCK
2025-04-01,SZC,BĐS,1.17,9702990000,STOCK
2025-04-01,LHG,BĐS,1.02,8394480000,STOCK
2025-05-01,TCB,Ngân hàng,7.31,65382240000,STOCK
2025-05-01,CTG,Ngân hàng,6.63,59292000200,STOCK
2025-05-01,MBB,Ngân hàng,6.33,56605665800,STOCK
2025-05-01,FPT,Công nghệ,5.72,51173207500,STOCK
2025-05-01,ACB,Ngân hàng,5.35,47839080500,STOCK
2025-05-01,NLG,BĐS,5.31,47451443200,STOCK
2025-05-01,HPG,Vật liệu,4.89,43716856500,STOCK
2025-05-01,STB,Ngân hàng,4.66,41668660000,STOCK
2025-05-01,MWG,Bán lẻ,4.58,40923900000,STOCK
2025-05-01,REE,Hạ tầng,4.55,40653900000,STOCK
2025-05-01,VCB,Ngân hàng,4.29,38406200400,STOCK
2025-05-01,VEA,Sản xuất,3.8,33994240000,STOCK
2025-05-01,QNS,Thực phẩm,3.58,32053840000,STOCK
2025-05-01,GMD,Hạ tầng,3.33,29742486800,STOCK
2025-05-01,PNJ,Bán lẻ,3.15,28157250000,STOCK
2025-05-01,KDH,BĐS,3.01,26905410000,STOCK
2025-05-01,BWE,Tiện ích,3.0,26856506000,STOCK
2025-05-01,VCI,Chứng khoán,2.89,25866000000,STOCK
2025-05-01,PHR,Ô tô,2.62,23459490000,STOCK
2025-05-01,IJC,BĐS,2.03,18153380000,STOCK
2025-05-01,PVS,Dầu khí,2.03,18119750000,STOCK
2025-05-01,SZC,BĐS,2.0,17846500000,STOCK
2025-05-01,LHG,BĐS,1.91,17115560000,STOCK
2025-06-01,TCB,Ngân hàng,7.85,73434240000,STOCK
2025-06-01,CTG,Ngân hàng,6.93,64865138600,STOCK
2025-06-01,MBB,Ngân hàng,6.9,64579154400,STOCK
2025-06-01,STB,Ngân hàng,5.11,47811460000,STOCK
2025-06-01,FPT,Công nghệ,5.05,47215581000,STOCK
2025-06-01,HPG,Vật liệu,4.93,46091215000,STOCK
2025-06-01,MWG,Bán lẻ,4.8,44952650000,STOCK
2025-06-01,REE,Hạ tầng,4.71,44067850500,STOCK
2025-06-01,ACB,Ngân hàng,4.64,43427611500,STOCK
2025-06-01,VCB,Ngân hàng,4.15,38814777000,STOCK
2025-06-01,NLG,BĐS,3.93,36746649200,STOCK
2025-06-01,KDH,BĐS,3.68,34420050000,STOCK
2025-06-01,VEA,Sản xuất,3.64,34080960000,STOCK
2025-06-01,PNJ,Bán lẻ,3.57,33397890000,STOCK
2025-06-01,PHR,Ô tô,3.39,31738300000,STOCK
2025-06-01,QNS,Thực phẩm,2.96,27736520000,STOCK
2025-06-01,VCI,Chứng khoán,2.88,26916175000,STOCK
2025-06-01,BWE,Tiện ích,2.73,25500385400,STOCK
2025-06-01,PVS,Dầu khí,2.39,22335810000,STOCK
2025-06-01,GMD,Hạ tầng,2.37,22127411400,STOCK
2025-06-01,LHG,BĐS,2.02,18875925000,STOCK
2025-06-01,IJC,BĐS,1.91,17867500000,STOCK
2025-06-01,SZC,BĐS,1.07,9967165000,STOCK
2025-07-01,MBB,Ngân hàng,8.73,87375216600,STOCK
2025-07-01,TCB,Ngân hàng,7.3,73004800000,STOCK
2025-07-01,CTG,Ngân hàng,7.1,71057514600,STOCK
2025-07-01,HPG,Vật liệu,6.12,61238527500,STOCK
2025-07-01,STB,Ngân hàng,4.8,48041910000,STOCK
2025-07-01,FPT,Công nghệ,4.77,47774792000,STOCK
2025-07-01,ACB,Ngân hàng,4.69,46893665000,STOCK
2025-07-01,VCB,Ngân hàng,4.64,46472052200,STOCK
