date,price
2015-09-09,10000
2015-09-16,9994
2015-09-23,9990
2015-09-30,10064
2015-10-01,10086
2015-10-07,10080
2015-10-14,10152
2015-10-21,10064
2015-10-28,10011
2015-11-01,10007
2015-11-04,10023
2015-11-11,10057
2015-11-18,10091
2015-11-25,9997
2015-12-01,10038
2015-12-02,10039
2015-12-09,10046
2015-12-16,10053
2015-12-23,10077
2015-12-30,10117
2016-01-01,10118
2016-01-06,10203
2016-01-13,10181
2016-01-20,10182
2016-01-27,10184
2016-02-01,10178
2016-02-03,10187
2016-02-17,10193
2016-02-24,10194
2016-03-01,10195
2016-03-02,10199
2016-03-09,10167
2016-03-16,10203
2016-03-23,10208
2016-03-30,10199
2016-04-01,10201
2016-04-06,10219
2016-04-13,10265
2016-04-20,10273
2016-04-27,10238
2016-05-01,10261
2016-05-05,10264
2016-05-10,10278
2016-05-17,10335
2016-05-24,10265
2016-05-31,10367
2016-06-01,10367
2016-06-07,10384
2016-06-14,10388
2016-06-21,10424
2016-06-28,10442
2016-07-01,10443
2016-07-05,10431
2016-07-12,10457
2016-07-19,10446
2016-07-26,10411
2016-08-01,10458
2016-08-02,10463
2016-08-09,10570
2016-08-16,10579
2016-08-23,10579
2016-08-30,10632
2016-09-01,10618
2016-09-06,10648
2016-09-13,10666
2016-09-20,10674
2016-09-27,10671
2016-10-01,10692
2016-10-04,10685
2016-10-11,10721
2016-10-18,10729
2016-10-25,10745
2016-11-01,10754
2016-11-08,10777
2016-11-15,10781
2016-11-22,10808
2016-11-29,10811
2016-12-01,10816
2016-12-06,10834
2016-12-13,10845
2016-12-20,10867
2016-12-27,10861
2017-01-01,10884
2017-01-03,10887
2017-01-10,10903
2017-01-17,10939
2017-01-24,10937
2017-01-31,10964
2017-02-01,10966
2017-02-07,10975
2017-02-14,10977
2017-02-21,11004
2017-02-28,11021
2017-03-01,11017
2017-03-07,11032
2017-03-14,11021
2017-03-21,11057
2017-03-23,11047
2017-03-28,11060
2017-03-30,11057
2017-04-01,11071
2017-04-04,11078
2017-04-06,11084
2017-04-11,11085
2017-04-13,11088
2017-04-18,11104
2017-04-20,11109
2017-04-25,11102
2017-04-27,11120
2017-05-01,11130
2017-05-04,11129
2017-05-09,11136
2017-05-11,11173
2017-05-16,11138
2017-05-18,11154
2017-05-23,11167
2017-05-25,11205
2017-05-30,11217
2017-06-01,11221
2017-06-06,11187
2017-06-08,11236
2017-06-13,11225
2017-06-15,11255
2017-06-20,11265
2017-06-22,11283
2017-06-27,11311
2017-06-29,11284
2017-07-01,11312
2017-07-04,11277
2017-07-06,11308
2017-07-11,11322
2017-07-13,11334
2017-07-18,11355
2017-07-20,11343
2017-07-25,11364
2017-07-27,11362
2017-08-01,11388
2017-08-03,11374
2017-08-08,11399
2017-08-10,11391
2017-08-15,11438
2017-08-17,11460
2017-08-22,11430
2017-08-24,11421
2017-08-29,11439
2017-08-31,11447
2017-09-01,11455
2017-09-05,11464
2017-09-07,11474
2017-09-12,11470
2017-09-14,11474
2017-09-19,11496
2017-09-21,11503
2017-09-26,11511
2017-09-28,11513
2017-10-01,11511
2017-10-03,11508
2017-10-05,11505
2017-10-10,11521
2017-10-12,11530
2017-10-17,11548
2017-10-19,11540
2017-10-24,11562
2017-10-26,11563
2017-10-31,11574
2017-11-01,11577
2017-11-02,11564
2017-11-07,11591
2017-11-09,11584
2017-11-14,11604
2017-11-16,11614
2017-11-21,11621
2017-11-23,11633
2017-11-28,11639
2017-11-30,11651
2017-12-01,11658
2017-12-05,11669
2017-12-07,11684
2017-12-12,11707
2017-12-14,11712
2017-12-19,11719
2017-12-21,11734
2017-12-26,11728
2017-12-28,11766
2018-01-01,11791
2018-01-02,11782
2018-01-04,11803
2018-01-09,11810
2018-01-11,11797
2018-01-16,11808
2018-01-18,11816
2018-01-23,11812
2018-01-25,11817
2018-01-30,11835
2018-02-01,11810
2018-02-06,11856
2018-02-08,11856
2018-02-13,11866
2018-02-15,11878
2018-02-20,11890
2018-02-22,11895
2018-02-27,11892
2018-03-01,11908
2018-03-06,11907
2018-03-08,11912
2018-03-13,11932
2018-03-15,11940
2018-03-20,11957
2018-03-22,11939
2018-03-27,11986
2018-03-29,11980
2018-04-01,12000
2018-04-03,11986
2018-04-05,11994
2018-04-10,11986
2018-04-12,12017
2018-04-17,12047
2018-04-19,12044
2018-04-24,12051
2018-04-26,12049
2018-05-01,12049
2018-05-03,12075
2018-05-08,12071
2018-05-10,12076
2018-05-15,12083
2018-05-17,12084
2018-05-22,12107
2018-05-24,12114
2018-05-29,12111
2018-05-31,12124
2018-06-01,12117
2018-06-05,12125
2018-06-07,12127
2018-06-12,12159
2018-06-14,12151
2018-06-19,12172
2018-06-21,12170
2018-06-26,12198
2018-06-28,12198
2018-07-01,12212
2018-07-02,12214
2018-07-03,12235
2018-07-04,12228
2018-07-05,12231
2018-07-06,12227
2018-07-09,12239
2018-07-10,12231
2018-07-11,12240
2018-07-12,12243
2018-07-13,12239
2018-07-16,12239
2018-07-17,12252
2018-07-18,12251
2018-07-19,12249
2018-07-20,12291
2018-07-23,12273
2018-07-24,12309
2018-07-25,12294
2018-07-26,12287
2018-07-27,12306
2018-07-30,12317
2018-07-31,12320
2018-08-01,12311
2018-08-02,12302
2018-08-03,12313
2018-08-06,12335
2018-08-07,12324
2018-08-08,12355
2018-08-09,12340
2018-08-10,12335
2018-08-13,12330
2018-08-14,12334
2018-08-15,12347
2018-08-16,12349
2018-08-17,12375
2018-08-20,12341
2018-08-21,12354
2018-08-22,12346
2018-08-23,12356
2018-08-24,12374
2018-08-27,12378
2018-08-28,12361
2018-08-29,12365
2018-08-30,12371
2018-08-31,12395
2018-09-01,12369
2018-09-04,12377
2018-09-05,12393
2018-09-06,12387
2018-09-07,12408
2018-09-10,12406
2018-09-11,12393
2018-09-12,12421
2018-09-13,12393
2018-09-14,12436
2018-09-17,12395
2018-09-18,12436
2018-09-19,12453
2018-09-20,12440
2018-09-21,12444
2018-09-24,12412
2018-09-25,12453
2018-09-26,12435
2018-09-27,12435
2018-09-28,12474
2018-10-01,12475
2018-10-02,12467
2018-10-03,12488
2018-10-04,12477
2018-10-05,12489
2018-10-08,12498
2018-10-09,12460
2018-10-10,12490
2018-10-11,12460
2018-10-12,12474
2018-10-15,12496
2018-10-16,12509
2018-10-17,12514
2018-10-18,12504
2018-10-19,12504
2018-10-22,12511
2018-10-23,12525
2018-10-24,12515
2018-10-25,12522
2018-10-26,12528
2018-10-29,12520
2018-10-30,12530
2018-10-31,12529
2018-11-01,12528
2018-11-02,12531
2018-11-05,12536
2018-11-06,12534
2018-11-07,12540
2018-11-08,12539
2018-11-09,12538
2018-11-12,12551
2018-11-13,12551
2018-11-14,12551
2018-11-15,12567
2018-11-16,12562
2018-11-19,12570
2018-11-20,12581
2018-11-21,12585
2018-11-22,12586
2018-11-23,12588
2018-11-26,12587
2018-11-27,12591
2018-11-28,12591
2018-11-29,12604
2018-11-30,12607
2018-12-01,12603
2018-12-03,12608
2018-12-04,12609
2018-12-05,12626
2018-12-06,12617
2018-12-07,12632
2018-12-10,12624
2018-12-11,12623
2018-12-12,12635
2018-12-13,12626
2018-12-14,12666
2018-12-17,12656
2018-12-18,12680
2018-12-19,12677
2018-12-20,12682
2018-12-21,12691
2018-12-24,12699
2018-12-25,12690
2018-12-26,12700
2018-12-27,12693
2018-12-28,12726
2019-01-01,12739
2019-01-02,12742
2019-01-03,12735
2019-01-04,12746
2019-01-07,12751
2019-01-08,12748
2019-01-09,12747
2019-01-10,12758
2019-01-11,12761
2019-01-14,12761
2019-01-15,12765
2019-01-16,12773
2019-01-17,12761
2019-01-18,12774
2019-01-21,12776
2019-01-22,12789
2019-01-23,12791
2019-01-24,12792
2019-01-25,12795
2019-01-28,12782
2019-01-29,12774
2019-01-30,12785
2019-01-31,12793
2019-02-01,12818
2019-02-08,12820
2019-02-11,12797
2019-02-12,12806
2019-02-13,12806
2019-02-14,12813
2019-02-15,12841
2019-02-18,12841
2019-02-19,12861
2019-02-20,12843
2019-02-21,12863
2019-02-22,12844
2019-02-25,12854
2019-02-26,12856
2019-02-27,12866
2019-02-28,12875
2019-03-01,12885
2019-03-04,12882
2019-03-05,12893
2019-03-06,12889
2019-03-07,12902
2019-03-08,12904
2019-03-11,12904
2019-03-12,12918
2019-03-13,12913
2019-03-14,12916
2019-03-15,12917
2019-03-18,12917
2019-03-19,12925
2019-03-20,12937
2019-03-21,12927
2019-03-22,12939
2019-03-25,12942
2019-03-26,12949
2019-03-27,12954
2019-03-28,12957
2019-03-29,12954
2019-04-01,12957
2019-04-02,12962
2019-04-03,12962
2019-04-04,12965
2019-04-05,12966
2019-04-08,12970
2019-04-09,12975
2019-04-10,12977
2019-04-11,12974
2019-04-12,12994
2019-04-16,13000
2019-04-17,12999
2019-04-18,12993
2019-04-19,13010
2019-04-22,13012
2019-04-23,13020
2019-04-24,13022
2019-04-25,13027
2019-04-26,13025
2019-05-01,13037
2019-05-02,13040
2019-05-03,13039
2019-05-06,13043
2019-05-07,13053
2019-05-08,13056
2019-05-09,13054
2019-05-10,13052
2019-05-13,13053
2019-05-14,13052
2019-05-15,13054
2019-05-16,13057
2019-05-17,13056
2019-05-20,13063
2019-05-21,13067
2019-05-22,13068
2019-05-23,13085
2019-05-24,13088
2019-05-27,13091
2019-05-28,13099
2019-05-29,13097
2019-05-30,13095
2019-05-31,13094
2019-06-01,13094
2019-06-03,13100
2019-06-04,13105
2019-06-05,13104
2019-06-06,13107
2019-06-07,13110
2019-06-10,13120
2019-06-11,13121
2019-06-12,13123
2019-06-13,13130
2019-06-14,13129
2019-06-17,13132
2019-06-18,13141
2019-06-19,13142
2019-06-20,13142
2019-06-21,13149
2019-06-24,13150
2019-06-25,13153
2019-06-26,13157
2019-06-27,13190
2019-06-28,13191
2019-07-01,13194
2019-07-02,13196
2019-07-03,13206
2019-07-04,13212
2019-07-05,13221
2019-07-08,13228
2019-07-09,13233
2019-07-10,13233
2019-07-11,13235
2019-07-12,13236
2019-07-15,13246
2019-07-16,13232
2019-07-17,13238
2019-07-18,13237
2019-07-19,13252
2019-07-22,13258
2019-07-23,13268
2019-07-24,13264
2019-07-25,13273
2019-07-26,13275
2019-07-29,13280
2019-07-30,13281
2019-07-31,13286
2019-08-01,13288
2019-08-02,13291
2019-08-05,13294
2019-08-06,13297
2019-08-07,13299
2019-08-08,13307
2019-08-09,13343
2019-08-12,13351
2019-08-13,13356
2019-08-14,13355
2019-08-15,13360
2019-08-16,13365
2019-08-19,13369
2019-08-20,13371
2019-08-21,13373
2019-08-22,13375
2019-08-23,13370
2019-08-26,13385
2019-08-27,13379
2019-08-28,13381
2019-08-29,13385
2019-08-30,13392
2019-09-01,13419
2019-09-03,13424
2019-09-04,13417
2019-09-05,13433
2019-09-06,13432
2019-09-09,13440
2019-09-10,13444
2019-09-11,13407
2019-09-12,13448
2019-09-13,13410
2019-09-16,13426
2019-09-17,13431
2019-09-18,13427
2019-09-19,13437
2019-09-20,13434
2019-09-23,13476
2019-09-24,13469
2019-09-25,13478
2019-09-26,13442
2019-09-27,13433
2019-09-30,13439
2019-10-01,13479
2019-10-02,13481
2019-10-03,13483
2019-10-04,13486
2019-10-07,13500
2019-10-08,13495
2019-10-09,13496
2019-10-10,13496
2019-10-11,13463
2019-10-14,13454
2019-10-15,13457
2019-10-16,13491
2019-10-17,13495
2019-10-18,13496
2019-10-21,13504
2019-10-22,13505
2019-10-23,13508
2019-10-24,13541
2019-10-25,13524
2019-10-28,13533
2019-10-29,13535
2019-10-30,13538
2019-10-31,13541
2019-11-01,13543
2019-11-04,13551
2019-11-05,13553
2019-11-06,13554
2019-11-07,13576
2019-11-08,13543
2019-11-11,13585
2019-11-12,13587
2019-11-13,13591
2019-11-14,13594
2019-11-15,13576
2019-11-18,13576
2019-11-19,13578
2019-11-20,13606
2019-11-21,13608
2019-11-22,13611
2019-11-25,13618
2019-11-26,13621
2019-11-27,13622
2019-11-28,13628
2019-11-29,13619
2019-12-01,13623
2019-12-02,13626
2019-12-03,13629
2019-12-04,13632
2019-12-05,13643
2019-12-06,13646
2019-12-09,13652
2019-12-10,13655
2019-12-11,13659
2019-12-12,13662
2019-12-13,13636
2019-12-16,13669
2019-12-17,13674
2019-12-18,13678
2019-12-19,13679
2019-12-20,13696
2019-12-23,13703
2019-12-24,13707
2019-12-25,13708
2019-12-26,13713
2019-12-27,13714
2019-12-30,13733
2019-12-31,13765
2020-01-01,13765
2020-01-02,13768
2020-01-03,13770
2020-01-06,13778
2020-01-07,13781
2020-01-08,13791
2020-01-09,13789
2020-01-10,13799
2020-01-13,13801
2020-01-14,13814
2020-01-15,13814
2020-01-16,13817
2020-01-17,13809
2020-01-20,13785
2020-01-21,13788
2020-01-22,13796
2020-01-24,13804
2020-01-30,13820
2020-01-31,13823
2020-02-01,13822
2020-02-03,13827
2020-02-04,13829
2020-02-05,13832
2020-02-06,13835
2020-02-07,13864
2020-02-10,13871
2020-02-11,13874
2020-02-12,13882
2020-02-13,13842
2020-02-14,13846
2020-02-17,13853
2020-02-18,13856
2020-02-19,13855
2020-02-20,13858
2020-02-21,13895
2020-02-24,13904
2020-02-25,13906
2020-02-26,13909
2020-02-27,13906
2020-02-28,13907
