date,price
2015-09-09,10000
2015-09-16,9994
2015-09-23,9988
2015-09-30,9967
2015-10-01,9972
2015-10-07,10183
2015-10-14,10273
2015-10-21,10222
2015-10-28,10368
2015-11-01,10471
2015-11-04,10498
2015-11-11,10207
2015-11-18,10188
2015-11-25,10138
2015-12-01,9798
2015-12-02,9739
2015-12-09,9758
2015-12-16,9599
2015-12-23,9586
2015-12-30,9606
2016-01-01,9602
2016-01-06,9455
2016-01-13,9295
2016-01-20,8842
2016-01-27,8904
2016-02-01,9013
2016-02-03,8915
2016-02-17,9135
2016-02-24,9289
2016-03-01,9278
2016-03-02,9357
2016-03-09,9471
2016-03-16,9436
2016-03-23,9452
2016-03-30,9544
2016-04-01,9350
2016-04-06,9325
2016-04-13,9594
2016-04-20,9259
2016-04-27,9664
2016-05-01,9728
2016-05-05,9725
2016-05-10,9777
2016-05-17,9912
2016-05-24,9888
2016-05-31,9957
2016-06-01,10105
2016-06-07,10221
2016-06-14,10394
2016-06-21,10632
2016-06-28,10507
2016-07-01,10811
2016-07-05,11037
2016-07-12,11067
2016-07-19,11210
2016-07-26,10839
2016-08-01,10847
2016-08-02,10803
2016-08-09,10437
2016-08-16,11006
2016-08-23,11154
2016-08-30,11129
2016-09-01,11312
2016-09-06,11353
2016-09-13,11244
2016-09-20,11235
2016-09-27,11465
2016-10-01,11789
2016-10-04,11796
2016-10-11,11355
2016-10-18,11499
2016-10-25,11152
2016-11-01,11182
2016-11-08,11094
2016-11-15,11018
2016-11-22,11031
2016-11-29,11005
2016-12-01,11040
2016-12-06,10943
2016-12-13,10845
2016-12-20,10849
2016-12-27,10837
2017-01-01,10917
2017-01-03,10915
2017-01-10,11030
2017-01-17,10931
2017-01-24,10951
2017-01-31,11098
2017-02-01,11097
2017-02-07,11195
2017-02-14,11318
2017-02-21,11306
2017-02-28,11339
2017-03-01,11199
2017-03-07,11162
2017-03-14,11152
2017-03-21,11279
2017-03-28,11354
2017-04-01,11340
2017-04-04,11327
2017-04-11,11326
2017-04-18,10952
2017-04-25,10909
2017-05-01,11065
2017-05-02,11063
2017-05-09,11112
2017-05-16,11307
2017-05-23,11526
2017-05-30,11693
2017-06-01,11577
2017-06-06,11661
2017-06-13,11880
2017-06-20,12183
2017-06-27,12170
2017-07-01,12273
2017-07-04,12319
2017-07-11,12165
2017-07-18,12062
2017-07-25,11790
2017-08-01,12078
2017-08-08,12192
2017-08-15,12081
2017-08-22,11991
2017-08-29,12190
2017-09-01,12245
2017-09-05,12301
2017-09-12,12300
2017-09-19,12474
2017-09-26,12518
2017-10-01,12627
2017-10-03,12568
2017-10-10,12622
2017-10-17,12775
2017-10-24,12608
2017-10-31,12731
2017-11-01,12660
2017-11-07,12829
2017-11-14,13318
2017-11-21,13690
2017-11-28,14132
2017-12-01,14249
2017-12-05,14720
2017-12-12,13984
2017-12-19,14697
2017-12-26,14979
2018-01-01,15431
2018-01-02,15430
2018-01-09,15972
2018-01-16,16492
2018-01-23,16753
2018-01-30,17145
2018-02-01,16948
2018-02-06,15871
2018-02-13,15326
2018-02-20,15512
2018-02-27,16051
2018-03-01,16229
2018-03-06,15984
2018-03-13,16148
2018-03-20,16648
2018-03-27,16506
2018-04-01,16461
2018-04-03,16748
2018-04-10,16860
2018-04-17,16272
2018-04-24,15212
2018-05-01,14791
2018-05-08,14724
2018-05-10,14731
2018-05-11,14641
2018-05-14,14706
2018-05-15,14784
2018-05-16,14814
2018-05-17,14681
2018-05-18,14683
2018-05-21,14671
2018-05-22,14612
2018-05-23,14459
2018-05-24,14482
2018-05-25,14458
2018-05-28,14370
2018-05-29,14230
2018-05-30,14320
2018-05-31,14296
2018-06-01,14382
2018-06-04,14422
2018-06-05,14523
2018-06-06,14534
2018-06-07,14639
2018-06-08,14612
2018-06-11,14585
2018-06-12,14573
2018-06-13,14409
2018-06-14,14467
2018-06-15,14390
2018-06-18,14425
2018-06-19,13960
2018-06-20,13553
2018-06-21,13649
2018-06-22,13573
2018-06-25,13695
2018-06-26,13728
2018-06-27,13698
2018-06-28,13664
2018-06-29,13579
2018-07-01,13574
2018-07-02,13575
2018-07-03,13530
2018-07-04,13438
2018-07-05,13449
2018-07-06,13449
2018-07-09,13486
2018-07-10,13436
2018-07-11,13450
2018-07-12,13431
2018-07-13,13431
2018-07-16,13439
2018-07-17,13467
2018-07-18,13489
2018-07-19,13519
2018-07-20,13542
2018-07-23,13524
2018-07-24,13533
2018-07-25,13474
2018-07-26,13503
2018-07-27,13527
2018-07-30,13546
2018-07-31,13586
2018-08-01,13591
2018-08-02,13572
2018-08-03,13579
2018-08-06,13589
2018-08-07,13578
2018-08-08,13568
2018-08-09,13590
2018-08-10,13592
2018-08-13,13598
2018-08-14,13634
2018-08-15,13646
2018-08-16,13611
2018-08-17,13627
2018-08-20,13600
2018-08-21,13585
2018-08-22,13605
2018-08-23,13620
2018-08-24,13618
2018-08-27,13624
2018-08-28,13610
2018-08-29,13608
2018-08-30,13611
2018-08-31,13635
2018-09-01,13612
2018-09-04,13617
2018-09-05,13620
2018-09-06,13593
2018-09-07,13580
2018-09-10,13615
2018-09-11,13606
2018-09-12,13638
2018-09-13,13625
2018-09-14,13650
2018-09-17,13638
2018-09-18,13673
2018-09-19,13714
2018-09-20,13712
2018-09-21,13745
2018-09-24,13744
2018-09-25,13761
2018-09-26,13752
2018-09-27,13755
2018-09-28,13793
2018-10-01,13787
2018-10-02,13776
2018-10-03,13733
2018-10-04,13734
2018-10-05,13755
2018-10-08,13714
2018-10-09,13628
2018-10-10,13587
2018-10-11,13590
2018-10-12,13187
2018-10-15,13412
2018-10-16,13236
2018-10-17,13292
2018-10-18,13359
2018-10-19,13261
2018-10-22,13188
2018-10-23,13129
2018-10-24,12944
2018-10-25,12708
2018-10-26,12603
2018-10-29,12515
2018-10-30,12381
2018-10-31,12444
2018-11-01,12722
2018-11-02,12608
2018-11-05,12787
2018-11-06,12752
2018-11-07,12723
2018-11-08,12703
2018-11-09,12759
2018-11-12,12565
2018-11-13,12634
2018-11-14,12484
2018-11-15,12460
2018-11-16,12422
2018-11-19,12506
2018-11-20,12577
2018-11-21,12593
2018-11-22,12599
2018-11-23,12632
2018-11-26,12568
2018-11-27,12599
2018-11-28,12607
2018-11-29,12638
2018-11-30,12615
2018-12-01,12616
2018-12-03,12617
2018-12-04,12783
2018-12-05,12865
2018-12-06,12859
2018-12-07,12827
2018-12-10,12882
2018-12-11,12839
2018-12-12,12821
2018-12-13,12886
2018-12-14,12917
2018-12-17,12828
2018-12-18,12689
2018-12-19,12632
2018-12-20,12607
2018-12-21,12605
2018-12-24,12605
2018-12-25,12531
2018-12-26,12487
2018-12-27,12460
2018-12-28,12580
2019-01-01,12597
2019-01-02,12598
2019-01-03,12589
2019-01-04,12529
2019-01-07,12540
2019-01-08,12573
2019-01-09,12547
2019-01-10,12606
2019-01-11,12609
2019-01-14,12636
2019-01-15,12624
2019-01-16,12651
2019-01-17,12617
2019-01-18,12612
2019-01-21,12587
2019-01-22,12644
2019-01-23,12634
2019-01-24,12616
2019-01-25,12614
2019-01-28,12626
2019-01-29,12621
2019-01-30,12681
2019-01-31,12666
2019-02-01,12684
2019-02-05,12682
2019-02-11,12698
2019-02-12,12775
2019-02-13,12804
2019-02-14,12832
2019-02-15,12835
2019-02-18,12824
2019-02-19,12908
2019-02-20,12842
2019-02-21,12865
2019-02-22,12856
2019-02-25,12877
2019-02-26,12925
2019-02-27,12904
2019-02-28,12893
2019-03-01,12782
2019-03-04,12844
2019-03-05,12890
2019-03-06,12887
2019-03-07,12882
2019-03-08,12904
2019-03-11,12862
2019-03-12,12851
2019-03-13,12941
2019-03-14,12950
2019-03-15,12977
2019-03-18,12946
2019-03-19,12925
2019-03-20,12890
2019-03-21,12865
2019-03-22,12829
2019-03-25,12846
2019-03-26,12764
2019-03-27,12770
2019-03-28,12799
2019-03-29,12807
2019-04-01,12814
2019-04-02,12837
2019-04-03,12819
2019-04-04,12820
2019-04-05,12837
2019-04-08,12841
2019-04-09,12860
2019-04-10,12832
2019-04-11,12802
2019-04-12,12813
2019-04-16,12827
2019-04-17,12798
2019-04-18,12779
2019-04-19,12757
2019-04-22,12752
2019-04-23,12724
2019-04-24,12733
2019-04-25,12785
2019-04-26,12780
2019-05-01,12824
2019-05-02,12825
2019-05-03,12835
2019-05-06,12841
2019-05-07,12726
2019-05-08,12757
2019-05-09,12749
2019-05-10,12687
2019-05-13,12717
2019-05-14,12748
2019-05-15,12799
2019-05-16,12811
2019-05-17,12779
2019-05-20,12755
2019-05-21,12848
2019-05-22,12854
2019-05-23,12826
2019-05-24,12836
2019-05-27,12770
2019-05-28,12757
2019-05-29,12769
2019-05-30,12718
2019-05-31,12721
2019-06-01,12628
2019-06-03,12628
2019-06-04,12501
2019-06-05,12513
2019-06-06,12529
2019-06-07,12530
2019-06-10,12609
2019-06-11,12632
2019-06-12,12651
2019-06-13,12613
2019-06-14,12577
2019-06-17,12590
2019-06-18,12552
2019-06-19,12566
2019-06-20,12589
2019-06-21,12685
2019-06-24,12683
2019-06-25,12701
2019-06-26,12693
2019-06-27,12664
2019-06-28,12590
2019-07-01,12654
2019-07-02,12742
2019-07-03,12732
2019-07-04,12725
2019-07-05,12792
2019-07-08,12791
2019-07-09,12757
2019-07-10,12813
2019-07-11,12851
2019-07-12,12865
2019-07-15,12867
2019-07-16,12899
2019-07-17,12890
2019-07-18,12872
2019-07-19,12868
2019-07-22,12948
2019-07-23,12952
2019-07-24,13040
2019-07-25,12980
2019-07-26,13024
2019-07-29,12992
2019-07-30,12981
2019-07-31,12850
2019-08-01,12943
2019-08-02,12977
2019-08-05,12927
2019-08-06,12825
2019-08-07,12784
2019-08-08,12869
2019-08-09,12932
2019-08-12,12986
2019-08-13,13049
2019-08-14,13043
2019-08-15,13050
2019-08-16,13159
2019-08-19,13075
2019-08-20,13077
2019-08-21,13200
2019-08-22,13251
2019-08-23,13168
2019-08-26,13152
2019-08-27,13109
2019-08-28,13011
2019-08-29,12947
2019-08-30,12974
2019-09-01,13035
2019-09-03,13033
2019-09-04,13048
2019-09-05,13037
2019-09-06,12977
2019-09-09,12990
2019-09-10,12971
2019-09-11,12904
2019-09-12,12964
2019-09-13,13140
2019-09-16,13291
2019-09-17,13323
2019-09-18,13321
2019-09-19,13316
2019-09-20,13442
2019-09-23,13488
2019-09-24,13307
2019-09-25,13277
2019-09-26,13362
2019-09-27,13386
2019-09-30,13473
2019-10-01,13398
2019-10-02,13506
2019-10-03,13399
2019-10-04,13416
2019-10-07,13349
2019-10-08,13225
2019-10-09,13339
2019-10-10,13357
2019-10-11,13350
2019-10-14,13383
2019-10-15,13463
2019-10-16,13456
2019-10-17,13473
2019-10-18,13410
2019-10-21,13400
2019-10-22,13303
2019-10-23,13321
2019-10-24,13347
2019-10-25,13537
2019-10-28,13569
2019-10-29,13563
2019-10-30,13500
2019-10-31,13516
2019-11-01,13485
2019-11-04,13584
2019-11-05,13758
2019-11-06,13738
2019-11-07,13721
2019-11-08,13722
2019-11-11,13706
2019-11-12,13636
2019-11-13,13688
2019-11-14,13622
2019-11-15,13453
2019-11-18,13476
2019-11-19,13378
2019-11-20,13506
2019-11-21,13386
2019-11-22,13288
2019-11-25,13130
2019-11-26,13128
2019-11-27,13191
2019-11-28,13219
2019-11-29,13091
2019-12-01,13113
2019-12-02,13112
2019-12-03,13006
2019-12-04,12953
2019-12-05,13132
2019-12-06,13126
2019-12-09,13156
2019-12-10,13244
2019-12-11,13207
2019-12-12,13244
2019-12-13,13276
2019-12-16,13264
2019-12-17,13177
2019-12-18,13005
2019-12-19,12980
2019-12-20,13017
2019-12-23,13078
2019-12-24,13099
2019-12-25,13130
2019-12-26,13219
2019-12-27,13185
2019-12-30,13236
2019-12-31,13293
2020-01-01,13364
2020-01-02,13363
2020-01-03,13425
2020-01-06,13306
2020-01-07,13258
2020-01-08,13301
2020-01-09,13092
2020-01-10,13220
2020-01-13,13247
2020-01-14,13214
2020-01-15,13259
2020-01-16,13281
2020-01-17,13368
2020-01-20,13434
2020-01-21,13484
2020-01-22,13442
2020-01-28,13483
2020-01-30,13481
2020-01-31,13137
2020-02-01,12855
2020-02-03,12852
2020-02-04,12809
2020-02-05,12851
2020-02-06,12834
2020-02-07,13008
2020-02-10,12943
2020-02-11,12813
2020-02-12,12883
2020-02-13,13007
2020-02-14,13042
2020-02-17,13085
2020-02-18,13081
2020-02-19,13146
2020-02-20,13126
2020-02-21,13151
2020-02-24,12978
2020-02-25,12631
2020-02-26,12787
2020-02-27,12720
2020-02-28,12775
2020-03-01,12634
2020-03-02,12633
2020-03-03,12671
2020-03-04,12713
2020-03-05,12668
2020-03-06,12658
2020-03-09,12582
2020-03-10,11935
2020-03-11,12022
2020-03-12,11685
2020-03-13,11158
2020-03-16,11089
2020-03-17,10812
2020-03-18,10895
2020-03-19,10950
2020-03-20,10716
2020-03-23,10589
2020-03-24,10050
2020-03-25,10053
2020-03-26,10410
2020-03-27,10228
2020-03-30,10121
2020-03-31,9735
2020-04-01,9746
2020-04-03,9991
2020-04-06,10270
2020-04-07,10717
2020-04-08,10804
2020-04-09,10723
2020-04-10,10806
2020-04-13,10762
2020-04-14,10852
2020-04-15,10947
2020-04-16,11099
