date,price
2024-10-16,10000
2024-10-31,9979.25
2024-11-05,9909.78
2024-11-07,9961.18
2024-11-12,9857.27
2024-11-14,9856.22
2024-11-19,9702.24
2024-11-21,9733.39
2024-11-26,9871.67
2024-11-28,9886.17
2024-12-03,9965.46
2024-12-05,9918.38
2024-12-10,10121.29
2024-12-12,10083
2024-12-17,10078.96
2024-12-19,10068.47
2024-12-24,10006.73
2024-12-26,10086.26
2024-12-31,10091.1
2025-01-02,10104.55
2025-01-07,9856.74
2025-01-09,9919.92
2025-01-14,9841.67
2025-01-16,9883.18
2025-01-21,9987.69
2025-01-23,9928.35
2025-02-04,10002.24
2025-02-06,10131.9
2025-02-11,10185.44
2025-02-13,10203.59
2025-02-18,10245.73
2025-02-20,10338.14
2025-02-25,10515.17
2025-02-27,10446.04
2025-03-04,10464.97
2025-03-06,10498.07
2025-03-11,10588.47
2025-03-13,10535.63
2025-03-18,10448.57
2025-03-20,10407.37
2025-03-25,10394.56
2025-03-27,10401.73
2025-04-01,10299.28
2025-04-03,10340.19
2025-04-08,9774.11
2025-04-10,9147.51
2025-04-15,9921.75
2025-04-17,9774.4
2025-04-22,9751.72
2025-04-24,9839.91
2025-04-29,9818.72
2025-05-06,9894.82
2025-05-08,9916.51
2025-05-13,10118.35
2025-05-15,10384.03
2025-05-20,10259.34
2025-05-22,10389.31
2025-05-27,10395.71
2025-05-29,10433.35
2025-06-03,10357.85
2025-06-05,10416.92
2025-06-10,10247.05
2025-06-12,10262.6
2025-06-17,10451.94
2025-06-19,10475.33
2025-06-24,10473.04
2025-06-26,10561.95
2025-07-01,10656.68
2025-07-03,10706.38
2025-07-08,10912.4
2025-07-10,11094.15
2025-07-15,11341.61
2025-07-17,11380.21
2025-07-22,11445.48
2025-07-24,11634.85
2025-07-29,12010.65
2025-07-31,11792.46
2025-08-05,11894.1
2025-08-07,12219.15
2025-08-12,12522.51
2025-08-14,12655.75
2025-08-19,12684.9
2025-08-21,12862.16
2025-08-26,12431.81
2025-08-28,12907.8
2025-09-04,13245.05
2025-09-09,12734.4
2025-09-11,12802.34
2025-09-16,13176.49
2025-09-18,12862.86
2025-09-23,12571.66
2025-09-25,12816.7
2025-09-30,12666.98
2025-10-02,12741.99
2025-10-07,12878.64
2025-10-09,12851.23
2025-10-14,13124.34
2025-10-16,13039.44
2025-10-21,12311.61
2025-10-23,12476.3
2025-10-28,12134.49
2025-10-30,12443.66
2025-11-04,11889.34
2025-11-06,12182.27
2025-11-11,11604.57
2025-11-13,12038.64
2025-11-18,12112.04
2025-11-20,12078.96
2025-11-25,11932.1
2025-11-27,11975.53
2025-12-02,11833.67
2025-12-04,12126.06
2025-12-09,11959.23
2025-12-11,11819.31
2025-12-16,11417.19
2025-12-18,11664.22
2025-12-23,12005.71
2025-12-25,12153.73
2025-12-30,12017.77

2026-01-06,11969.82
2026-01-08,12187.92
2026-01-13,12288.7
2026-01-15,12263.05
2026-01-20,12285.24
2026-01-22,12382.28
2026-01-27,12655.03
2026-01-29,12644.25
2026-02-03,12659.8
2026-02-05,12601.99
2026-02-10,12189.9
2026-02-12,12330.96
2026-02-24,12560.82
2026-02-26,12686.19
2026-03-03,12338.55
2026-03-05,12142.13
2026-03-10,10968.8
2026-03-12,11666.95
2026-03-17,11525.28
2026-03-19,11554.72
2026-03-24,10908.64
2026-03-26,11280.4
2026-03-31,11424.57
2026-04-02,11520.06
2026-04-07,11275.18
2026-04-09,11603.2
2026-04-14,11561.44
2026-04-16,11643.51
2026-04-21,11929.21
2026-04-23,11875.21
2026-04-28,11850.42
2026-05-05,11784.87
2026-05-07,11802.92
2026-05-12,11793.94
2026-05-14,11784.43
2026-05-19,11737.56
2026-05-21,11596.77
2026-05-26,11688.28
2026-05-28,11756.4
2026-06-02,11782.34
2026-06-04,11661.12
2026-06-09,11609.63
2026-06-11,11660.16
2026-06-16,11739.41
2026-06-18,11701.64
2026-06-23,11757.79
2026-06-25,11729.44
2026-06-30,11769.04
2026-07-02,11833.04
2026-07-07,11632.14
2026-07-09,11699.77
2026-07-14,11286.82
2026-07-16,11219.98
2026-07-21,10881.99
2026-07-23,10687.62
2026-07-28,10382
2026-07-30,10550.46
2026-08-04,10932.69
2026-08-06,10915.33
2026-08-11,10981.37
2026-08-13,11005.96
2026-08-18,10777.55
2026-08-20,10650.26
2026-08-25,10806.86
