date,stock_code,industry,weight_pct,asset_value,type_asset
2026-05-01,CTG,Ngân hàng,12.83,7712874400,STOCK
2026-05-01,F88,Tài chính khác,10.1,6074280000,STOCK
2026-05-01,MWG,Bán lẻ,8.14,4893000000,STOCK
2026-05-01,HPG,Vật liệu xây dựng,7.94,4774000000,STOCK
2026-05-01,ACB,Ngân hàng,7.28,4380000000,STOCK
2026-05-01,TCB,Ngân hàng,7.22,4342500000,STOCK
2026-05-01,BMP,Sản xuất Nhựa - Hóa chất,6.37,3832500000,STOCK
2026-05-01,HDB,Ngân hàng,6.29,3780000000,STOCK
2026-05-01,KDH,Bất động sản,4.35,2617500000,STOCK
2026-05-01,SHB,Ngân hàng,3.82,2300000000,STOCK
2026-07-01,CTG,Ngân hàng,12.83,7712874400,STOCK
2026-07-01,F88,Tài chính khác,10.1,6074280000,STOCK
2026-07-01,MWG,Bán lẻ,8.14,4893000000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,7.94,4774000000,STOCK
2026-07-01,ACB,Ngân hàng,7.28,4380000000,STOCK
2026-07-01,TCB,Ngân hàng,7.22,4342500000,STOCK
2026-07-01,BMP,Sản xuất Nhựa - Hóa chất,6.37,3832500000,STOCK
2026-07-01,HDB,Ngân hàng,6.29,3780000000,STOCK
2026-07-01,KDH,Bất động sản,4.35,2617500000,STOCK
2026-07-01,SHB,Ngân hàng,3.82,2300000000,STOCK
