date,industry,weight_pct
2026-05-01,Ngân hàng,41.0
2026-05-01,Tài chính khác,10.1
2026-05-01,Sản xuất Nhựa - Hóa chất,9.62
2026-05-01,Bán lẻ,8.14
2026-05-01,Vật liệu xây dựng,7.94
2026-05-01,Chứng khoán,6.57
2026-05-01,Bất động sản,4.35
2026-05-01,Dịch vụ lưu trú, ăn uống, giải trí,0.66
2026-07-01,Ngân hàng,41.0
2026-07-01,Tài chính khác,10.1
2026-07-01,Sản xuất Nhựa - Hóa chất,9.62
2026-07-01,Bán lẻ,8.14
2026-07-01,Vật liệu xây dựng,7.94
2026-07-01,Chứng khoán,6.57
2026-07-01,Bất động sản,4.35
2026-07-01,Dịch vụ lưu trú, ăn uống, giải trí,0.66
