date,price
2026-04-06,10000
2026-04-16,10003.30
2026-04-21,10059.66
2026-04-23,10062.50
2026-04-28,10067.54
2026-05-05,10019.16
2026-05-07,10020.27
2026-05-12,10037.62
2026-05-14,10106.96
2026-05-19,10178.72
2026-05-21,10203.37
2026-05-26,10066.09
2026-05-28,10089.62
2026-06-02,10090.56
2026-06-04,10201.32
2026-06-09,10106.68
2026-06-11,10218.45
2026-06-16,10161.40
2026-06-18,10232.97
2026-06-23,10192.62
2026-06-25,10227.48
2026-06-30,10236.98
2026-07-02,10256.28
2026-07-07,10200.76
2026-07-09,10254.83
2026-07-14,10255.63
2026-07-16,10244.82
2026-07-21,10255.69
2026-07-23,10255.76
2026-07-28,10169.46
2026-07-30,10286.45
2026-08-04,10283.64
2026-08-06,10284.91
2026-08-11,10304.89
2026-08-13,10278.91
2026-08-18,10232.25
2026-08-20,10342.12
2026-08-25,10307.75
2026-08-27,10229.16
