date,price
2024-08-09,10000
2024-08-15,9990.31
2024-08-20,10087.18
2024-08-22,10110.88
2024-08-27,10068.84
2024-08-29,10069.39
2024-09-05,10025.09
2024-09-10,10012.83
2024-09-12,9991.29
2024-09-17,9991.07
2024-09-19,10015.22
2024-09-24,10073.74
2024-09-26,10068.07
2024-10-01,10049.73
2024-10-03,10046.10
2024-10-08,10000.29
2024-10-10,10011.29
2024-10-15,10010.78
2024-10-17,10005.13
2024-10-22,9962.98
2024-10-24,9956.02
2024-10-29,9941.06
2024-10-31,9987.95
2024-11-05,9919.77
2024-11-07,9965.86
2024-11-12,9961.92
2024-11-14,9946.14
2024-11-19,9838.19
2024-11-21,9818
2024-11-26,9893.14
2024-11-28,9899.82
2024-12-03,9950.14
2024-12-05,9944.16
2024-12-10,10046.35
2024-12-12,10066.75
2024-12-17,10060.56
2024-12-19,10061.82
2024-12-24,10026.68
2024-12-26,10107.16
2024-12-31,10136.75
2025-01-02,10142
2025-01-07,10022.38
2025-01-09,10050.59
2025-01-14,9943.13
2025-01-16,9926.85
2025-01-21,10011.61
2025-01-23,9993.27
2025-02-04,10047.31
2025-02-06,10068.97
2025-02-11,10063.32
2025-02-13,10072.17
2025-02-18,10078.45
2025-02-20,10090.88
2025-02-25,10140.72
2025-02-27,10130.74
2025-03-04,10112.84
2025-03-06,10128.33
2025-03-11,10172.54
2025-03-13,10193.79
2025-03-18,10077.72
2025-03-20,10065.82
2025-03-25,10122.34
2025-03-27,10065.35
2025-04-01,10057.42
2025-04-03,10048.99
2025-04-08,9790.61
2025-04-10,9476.26
2025-04-15,9822.08
2025-04-17,9736.93
2025-04-22,9780.55
2025-04-24,9812.45
2025-04-29,9845.33
2025-05-06,9856.08
2025-05-08,9889.33
2025-05-13,9965.93
2025-05-15,10042.69
2025-05-20,10010.73
2025-05-22,10060.28
2025-05-27,10102.50
2025-05-29,10127.50
2025-06-03,10115.72
2025-06-05,10081.88
2025-06-10,10025.87
2025-06-12,10075.45
2025-06-17,10143.02
2025-06-19,10148.98
2025-06-24,10156.74
2025-06-26,10175.10
2025-07-01,10235.24
2025-07-03,10261.41
2025-07-08,10340.54
2025-07-10,10387.52
2025-07-15,10436.95
2025-07-17,10441.40
2025-07-22,10458.51
2025-07-24,10513.64
2025-07-29,10579.57
2025-07-31,10484
2025-08-05,10508.71
2025-08-07,10612.89
2025-08-12,10666.71
2025-08-14,10718.31
2025-08-19,10754.88
2025-08-21,10774.98
2025-08-26,10712.12
2025-08-28,10850.40
2025-09-04,10892.73
2025-09-09,10815.53
2025-09-11,10844.70
2025-09-16,10902.12
2025-09-18,10884.22
2025-09-23,10816.85
2025-09-25,10870.56
2025-09-30,10887.86
2025-10-02,10888.84
2025-10-07,10954.22
2025-10-09,10940.24
2025-10-14,11021.43
2025-10-16,11031.05
2025-10-21,10828.74
2025-10-23,10944.25
2025-10-28,10868.26
2025-10-30,10965.44
2025-11-04,10844.24
2025-11-06,10903.88
2025-11-11,10764.42
2025-11-13,10869.87
2025-11-18,10871.04
2025-11-20,10916.29
2025-11-25,10930.86
2025-11-27,10927.92
2025-12-02,10938.98
2025-12-04,10999.51
2025-12-09,11002.53
2025-12-11,10968.98
2025-12-16,10872.89
2025-12-18,10978.74
2025-12-23,11076.22
2025-12-25,11128.98
2025-12-30,11063.23
2026-01-06,11159.17
2026-01-08,11281.38
2026-01-13,11277.94
2026-01-15,11282.72
2026-01-20,11338.98
2026-01-22,11283.48
2026-01-27,11188.68
2026-01-29,11194.75
2026-02-03,11235.45
2026-02-05,11246.81
2026-02-10,11169
2026-02-12,11162.08
2026-02-24,11257.42
2026-02-26,11275.48
2026-03-03,11292.95
2026-03-05,11274.49
2026-03-10,10902.12
2026-03-12,11069.20
2026-03-17,10939.39
2026-03-19,10989.40
2026-03-24,10836.05
2026-03-26,10935.47
2026-03-31,10962.42
2026-04-02,10972.15
2026-04-07,10851.40
2026-04-09,11001.38
2026-04-14,10994.29
2026-04-16,11008.98
2026-04-21,11122.17
2026-04-23,11120.39
2026-04-28,11094.11
2026-05-05,11031.85
2026-05-07,11114.11
2026-05-12,11114.47
2026-05-14,11170.67
2026-05-19,11205.56
2026-05-21,11196.52
2026-05-26,11097.71
2026-05-28,11084.65
2026-06-02,11042.12
2026-06-04,11082.94
2026-06-09,10957.76
2026-06-11,11048.53
2026-06-16,11039.34
2026-06-18,11086.65
2026-06-23,11116.83
2026-06-25,11157.15
2026-06-30,11158.72
2026-07-02,11175.63
2026-07-07,10696.10
2026-07-09,10745.31
2026-07-14,10629.59
2026-07-16,10602.27
2026-07-21,10527.34
2026-07-23,10382
2026-07-28,10309.79
2026-07-30,10449.52
2026-08-04,10577.50
2026-08-06,10608.37
2026-08-11,10610.46
2026-08-13,10619.97
2026-08-18,10456.99
2026-08-20,10518.94
2026-08-25,10654.62
