date,industry,weight_pct
2026-07-01,Ngân hàng,32.91
2026-07-01,Bất động sản,27.74
2026-07-01,Vận tải - Kho bãi,4.62
2026-07-01,Vật liệu xây dựng,4.55
2026-07-01,Công nghệ và thông tin,4.29
2026-07-01,Bán lẻ,3.43
2026-07-01,Chứng khoán,3.08
2026-07-01,Sản xuất Nhựa - Hóa chất,2.37
2026-07-01,Thực phẩm - Đồ uống,1.89
2026-07-01,Thiết bị điện,1.85
2026-07-01,Tiện ích,1.61
2026-07-01,Sản xuất Phụ trợ,1.42
2026-07-01,Chế biến thủy sản,1.21
2026-07-01,Khai khoáng,0.97
2026-07-01,Xây dựng,0.78
2026-07-01,Sản xuất Hàng gia dụng,0.6
