date,price
2014-04-11,10050
2014-05-22,9988.44
2014-05-29,10021.33
2014-05-31,10010
2014-06-05,9957.02
2014-06-12,10075.36
2014-06-19,10091.73
2014-06-26,10164.92
2014-06-30,10154.45
2014-07-03,10317.36
2014-07-10,10353.28
2014-07-17,10572.7
2014-07-24,10687.03
2014-07-31,10513.1
2014-08-07,10602.75
2014-08-14,10665.29
2014-08-21,10676.39
2014-08-28,10743.19
2014-08-31,10760.14
2014-09-04,10786.86
2014-09-11,10707.51
2014-09-18,10758.39
2014-09-25,10774
2014-09-30,10738.96
2014-10-02,10867.77
2014-10-09,10988.43
2014-10-16,10516.14
2014-10-23,10606.65
2014-10-30,10569.14
2014-10-31,10753.93
2014-11-06,10832.45
2014-11-13,10914.87
2014-11-20,10653.06
2014-11-27,10415.32
2014-11-30,10292.72
2014-12-04,10363.74
2014-12-11,9962.94
2014-12-18,9664.04
2014-12-25,9683.7
2014-12-31,9915.89
2015-01-08,9884.78
2015-01-15,10052.05
2015-01-22,10173.14
2015-01-29,10336.37
2015-01-31,10331.21
2015-02-05,10289.97
2015-02-12,10346.13
2015-02-23,10348.82
2015-02-26,10328.64
2015-02-28,10336.8
2015-03-05,10529.22
2015-03-12,10459.53
2015-03-19,10400.81
2015-03-26,10318.41
2015-03-31,10262.56
2015-04-02,10208.6
2015-04-09,10377.69
2015-04-16,10376.21
2015-04-23,10345.25
2015-04-30,10328.9
2015-05-03,10328.7
2015-05-07,10127.94
2015-05-14,10114.85
2015-05-21,10257.99
2015-05-28,10370.72
2015-05-31,10312.71
2015-06-04,10323.9
2015-06-11,10368
2015-06-18,10175.05
2015-06-25,10199.17
2015-06-30,10288.02
2015-07-02,10396.95
2015-07-09,10388.91
2015-07-16,10411.47
2015-07-23,10499.82
2015-07-30,10570.42
2015-07-31,10527.97
2015-08-06,10495.5
2015-08-13,10535.59
2015-08-20,10334.39
2015-08-27,10177.36
2015-08-31,10174.95
2015-09-03,10118.4
2015-09-10,10197.19
2015-09-17,10175.26
2015-09-24,10310.68
2015-09-30,10287.52
2015-10-01,10317.68
2015-10-08,10409.31
2015-10-15,10458.54
2015-10-22,10446.64
2015-10-29,10580.95
2015-10-31,10602.72
2015-11-05,10631.61
2015-11-12,10675.2
2015-11-19,10670.08
2015-11-26,10596.84
2015-11-30,10500.94
2015-12-03,10531.61
2015-12-10,10672.62
2015-12-17,10799.7
2015-12-24,10688.73
2015-12-31,10800.51
2016-01-03,10800.64
2016-01-07,10603.58
2016-01-14,10493.38
2016-01-21,10249.09
2016-01-28,10534.62
2016-01-31,10608.34
2016-02-04,10643.35
2016-02-14,10700.41
2016-02-18,10957.97
2016-02-25,10991.25
2016-02-29,11066.17
2016-03-03,11213.12
2016-03-10,11349.29
2016-03-17,11416.58
2016-03-24,11300.46
2016-03-31,11145.47
2016-04-04,11301.15
2016-04-07,11240.81
2016-04-21,11141.84
2016-04-28,11177.4
2016-04-30,11236.9
2016-05-05,11366.98
2016-05-12,11414.34
2016-05-19,11458.95
2016-05-26,11457.58
2016-05-31,11541.46
2016-06-02,11614.9
2016-06-09,11726.03
2016-06-15,12648.37
2016-06-16,11865.33
2016-06-23,12111.91
2016-06-30,12329.39
2016-07-07,12865.71
2016-07-14,12587.27
2016-07-21,12240.88
2016-07-28,12376.78
2016-07-31,12401.5
2016-08-04,11890.86
2016-08-11,12191.83
2016-08-18,12498.75
2016-08-25,12507.07
2016-08-31,12674.24
2016-09-04,12749.99
2016-09-08,12819.01
2016-09-22,12786.72
2016-09-29,12863.99
2016-09-30,12782.69
2016-10-06,12776.33
2016-10-13,12588.49
2016-10-20,12541.48
2016-10-27,12340.27
2016-10-31,12409.84
2016-11-03,12191.14
2016-11-10,12367.93
2016-11-17,12298.83
2016-11-24,12440.32
2016-11-30,12315.68
2016-12-01,12360.63
2016-12-08,12204.1
2016-12-15,12069.6
2016-12-22,12054.61
2016-12-29,12113.7
2016-12-31,11439.87
2017-01-05,11520.35
2017-01-12,11635.43
2017-01-19,11482.6
2017-01-26,11716.68
2017-01-31,11715.47
2017-02-02,11798.97
2017-02-09,11887.22
2017-02-16,11944.22
2017-02-23,11994.12
2017-02-28,11886.52
2017-03-02,11838.52
2017-03-09,11913.83
2017-03-16,11894.04
2017-03-23,12001.23
2017-03-30,12010.01
2017-03-31,11998.84
2017-04-06,11939.51
2017-04-13,11982.71
2017-04-20,11795.89
2017-04-27,11836.16
2017-04-30,11853.67
2017-05-04,11889.5
2017-05-11,12072.17
2017-05-18,12001.46
2017-05-25,12211.31
2017-05-31,12225.32
2017-06-01,12276.91
2017-06-08,12401.68
2017-06-15,12524.73
2017-06-22,12592.15
2017-06-29,12609.63
2017-06-30,12636.12
2017-07-06,12697.72
2017-07-13,12673.6
2017-07-20,12403.54
2017-07-27,12414.07
2017-07-31,12513.08
2017-08-03,12485.17
2017-08-10,12390.6
2017-08-17,12397.14
2017-08-24,12418.13
2017-08-31,12515
2017-09-07,12484.15
2017-09-14,12625.39
2017-09-21,12752.38
2017-09-28,12834.34
2017-09-30,12875.09
2017-10-05,12783.64
2017-10-12,12875.21
2017-10-19,12900.56
2017-10-26,12677.63
2017-10-31,12588.91
2017-11-02,12402.85
2017-11-09,12692.73
2017-11-16,12998.45
2017-11-23,13085.95
2017-11-30,13346.29
2017-12-07,13363.67
2017-12-14,13286.15
2017-12-21,13403.81
2017-12-28,12473.91
2017-12-31,12549.81
2018-01-04,12550.14
2018-01-11,12714.52
