date,industry,weight_pct
2026-07-08,Ngân hàng,29.9
2026-07-08,Công nghệ và thông tin,4.24
2026-07-08,Chứng khoán,3.76
2026-07-08,Tiện ích,3.72
2026-07-08,Thực phẩm - Đồ uống,3.39
2026-07-08,Bất động sản,3.29
2026-07-08,Bán lẻ,3.2
2026-07-08,Vật liệu xây dựng,2.54
2026-07-08,Sản xuất Nhựa - Hóa chất,2.34
2026-07-08,Bảo hiểm,2.07
2026-07-08,Vận tải - Kho bãi,1.95
2026-07-08,Thiết bị điện,1.49
2026-07-08,Sản xuất Phụ trợ,1.37
2026-07-08,Dịch vụ lưu trú, ăn uống, giải trí,1.11
2026-07-08,Sản xuất,1.05
