date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,ABB,Ngân hàng,7.03,2437218000,STOCK
2026-07-01,PVS,Khai khoáng,4.92,1705000000,STOCK
2026-07-01,TLG,Sản xuất Phụ trợ,4.83,1673880000,STOCK
2026-07-01,STB,Ngân hàng,4.81,1668420000,STOCK
2026-07-01,BVB,Ngân hàng,4.72,1635900000,STOCK
2026-07-01,CAP,Sản xuất Phụ trợ,4.64,1609500000,STOCK
2026-07-01,NT2,Tiện ích,4.33,1501500000,STOCK
2026-07-01,POW,Tiện ích,4.32,1496000000,STOCK
2026-07-01,VCB,Ngân hàng,4.28,1482500000,STOCK
2026-07-01,BID,Ngân hàng,4.17,1444000000,STOCK
