date,industry,weight_pct
2026-07-01,Ngân hàng,29.38
2026-07-01,Thực phẩm - Đồ uống,11.66
2026-07-01,Tiện ích,7.52
2026-07-01,Công nghệ và thông tin,7.12
2026-07-01,Sản xuất Nhựa - Hóa chất,6.9
2026-07-01,Sản xuất Phụ trợ,5.93
2026-07-01,Bất động sản,5.3
2026-07-01,Bảo hiểm,4.51
2026-07-01,Bán lẻ,4.03
2026-07-01,Vật liệu xây dựng,3.47
2026-07-01,Chứng khoán,2.98
2026-07-01,Vận tải - Kho bãi,2.56
2026-07-01,Xây dựng,1.84
2026-07-01,Khai khoáng,1.4
2026-07-01,Chế biến thủy sản,1.23
2026-07-01,Bán buôn,1.06
2026-07-01,Sản xuất,1.05
