date,price
2014-08-27,9993.72
2014-08-29,9995.41
2014-08-31,10007.1
2014-09-03,10008
2014-09-05,10012.31
2014-09-10,9994.8
2014-09-12,10002.88
2014-09-17,9987.38
2014-09-19,9993.46
2014-09-24,10026.66
2014-09-26,10012.41
2014-09-30,10019.94
2014-10-03,10029.75
2014-10-08,10023.49
2014-10-10,10063.44
2014-10-15,10022.42
2014-10-17,9926.83
2014-10-22,9986.42
2014-10-24,9984.65
2014-10-29,9864.39
2014-10-30,9914.52
2014-10-31,9973.32
2014-11-05,9976.63
2014-11-07,9973.68
2014-11-12,10011.01
2014-11-14,10003.63
2014-11-19,9977.49
2014-11-21,9915.17
2014-11-26,9878.35
2014-11-28,9799.24
2014-11-30,9765.21
2014-12-03,9783.56
2014-12-05,9910.15
2014-12-10,9614.5
2014-12-12,9672.61
2014-12-17,9535.25
2014-12-19,9447.39
2014-12-24,9542.77
2014-12-26,9537.59
2014-12-30,9529.99
2014-12-31,9651.07
2015-01-07,9604.69
2015-01-09,9619.83
2015-01-14,9778.13
2015-01-16,9807.59
2015-01-21,9766.33
2015-01-23,9761.61
2015-01-28,9821.89
2015-01-30,9869.4
2015-01-31,9769.04
2015-02-04,9616.52
2015-02-06,9679.84
2015-02-11,9727.66
2015-02-13,9829.75
2015-02-25,9847.98
2015-02-27,9850.39
2015-02-28,9810.81
2015-03-04,9926.32
2015-03-06,10011.21
2015-03-11,9983.12
2015-03-13,9950.9
2015-03-18,9911.59
2015-03-20,9861.76
2015-03-25,9700.41
2015-03-27,9699.43
2015-03-31,9620.67
2015-04-03,9674.75
2015-04-08,9803.04
2015-04-10,9812.43
2015-04-15,9815.16
2015-04-17,9970.03
2015-04-22,10032.07
2015-04-24,10060.21
2015-04-30,9992.92
2015-05-04,9990.5
2015-05-06,9800.26
2015-05-08,9825.38
2015-05-13,9666.35
2015-05-15,9750.47
2015-05-20,9606.01
2015-05-22,9833.95
2015-05-27,9890.21
2015-05-29,9951.06
2015-05-31,9957.97
2015-06-03,9907.45
2015-06-05,9999.85
2015-06-10,10071.64
2015-06-12,10148.35
2015-06-17,10121.19
2015-06-19,10145.4
2015-06-24,10326.69
2015-06-26,10218.47
2015-07-01,10268.7
2015-07-03,10398.19
2015-07-08,10554.2
2015-07-10,10484.01
2015-07-15,10602.95
2015-07-17,10510.11
2015-07-22,10479.12
2015-07-24,10721.81
2015-07-29,10932.44
2015-07-31,10818.52
2015-08-05,10543.66
2015-08-07,10670.81
2015-08-12,10934.87
2015-08-14,10746.84
2015-08-19,10678.16
2015-08-21,10555.79
2015-08-26,9926.48
2015-08-28,10319.44
2015-08-31,10360.36
2015-09-03,10307.71
2015-09-04,10174.19
2015-09-09,10261.92
2015-09-11,10394.2
2015-09-16,10304.1
2015-09-18,10340.2
2015-09-23,10544.84
2015-09-25,10589.87
2015-09-30,10574.25
2015-10-02,10681.38
2015-10-07,11069.56
2015-10-09,11074.4
2015-10-14,11092.17
2015-10-16,11286.89
2015-10-21,11387.11
2015-10-23,11498.18
2015-10-28,11620.99
2015-10-30,11759.81
2015-10-31,11736.72
2015-11-04,11716.43
2015-11-06,11751.41
2015-11-11,11708.1
2015-11-13,11908.99
2015-11-18,11992.59
2015-11-20,11996.63
2015-11-25,11764.35
