date,stock_code,industry,weight_pct,asset_value,type_asset
2026-07-01,MBB,Ngân hàng,9.3,143537940000,STOCK
2026-07-01,MWG,Bán lẻ,6.14,94745256000,STOCK
2026-07-01,CTG,Ngân hàng,6.05,93353321600,STOCK
2026-07-01,MSN,Thực phẩm - Đồ uống,6.03,92963040000,STOCK
2026-07-01,HPG,Vật liệu xây dựng,5.66,87276814100,STOCK
2026-07-01,FPT,Công nghệ và thông tin,5.09,78604160800,STOCK
2026-07-01,ACB,Ngân hàng,4.52,69771122400,STOCK
2026-07-01,TCB,Ngân hàng,3.94,60838425000,STOCK
2026-07-01,VPB,Ngân hàng,3.44,53094320000,STOCK
2026-07-01,BVH,Bảo hiểm,3.21,49505572000,STOCK
