date,industry,weight_pct
2026-08-07,Ngân hàng,34.28
2026-08-07,Thực phẩm - Đồ uống,10.28
2026-08-07,Bán lẻ,7.27
2026-08-07,Công nghệ và thông tin,6.84
2026-08-07,Vật liệu xây dựng,5.66
2026-08-07,Bất động sản,5.04
2026-08-07,Tiện ích,5.03
2026-08-07,Sản xuất Phụ trợ,3.85
2026-08-07,Chứng khoán,3.4
2026-08-07,Bảo hiểm,3.21
2026-08-07,Vận tải - Kho bãi,2.47
2026-08-07,Xây dựng,2.28
2026-08-07,Khai khoáng,1.95
2026-08-07,Bán buôn,1.94
2026-08-07,Chế biến thủy sản,0.94
2026-08-07,Thiết bị điện,0.89
