date,price
2021-09-15,10000
2021-12-15,9990.5
2021-12-22,9984.59
2021-12-29,9995.53
2022-01-05,10089.74
2022-01-12,10050.39
2022-01-19,10013.22
2022-01-26,10049.19
2022-02-07,10101.63
2022-02-09,10188.08
2022-02-16,10211.04
2022-02-23,10278.12
2022-03-02,10193.91
2022-03-09,10191.53
2022-03-16,10205.45
2022-03-23,10366.65
2022-03-30,10671.26
2022-04-06,10754.48
2022-04-13,10408.42
2022-04-20,10478.25
2022-04-27,9991.17
2022-05-04,10080.06
2022-05-11,9649.39
2022-05-18,9323.6
2022-05-25,9357.89
2022-06-01,9830.17
2022-06-08,9885.54
2022-06-15,9511.18
2022-06-22,8984.13
2022-06-29,9544.52
2022-07-05,9447.82
2022-07-07,9217.96
2022-07-12,9297.05
2022-07-14,9529.37
2022-07-19,9489.07
2022-07-21,9618.08
2022-07-26,9557.74
2022-07-28,9637.5
2022-08-02,9915.59
2022-08-04,10000.69
2022-08-09,10037.9
2022-08-11,10073.14
2022-08-16,10142.37
2022-08-18,10183.13
2022-08-23,10185.73
2022-08-25,10375.02
2022-08-30,10303.27
2022-09-06,10328.84
2022-09-08,10001.02
2022-09-13,10023.43
2022-09-15,9985.95
2022-09-20,9546.01
2022-09-22,9650.62
2022-09-27,9471.86
2022-09-29,9264.17
2022-10-04,8613.83
2022-10-06,8690.25
2022-10-11,8170.35
2022-10-13,8074.39
2022-10-18,8327.11
2022-10-20,8336.92
2022-10-25,7584.01
2022-10-27,7692.17
2022-11-01,7966.36
2022-11-03,7927.45
2022-11-08,7390.77
2022-11-10,7467.97
2022-11-15,6818.48
2022-11-17,6778.32
2022-11-22,7119.35
2022-11-24,7216.66
2022-11-29,7780.6
2022-12-01,7995.47
2022-12-06,8322.76
2022-12-08,7861.22
2022-12-13,8027.55
2022-12-15,8253.18
2022-12-20,8193.53
2022-12-22,8108.02
2022-12-27,7809.53
2022-12-29,7977.33
2023-01-03,8036.7
2023-01-05,8226.56
2023-01-10,8219.57
2023-01-12,8291.05
2023-01-17,8323.29
2023-01-19,8584.61
2023-01-31,8690.1
2023-02-02,8533.85
2023-02-07,8505.25
2023-02-09,8397.76
2023-02-14,8189.35
2023-02-16,8240.9
2023-02-21,8619.33
2023-02-23,8415.45
2023-02-28,8046.78
2023-03-02,8249.07
2023-03-07,8118.09
2023-03-09,8265.25
2023-03-14,8222.39
2023-03-16,8276.66
2023-03-21,8034.19
2023-03-23,8107.21
2023-03-28,8220.26
2023-03-30,8228.17
2023-04-04,8491.45
2023-04-06,8597.68
2023-04-11,8572.05
2023-04-13,8674.08
2023-04-18,8611.06
2023-04-20,8673.41
2023-04-25,8751.28
2023-04-27,8708.45
2023-05-04,8755.99
2023-05-09,8860.81
2023-05-11,8912.49
2023-05-16,9005.41
2023-05-18,9007.39
2023-05-23,9145.75
2023-05-25,9095.89
2023-05-30,9198.53
2023-06-01,9257.96
2023-06-06,9351.21
2023-06-08,9445.6
2023-06-13,9575.63
2023-06-15,9458.11
2023-06-20,9499.95
2023-06-22,9711.5
2023-06-27,9780.53
2023-06-29,9852.25
2023-07-04,9751.37
2023-07-06,9855.51
2023-07-11,10029.75
2023-07-13,10124.56
2023-07-18,10201.94
2023-07-20,10210.62
2023-07-25,10379.7
2023-07-27,10317.69
2023-08-01,10416.32
2023-08-03,10239.59
2023-08-08,10395.13
2023-08-10,10398.86
2023-08-15,10381.65
2023-08-17,10436.19
2023-08-22,9979.69
2023-08-24,9945.15
2023-08-29,10261.77
2023-08-31,10463.08
2023-09-05,10590.57
2023-09-07,10790.15
2023-09-12,10620.83
2023-09-14,10783.95
2023-09-19,10762.67
2023-09-21,10946.13
2023-09-26,10341.84
2023-09-28,10427.79
2023-10-03,10441.52
2023-10-05,10283.86
2023-10-10,10480.15
2023-10-12,10631.27
2023-10-17,10547.51
2023-10-19,10154
2023-10-24,10103.63
2023-10-26,10177.46
2023-10-31,9702.14
2023-11-02,9560.46
2023-11-07,10057.43
2023-11-09,10314.94
2023-11-14,10266.5
2023-11-16,10389.02
2023-11-21,10320.15
2023-11-23,10407.58
2023-11-28,10072.68
2023-11-30,10211.76
2023-12-05,10406.41
2023-12-07,10424.19
2023-12-12,10354.64
2023-12-14,10247.84
2023-12-19,10127.31
2023-12-21,10246.26
2023-12-26,10448.75
2023-12-28,10511.41
2023-12-31,10605.91
2024-01-02,10605.26
2024-01-04,10718.04
2024-01-09,10799.72
2024-01-11,10781.11
2024-01-16,10671.23
2024-01-18,10818.41
2024-01-23,11028.92
2024-01-25,11025.85
2024-01-30,11130.33
2024-02-01,11091.39
2024-02-06,11317.98
2024-02-15,11430.94
2024-02-20,11454.35
2024-02-22,11526.84
2024-02-27,11513.84
2024-02-29,11661.6
2024-03-05,11932.56
2024-03-07,11868.48
2024-03-12,11691.27
2024-03-14,12092.77
2024-03-19,11915.43
2024-03-21,12045.18
2024-03-26,12013.13
2024-03-28,12188.39
2024-04-02,12225.38
2024-04-04,12122.33
2024-04-09,11752.92
2024-04-11,11852.63
2024-04-16,11477.33
2024-04-23,11301.06
2024-04-25,11564.63
2024-05-02,11606.47
2024-05-07,11861.73
2024-05-09,11972.56
2024-05-14,11908.89
2024-05-16,12105.57
2024-05-21,12273.7
2024-05-23,12309.21
2024-05-28,12290.2
2024-05-30,12335.08
2024-06-04,12540.78
2024-06-06,12566.38
2024-06-11,12691.91
2024-06-13,12823.33
2024-06-18,12614.84
2024-06-20,12765.46
2024-06-25,12467.68
2024-06-27,12522.79
2024-07-02,12459.08
2024-07-04,12606.19
2024-07-09,12742.22
2024-07-11,12745.43
2024-07-16,12744.33
2024-07-18,12616.59
2024-07-23,12421.89
2024-07-25,12298.47
2024-07-30,12389.28
2024-08-01,12340.88
2024-08-06,11680.4
2024-08-08,11953.5
2024-08-13,12217.85
2024-08-15,12151.85
2024-08-20,12544.62
2024-08-22,12654.76
2024-08-27,12575.45
2024-08-29,12537.37
2024-09-05,12520.4
2024-09-10,12357.39
2024-09-12,12316.69
2024-09-17,12239.29
2024-09-19,12455.61
2024-09-24,12565.04
2024-09-26,12796.31
2024-10-01,12748.97
2024-10-03,12717.73
2024-10-08,12580.05
2024-10-10,12729.11
2024-10-15,12794.17
2024-10-17,12723.31
2024-10-22,12718.44
2024-10-24,12705.54
2024-10-29,12634.58
2024-10-31,12754.94
2024-11-05,12628.05
2024-11-07,12861.86
2024-11-12,12854.74
2024-11-14,12841.82
2024-11-19,12563.86
2024-11-21,12501.65
2024-11-26,12722.22
2024-11-28,12789.93
2024-12-03,13009.37
2024-12-05,12980.31
2024-12-10,13312.6
2024-12-12,13255.62
2024-12-17,13240.38
2024-12-19,13257.93
2024-12-24,13308.94
2024-12-26,13460.19
2024-12-31,13433.94
2025-01-02,13401.32
2025-01-07,13139.4
2025-01-09,13143.02
2025-01-14,13016.68
2025-01-16,13031.98
2025-01-21,13205.41
2025-01-23,13202.77
2025-02-04,13321.18
2025-02-06,13534.16
2025-02-11,13460.81
2025-02-13,13514.05
2025-02-18,13523.6
2025-02-20,13688.69
2025-02-25,13814.12
2025-02-27,13842.78
2025-03-04,13847.25
2025-03-06,13756.22
2025-03-11,13931.95
2025-03-13,13822.6
2025-03-18,13547.55
2025-03-20,13430.7
2025-03-25,13423.9
2025-03-27,13353.19
2025-04-01,13175.21
2025-04-03,13186.68
2025-04-08,11920.11
2025-04-10,10786.1
2025-04-15,12112.62
2025-04-17,11801.98
2025-04-22,11927.83
2025-04-24,11936.34
2025-04-29,12066.48
2025-05-06,12245.58
2025-05-08,12282.59
2025-05-13,12558.28
2025-05-15,12896.99
2025-05-20,12708.39
2025-05-22,12831.86
2025-05-27,12936.57
2025-05-29,13034.22
2025-06-03,12923.89
2025-06-03,12923.89
2025-06-05,13031.99
2025-06-10,12839.8
2025-06-12,13014.01
2025-06-17,13354.36
2025-06-19,13372.16
2025-06-24,13342.12
2025-06-26,13384.8
2025-07-01,13560.59
2025-07-03,13676.58
2025-07-08,13770.65
2025-07-10,13917.22
2025-07-15,14067.72
2025-07-17,14089.6
2025-07-22,14114.42
2025-07-24,14260.23
2025-07-29,14526.02
2025-07-31,14084.84
2025-08-05,14232.8
2025-08-07,14561.6
2025-08-12,14850.01
2025-08-14,15037.07
2025-08-19,15066.73
2025-08-21,14950.3
2025-08-26,14392.5
2025-08-28,14978.13
2025-09-04,15162.47
2025-09-09,14725.92
2025-09-11,14790.63
2025-09-16,15194.75
2025-09-18,15104.34
2025-09-23,14708.36
2025-09-25,14937.13
2025-09-30,14703.45
2025-10-02,14705.54
2025-10-07,14855.59
2025-10-09,14818.64
2025-10-14,14884.46
2025-10-16,14647.13
2025-10-21,13865.17
2025-10-23,14308.93
2025-10-28,14238.03
2025-10-30,14667.33
2025-11-04,14372.4
2025-11-06,14402.8
2025-11-11,13861.4
2025-11-13,14227.91
2025-11-18,14343
2025-11-20,14284.17
2025-11-25,14131.23
2025-11-27,14099.45
2025-12-01,14076.35
2025-12-02,14080.11
2025-12-03,14135.71
2025-12-04,14354.63
2025-12-05,14448.58
2025-12-08,14347.96
2025-12-09,14290.51
2025-12-10,14134.32
2025-12-11,14077.13
2025-12-12,14011.1
2025-12-15,13626.1
2025-12-16,13618.11
2025-12-17,13897.12
2025-12-18,13860.11
2025-12-19,13841.92
2025-12-22,13861.87
2025-12-23,14102.67
2025-12-24,14131.09
2025-12-25,14209.22
2025-12-26,14041.62
2025-12-29,14030.31
2025-12-30,14262.35
2025-12-31,14320.58

2026-01-05,14252.12
2026-01-06,14251.33
2026-01-07,14354.09
2026-01-08,14533.65
2026-01-09,14495.03
2026-01-12,14516.38
2026-01-13,14829.26
2026-01-14,14933.41
2026-01-15,15011.05
2026-01-16,15122.55
2026-01-19,15299.11
2026-01-20,15382.01
2026-01-21,15351.16
2026-01-22,15274.37
2026-01-23,15342.15
2026-01-26,15165.32
2026-01-27,14933.71
2026-01-28,15052.37
2026-01-29,15122.87
2026-01-30,15340.12
2026-02-02,15499.93
2026-02-03,15549.82
2026-02-04,15797.7
2026-02-05,15899.47
2026-02-06,15542.67
2026-02-09,15236.37
2026-02-10,15294.47
2026-02-11,15141.48
2026-02-12,15463.69
2026-02-13,15504.82
2026-02-23,15509.99
2026-02-24,15717.93
2026-02-25,15787.42
2026-02-26,15868.07
2026-02-27,15899.41
2026-03-02,15891.11
2026-03-03,15745.04
2026-03-04,15594.54
2026-03-05,15437.48
2026-03-06,15248.47
2026-03-09,15059.03
2026-03-10,14083.02
2026-03-11,14563.86
2026-03-12,14984.4
2026-03-13,14769.16
2026-03-16,14689.31
2026-03-17,14759.25
2026-03-18,14873.86
2026-03-19,14833.46
2026-03-20,14739.1
2026-03-23,14614.09
2026-03-24,14135.91
2026-03-25,14499.27
2026-03-26,14916.07
2026-03-27,14802.35
2026-03-30,15027.7
2026-03-31,14964.43
2026-04-01,15014.01
2026-04-02,15078.63
2026-04-03,14931.66
2026-04-06,14777.29
2026-04-07,14587.34
2026-04-08,14559.71
2026-04-09,15144.94
2026-04-10,15066.38
2026-04-13,15071.63
2026-04-14,15041.7
2026-04-15,15095.72
2026-04-16,15020.71
2026-04-17,14946.14
2026-04-20,15074.63
2026-04-21,15187.16
2026-04-22,15053.66
2026-04-23,14990.71
2026-04-24,14915.93
2026-04-28,14867.33
2026-04-29,14783.86
2026-05-04,14818.35
2026-05-05,14795.69
2026-05-06,14750.42
2026-05-07,14871
2026-05-08,14836.45
2026-05-11,14737.19
2026-05-12,14596.1
2026-05-13,14667.42
2026-05-14,14699.42
2026-05-15,14792.83
2026-05-18,14693.08
2026-05-19,14678.63
2026-05-20,14629.7
2026-05-21,14599.97
2026-05-22,14621.12
2026-05-25,14546.87
2026-05-26,14507.77
2026-05-27,14632.05
2026-05-28,14623.74
2026-05-29,14511.45
2026-06-01,14456.08
2026-06-02,14460.39
2026-06-03,14375.51
2026-06-04,14542.83
2026-06-05,14593.94
2026-06-08,14560.91
2026-06-09,14321.47
2026-06-10,14428.82
2026-06-11,14458.17
2026-06-12,14412.65
2026-06-15,14365.61
2026-06-16,14574.77
2026-06-17,14655.32
2026-06-18,14685.12
2026-06-19,14628.15
2026-06-22,14545.59
2026-06-23,14487.15
2026-06-24,14363.73
2026-06-25,14367.92
2026-06-26,14340.49
2026-06-29,14368.72
2026-06-30,14478.03
2026-07-01,14450.47
2026-07-02,14578.05
2026-07-03,14577.4
2026-07-06,14439.41
2026-07-07,14163.56
2026-07-08,14179.86
2026-07-09,14238.22
2026-07-10,14141.73
2026-07-13,13956.21
2026-07-14,13806.13
2026-07-15,13936.58
2026-07-16,13707.16
2026-07-17,13784.98
2026-07-20,13710.71
2026-07-21,13317.81
2026-07-22,13202.6
2026-07-23,12866.23
2026-07-24,12905.5
2026-07-27,12737.76
2026-07-28,12565.61
2026-07-29,12720.03
2026-07-30,12860.03
2026-07-31,13110.14
2026-08-03,13082.7
2026-08-04,13478.45
2026-08-05,13578.25
2026-08-06,13586.64
2026-08-07,13486.49
2026-08-10,13584.58
2026-08-11,13751.36
2026-08-12,13753.62
2026-08-13,13794.05
2026-08-14,13734.11
2026-08-17,13597.18
2026-08-18,13652.04
2026-08-19,13599.45
2026-08-20,13588.62
2026-08-21,13676.16
2026-08-24,13959.89
2026-08-25,14019.04
2026-08-26,13897.29
2026-08-27,14014.67
2026-08-28,14036.3
2026-09-03,14041.76
