date,stock_code,industry,weight_pct,asset_value,type_asset
2025-02-01,STB,Ngân hàng,7.47,56889225000,STOCK
2025-02-01,MBB,Ngân hàng,5.76,43837379000,STOCK
2025-02-01,FPT,Công nghệ,4.91,37382373800,STOCK
2025-02-01,BWE,Tiện ích,4.86,37033200000,STOCK
2025-02-01,PNJ,Bán lẻ,4.84,36822902000,STOCK
2025-02-01,CTD,Xây dựng,4.23,32175436000,STOCK
2025-02-01,MWG,Bán lẻ,3.93,29907900000,STOCK
2025-02-01,GMD,Hạ tầng,3.83,29184560000,STOCK
2025-02-01,NLG,BĐS,3.0,22832600000,STOCK
2025-02-01,CTR,Xây dựng,2.93,22346240000,STOCK
2025-02-01,ACB,Ngân hàng,2.92,22224150000,STOCK
2025-02-01,LHG,BĐS,2.89,22004010000,STOCK
2025-02-01,HCM,Chứng khoán,2.88,21890195250,STOCK
2025-02-01,VIB,Ngân hàng,2.86,21795177500,STOCK
2025-02-01,HPG,Vật liệu,2.71,20639080000,STOCK
2025-02-01,DBD,Dược phẩm,2.62,19954568400,STOCK
2025-02-01,HAX,Bán lẻ,2.18,16573273800,STOCK
2025-02-01,QNS,Thực phẩm,2.12,16122960000,STOCK
2025-02-01,NTC,BĐS,2.06,15707850000,STOCK
2025-02-01,PVS,Dầu khí,1.95,14845200000,STOCK
2025-02-01,SGN,Hạ tầng,1.93,14728220000,STOCK
2025-02-01,TLG,Dịch vụ,1.93,14718024000,STOCK
2025-02-01,IJC,BĐS,1.92,14637200000,STOCK
2025-02-01,BVH,Bảo hiểm,1.9,14433000000,STOCK
2025-02-01,REE,Hạ tầng,1.81,13754190000,STOCK
2025-02-01,PC1,Hạ tầng,1.77,13491120000,STOCK
2025-02-01,TDM,Tiện ích,1.71,13026805000,STOCK
2025-02-01,MIG,Bảo hiểm,1.67,12738813450,STOCK
2025-02-01,MSH,Dệt may,1.54,11720560000,STOCK
2025-02-01,THG,Vật liệu,1.54,11761324500,STOCK
2025-02-01,MSB,Ngân hàng,1.36,10388995500,STOCK
2025-02-01,MCM,Thực phẩm,0.89,6786000000,STOCK
2025-02-01,SZC,BĐS,0.84,6434160000,STOCK
2025-02-01,DGW,Bán lẻ,0.83,6312280000,STOCK
2025-02-01,SAS,Hạ tầng,0.51,3915300000,STOCK
2025-03-01,STB,Ngân hàng,6.95,56963590000,STOCK
2025-03-01,MBB,Ngân hàng,6.05,49548949300,STOCK
2025-03-01,FPT,Công nghệ,5.69,46663166000,STOCK
2025-03-01,PNJ,Bán lẻ,4.82,39461958900,STOCK
2025-03-01,BWE,Tiện ích,4.8,39361410000,STOCK
2025-03-01,GMD,Hạ tầng,3.86,31613500000,STOCK
2025-03-01,MWG,Bán lẻ,3.84,31447000000,STOCK
2025-03-01,CTD,Xây dựng,3.63,29727305000,STOCK
2025-03-01,NLG,BĐS,2.96,24249000000,STOCK
2025-03-01,ACB,Ngân hàng,2.94,24119550000,STOCK
2025-03-01,CTR,Xây dựng,2.94,24060800000,STOCK
2025-03-01,VIB,Ngân hàng,2.92,23946444500,STOCK
2025-03-01,HPG,Vật liệu,2.87,23542942500,STOCK
2025-03-01,HCM,Chứng khoán,2.67,21898431000,STOCK
2025-03-01,LHG,BĐS,2.5,20521260000,STOCK
2025-03-01,DBD,Dược phẩm,2.39,19594548000,STOCK
2025-03-01,BVH,Bảo hiểm,1.95,15990000000,STOCK
2025-03-01,QNS,Thực phẩm,1.95,15941240000,STOCK
2025-03-01,TLG,Dịch vụ,1.94,15910410000,STOCK
2025-03-01,PC1,Hạ tầng,1.92,15752878000,STOCK
2025-03-01,MIG,Bảo hiểm,1.91,15622816200,STOCK
2025-03-01,NTC,BĐS,1.87,15341000000,STOCK
2025-03-01,PVS,Dầu khí,1.87,15338400000,STOCK
2025-03-01,HAX,Bán lẻ,1.82,14954045900,STOCK
2025-03-01,IJC,BĐS,1.82,14944150000,STOCK
2025-03-01,SGN,Hạ tầng,1.72,14118300000,STOCK
2025-03-01,REE,Hạ tầng,1.66,13564215000,STOCK
2025-03-01,TDM,Tiện ích,1.57,12860100000,STOCK
2025-03-01,THG,Vật liệu,1.48,12164241000,STOCK
2025-03-01,DGW,Bán lẻ,1.42,11603360000,STOCK
2025-03-01,MSH,Dệt may,1.39,11395520000,STOCK
2025-03-01,MSB,Ngân hàng,1.36,11167026000,STOCK
2025-03-01,MCM,Thực phẩm,0.81,6608520000,STOCK
2025-03-01,SZC,BĐS,0.71,5855650000,STOCK
2025-03-01,SAS,Hạ tầng,0.41,3384840000,STOCK
2025-04-01,STB,Ngân hàng,7.55,58153430000,STOCK
2025-04-01,MBB,Ngân hàng,6.29,48418164150,STOCK
2025-04-01,FPT,Công nghệ,5.81,44705872400,STOCK
2025-04-01,BWE,Tiện ích,5.73,44125404000,STOCK
2025-04-01,PNJ,Bán lẻ,4.98,38303916300,STOCK
2025-04-01,MWG,Bán lẻ,4.25,32710400000,STOCK
2025-04-01,ACB,Ngân hàng,3.87,29766083750,STOCK
2025-04-01,GMD,Hạ tầng,3.81,29298400000,STOCK
2025-04-01,CTD,Xây dựng,3.68,28293399700,STOCK
2025-04-01,CTR,Xây dựng,3.03,23286080000,STOCK
2025-04-01,PVS,Dầu khí,3.0,23070720000,STOCK
2025-04-01,VIB,Ngân hàng,2.98,22925769500,STOCK
2025-04-01,BVH,Bảo hiểm,2.97,22883100000,STOCK
2025-04-01,HCM,Chứng khoán,2.96,22776720250,STOCK
2025-04-01,HPG,Vật liệu,2.93,22570305000,STOCK
2025-04-01,DBD,Dược phẩm,2.72,20946519000,STOCK
2025-04-01,NLG,BĐS,2.53,19505400000,STOCK
2025-04-01,LHG,BĐS,2.06,15835770000,STOCK
2025-04-01,REE,Hạ tầng,2.02,15547787500,STOCK
2025-04-01,DGW,Bán lẻ,1.99,15299790000,STOCK
2025-04-01,QNS,Thực phẩm,1.99,15338420000,STOCK
2025-04-01,MSB,Ngân hàng,1.91,14731696000,STOCK
2025-04-01,PC1,Hạ tầng,1.89,14533075500,STOCK
2025-04-01,MIG,Bảo hiểm,1.88,14455594300,STOCK
2025-04-01,HAX,Bán lẻ,1.83,14049183250,STOCK
2025-04-01,TLG,Dịch vụ,1.75,13481979000,STOCK
2025-04-01,IJC,BĐS,1.63,12570350000,STOCK
2025-04-01,SGN,Hạ tầng,1.59,12223430000,STOCK
2025-04-01,THG,Vật liệu,1.39,10715607000,STOCK
2025-04-01,NTC,BĐS,1.17,9031180000,STOCK
2025-04-01,MSH,Dệt may,1.11,8508400000,STOCK
2025-04-01,FOX,Viễn thông,0.99,7641500000,STOCK
2025-04-01,MCM,Thực phẩm,0.76,5815080000,STOCK
2025-04-01,SAS,Hạ tầng,0.75,5747540000,STOCK
2025-04-01,SZC,BĐS,0.54,4190670000,STOCK
2025-04-01,AST,Bán lẻ,0.08,634700000,STOCK
2025-04-01,CTG,Ngân hàng,0.02,186000000,STOCK
2025-05-01,STB,Ngân hàng,7.29,60533110000,STOCK
2025-05-01,MBB,Ngân hàng,6.03,50062942550,STOCK
2025-05-01,FPT,Công nghệ,5.73,47607259000,STOCK
2025-05-01,BWE,Tiện ích,5.49,45569180000,STOCK
2025-05-01,PNJ,Bán lẻ,5.35,44445472500,STOCK
2025-05-01,MWG,Bán lẻ,4.02,33409800000,STOCK
2025-05-01,ACB,Ngân hàng,3.62,30032178600,STOCK
2025-05-01,CTD,Xây dựng,3.34,27733826900,STOCK
2025-05-01,NLG,BĐS,3.29,27328800000,STOCK
2025-05-01,BVH,Bảo hiểm,3.03,25198800000,STOCK
2025-05-01,GMD,Hạ tầng,3.03,25163840000,STOCK
2025-05-01,PVS,Dầu khí,3.02,25113000000,STOCK
2025-05-01,CTR,Xây dựng,2.98,24741460000,STOCK
2025-05-01,HCM,Chứng khoán,2.93,24310656000,STOCK
2025-05-01,VIB,Ngân hàng,2.87,23831523000,STOCK
2025-05-01,HPG,Vật liệu,2.74,22791582500,STOCK
2025-05-01,DBD,Dược phẩm,2.65,22004424000,STOCK
